milliseconds,Mb,Bc,Bcp,Bn,Cc,Mc,Ccp,Mp,Pc,Pcp,PCc,PCcp,PCn,Bnp,PCnp,In,Mr,Rc,Rn
3200,2.6186668882246966,0.46056794706761184,0.04012888555611497,0.1954161900780696,0.05069282615342935,0.03756439137407935,0.009598381907065152,0.040546416571196925,0.007203103837889751,0.0030919107813493648,1.682432852424304e-05,4.479374509513784e-06,7.090448221397138e-06,0.017698071163322313,6.065495514222941e-08,4.917535039572043e-07,0.03912682857706512,0.0038054537763720993,0.0007410429021448959
3300,2.6076610684918213,0.45148756400418927,0.04321769844253174,0.21494436389534807,0.0750661388146658,0.05010129272514431,0.009749136050683057,0.040945124859972926,0.007152400090351439,0.004248401673849665,5.806962542388887e-05,1.349516953788815e-05,6.524606257943746e-06,0.018779134500281007,4.295354036693092e-06,6.32140445205337e-07,0.04047843009705504,0.003958386824235552,0.0006843697258486552
3400,2.6596978433373124,0.47304394683292367,0.04322673718225629,0.2227556276596237,0.08675308668383076,0.054277514903583096,0.011607347929302875,0.054783185114279785,0.008544656036384305,0.0038486322075335535,0.0001302953734685307,2.9873250074878974e-05,1.0499176186301543e-05,0.0197425385617994,4.599151231253211e-06,3.3617596568462995e-08,0.04322742302776664,0.004107377977136179,0.0009019104154331151
3500,2.815154137413374,0.5133824779840712,0.04571487531163065,0.23961185412823308,0.07954789650785497,0.05928179733612661,0.013491922038537264,0.05910302698347684,0.008144174625652964,0.004877124713428526,7.466619017711054e-05,3.916576338823697e-05,1.1157129739252792e-05,0.019621719886426497,6.251876155683476e-06,8.52932934787636e-07,0.044014333312956525,0.005099742852034287,0.0009245656322824608
3600,2.7904680077825232,0.5050246518148311,0.04548706770756823,0.2568272749458598,0.09830558233785862,0.06044525955219982,0.015449002197509854,0.05722724995714847,0.009101029119245273,0.005305486836362633,0.00013924016582539088,3.9485479507044984e-05,2.397004740172281e-05,0.020907696248613074,3.8060163458394803e-06,8.672962607893944e-07,0.04785445020028156,0.0056075882982453635,0.001135954818497881
3700,2.8846731038529705,0.5254577887016587,0.049584815081472125,0.2616394325863636,0.10741820634160992,0.06798053392165063,0.014587395537951702,0.06528207447763394,0.011438022469734866,0.005456770796882062,0.00017080089884446303,4.529054071951974e-05,2.4025050485766214e-05,0.022128646566956067,8.615357561516246e-06,6.841674202846987e-07,0.056584956568966616,0.006182136024318806,0.0012482965287531128
3800,2.9033879527285515,0.547606696841727,0.050443778362005545,0.2742816586412384,0.11753052182063493,0.0672807755261924,0.017871008400440397,0.07047878388329681,0.011895097487599985,0.006028988967489561,0.00022567393936337343,6.129124040319193e-05,3.7460998273465536e-05,0.022989825529962264,1.2241690788392051e-05,1.1721752088982431e-06,0.06041653889111127,0.0063132232794914,0.0013175882549653908
3900,2.9525029510294876,0.5754745647236188,0.04917367001553582,0.28316285838221594,0.13061868326249815,0.07853259040725022,0.01899223485890484,0.07641093579161878,0.012386847262369426,0.006947022959957599,0.00030496034008699774,6.61873919602287e-05,4.41539364607926e-05,0.02411704818095934,1.1169052333625627e-05,1.429687343759221e-06,0.06355160627602602,0.006886774369055462,0.0014998240089852998
4000,3.000983176167257,0.5900388694042354,0.052061578266320546,0.3011621821472978,0.14911272263104672,0.08671563994500978,0.022128480821285428,0.08751058112141248,0.01406374426820746,0.007928461269236364,0.0003402624574491473,9.161069940783957e-05,5.9356042050673143e-05,0.023520366056178604,1.4407686619219678e-05,2.281231091835397e-06,0.07077193043281559,0.0073880542657263305,0.0016678428563514434
4100,3.0877064675750865,0.6011971204998521,0.05290997963962501,0.3116218537563525,0.17067125384722118,0.08870920958726229,0.02373782861468527,0.09285839574225042,0.015561361324466337,0.008193729601983467,0.0003975464875378806,0.00012071984978735425,6.71789927251773e-05,0.025193085601719206,1.8650600476179575e-05,2.6909671964167772e-06,0.07881086256195817,0.008469132679310092,0.001795092865666859
4200,3.130766324006555,0.6124416791854818,0.05176593149223306,0.31607636337743816,0.18703729222466922,0.10190983884998185,0.02812117910814448,0.10435093605453714,0.017554522886235418,0.008786398265613149,0.00046369064235921514,0.0001324659235810936,8.303356641832063e-05,0.026004700939079407,2.5507416722887363e-05,3.7947708675491822e-06,0.08792892870553415,0.00931464357455385,0.0018590435474709736
