miliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
1000,3.44506036262825e-10,1.8863484210421671e-07,4.939810221392404e-09,8.359356171459025e-11,1.8300162642161025e-10,1.5972228490761938e-09,4.351345986811969e-09,5.5739820065016996e-11,2.2262486558988389e-10,1.7784113457682096e-13,1.0532504363395553e-12,1.3359043739751373e-14,3.8028475570891645e-14,2.2589180060597127e-15,7.381664817365938e-14,3.173095860841306e-12,3.3231235925629126e-12,1.88220251978115e-14,2.855462719221956e-16,5.409062215250023e-19,3.377854405860045e-20,1.8342032698114145e-19,5.770182979316701e-14,8.96878350802699e-16,4.416470516885835e-12,4.41741550119239e-12,4.738339923643907e-16,-3.685158263817007e-16,3.5159975042004984e-12,4.786207712877886e-12
1100,3.2528654727782497e-10,1.881333492297628e-07,4.708218913333529e-09,9.734873361644577e-11,1.8040157285471125e-10,1.961851337973865e-09,4.468586038503554e-09,6.812807795130955e-11,2.671262931491941e-10,4.020099164122557e-13,1.2406022632911242e-12,1.447868902857339e-14,4.11345778743776e-14,9.586295217444308e-15,1.0105230772432593e-13,3.5801103110527433e-12,3.753423454333954e-12,9.897106681601567e-15,8.190193479228357e-16,2.9445708455467918e-18,7.366632289060338e-20,-2.534314954036143e-19,5.4252881589852934e-14,5.76767528305027e-16,5.1845362530312e-12,5.263961424933201e-12,5.8264336439662625e-16,9.60029132293757e-16,3.4289761349819103e-12,5.3479192023440574e-12
1200,3.0124975542124743e-10,1.87822495248676e-07,4.529541243282314e-09,1.1800956780167768e-10,1.7932660570806848e-10,2.5141466082998027e-09,4.6358194174386775e-09,9.995910108197754e-11,2.772505174554409e-10,4.505579512360353e-13,1.4035204570970373e-12,1.5357360614134064e-14,4.341483613331358e-14,2.7121863860909362e-14,1.0619570611672065e-13,3.916800693743952e-12,3.679611140649328e-12,1.5943854740047158e-14,7.947310787486081e-16,2.754270397652668e-18,1.420942925259025e-19,5.259444594682909e-19,7.378643644743811e-14,2.7314610463606723e-16,6.0463936249535375e-12,3.901427034388899e-12,8.457232107992307e-16,2.7437204359966767e-15,6.747743432687175e-12,6.354366575406897e-12
1300,3.819724166052745e-10,1.874520138780464e-07,4.459296661196385e-09,1.194545015694836e-10,1.7878743286347068e-10,2.6122018348795866e-09,4.739292254839668e-09,1.2448564189395168e-10,3.247395878149509e-10,5.853536216509566e-13,1.493846248101396e-12,1.871741242944513e-14,4.4596586669880255e-14,2.7733145849906273e-14,1.3765474587859647e-13,4.1094694561777854e-12,4.3305032419475995e-12,2.8061562255123608e-14,1.4094359135204551e-15,3.3564632588649497e-18,6.665295907610013e-20,6.281660552693471e-19,7.736430039115024e-14,6.583525297502858e-16,7.191894504101188e-12,7.290648768643959e-12,9.438769623906416e-16,2.6392528779307294e-15,7.252937693029254e-12,7.631248564331616e-12
1400,3.793350804137028e-10,1.8683524581025976e-07,4.396783601652852e-09,1.3375739213937273e-10,1.7656629703011337e-10,2.837375900651659e-09,4.798540778365521e-09,1.5061061704311798e-10,3.4664608709420244e-10,7.570116399560272e-13,1.5611775099101615e-12,2.4973180313796652e-14,4.6594949901409955e-14,5.658821793313314e-14,1.5587267166592952e-13,4.523941892084998e-12,4.5006313106282295e-12,2.6418025495263198e-14,1.5987207554549557e-15,7.611928004828684e-18,1.2916882803857956e-19,6.924975343550539e-20,8.32109499555161e-14,1.5925014403978039e-15,7.377190619450608e-12,5.409538140288265e-12,1.1132192318895513e-15,3.533719462479153e-15,7.440502339482243e-12,8.853912310910839e-12
1500,3.554790033574971e-10,1.865168554959362e-07,4.177462356485959e-09,1.4650883516549493e-10,1.7524716974809452e-10,3.5166475584177964e-09,4.889853376185419e-09,1.4223517692106455e-10,3.714296528985149e-10,8.63478968111429e-13,1.7156507904641033e-12,2.8086412268176467e-14,4.692190904289968e-14,6.628050644009871e-14,1.7631231113669662e-13,4.72039311475682e-12,4.839506032537082e-12,3.7333469726950215e-14,1.4499102370542379e-15,7.435217002548219e-18,1.9317067576792082e-19,6.455542603589427e-20,1.0430172942814284e-13,6.266919861773372e-16,8.33087871943166e-12,9.989707742340096e-12,1.628663471723793e-15,2.338043244724199e-15,1.0368544247265942e-11,9.74712281329331e-12
1600,4.0210346951277417e-10,1.863889811476988e-07,4.120063501800708e-09,1.6262455575573547e-10,1.7279468691421587e-10,3.685726509840789e-09,4.906485977886421e-09,1.8768635066135615e-10,3.9092842742911325e-10,8.212084380774007e-13,1.91079620239626e-12,3.123181022480688e-14,4.81930529079729e-14,6.515862924197505e-14,1.9551416688455462e-13,5.064238209042942e-12,5.009048302727739e-12,4.184622827172422e-14,2.0670503076700412e-15,9.898814007977098e-18,2.7570094811155374e-19,6.213391893014851e-19,1.0558538144367542e-13,1.3212768241537112e-15,9.247420706850147e-12,1.2340370246287395e-11,1.5326072672628329e-15,3.604933011153989e-15,8.084231089630815e-12,1.0582141877588066e-11
1700,2.9997736218360116e-10,1.856023923142228e-07,4.09173911561383e-09,1.6344279664909976e-10,1.685020890902972e-10,4.152699037300505e-09,5.019735144323671e-09,2.162852780738855e-10,4.14235469949915e-10,9.524669456710425e-13,1.95723024391292e-12,3.4223114737897455e-14,4.8914110549723075e-14,9.67667363623729e-14,2.251103424118158e-13,5.540214562085948e-12,5.6263844979682395e-12,4.8949862021745836e-14,2.168325741855039e-15,1.2310438124665755e-17,2.735458658888046e-19,1.1701901540364933e-19,1.1503964281630045e-13,2.116847162972163e-15,1.0214327330325927e-11,1.1253059620272342e-11,2.0777989149726006e-15,3.9123310235717705e-15,9.226929714091747e-12,1.1074845075946816e-11
1800,3.820743770705277e-10,1.8559731622358938e-07,4.07922386189428e-09,1.7884420430424282e-10,1.6756048226121862e-10,4.543876618729223e-09,4.946246990314723e-09,2.2475807121395116e-10,4.3003292940395333e-10,1.2089332597546433e-12,2.0947611610801603e-12,3.4314477143224554e-14,4.914277558623857e-14,9.665149169606294e-14,2.352872566396353e-13,5.9454973411204105e-12,5.7428590187854424e-12,5.160908497201211e-14,2.382170644265014e-15,1.1815498510822953e-17,3.9948889758116143e-19,3.2860324263179116e-19,1.271180925720136e-13,2.1898351818035236e-15,1.149961975868508e-11,1.274452023663991e-11,2.1645557725571003e-15,6.706614841961156e-15,1.4265510008670863e-11,1.219334120188896e-11
1900,4.0681123340619717e-10,1.8495841454893789e-07,4.027172840979264e-09,1.9155554289647054e-10,1.6552931163767174e-10,4.8718341479233165e-09,5.053261259798509e-09,2.592600967941685e-10,4.4023163610748264e-10,1.3996263415502946e-12,2.1755173660340424e-12,3.892238385944838e-14,4.963473637549473e-14,1.2897538767562847e-13,2.6238857635061635e-13,6.025342006101269e-12,6.291334051899392e-12,6.818489047697879e-14,2.7731869581064326e-15,1.5356565068271142e-17,5.107682435929998e-19,8.474499698189118e-19,1.4594454119316368e-13,2.1119826339807467e-15,1.3174104623772307e-11,1.6183508544217585e-11,2.5113850352428576e-15,7.529238543087425e-15,1.5305249877977578e-11,1.2294621548164351e-11
2000,3.229082638413014e-10,1.8504538643926093e-07,3.878329751787582e-09,2.0439468603140082e-10,1.6263524925807323e-10,5.045205671840041e-09,5.114720691955224e-09,2.953705117365296e-10,4.6122763798524564e-10,1.442298717995684e-12,2.276403119932835e-12,4.3526201159316355e-14,4.938746260147659e-14,1.36993402065643e-13,2.9066307581166426e-13,6.709265027165901e-12,6.507446415086288e-12,7.694542921332435e-14,3.339726027172214e-15,1.2464170711781947e-17,4.907755429319887e-19,1.1060112155688712e-18,1.5298034640081782e-13,2.699112931093959e-15,1.4048932720081658e-11,1.9235211454012604e-11,2.4051166492902442e-15,7.12803138549185e-15,1.8699515003475708e-11,1.3122222321769347e-11
2100,3.0841033990799915e-10,1.84625275427863e-07,3.879247343950318e-09,2.045491307324938e-10,1.6083849689270078e-10,5.309767225767801e-09,5.101453784367818e-09,3.3793489062227857e-10,4.71232784346411e-10,1.704264471047486e-12,2.4061775305490655e-12,4.688556305952463e-14,5.003683979101905e-14,1.5860801977959602e-13,3.2467819633626405e-13,6.620808919926801e-12,6.61622420779217e-12,8.248904007990631e-14,3.714779647635134e-15,1.900779933141726e-17,6.204208075439586e-19,1.546841602783853e-18,1.689185628938896e-13,3.758515378363981e-15,1.4364011958664707e-11,1.9115815549465458e-11,2.8574719908776207e-15,7.682676545102104e-15,2.060229368173616e-11,1.4572811047366487e-11
2200,3.566283220335961e-10,1.8407551464349212e-07,3.923633964375211e-09,2.2528769979611396e-10,1.579437122295546e-10,5.6702827228274854e-09,5.119445095064067e-09,3.6229216131232954e-10,4.798692038955012e-10,1.7679507155416428e-12,2.488370315860623e-12,4.821590024944086e-14,4.9685446278185803e-14,1.839973163612738e-13,3.233475623245075e-13,7.2563420848464375e-12,7.1234046707236535e-12,9.073458570456952e-14,3.921353817321882e-15,2.0590429734390603e-17,7.394673128802388e-19,1.834610785193068e-18,1.7513537784770288e-13,5.048281053650744e-15,1.6239088687597193e-11,2.3609192183765232e-11,3.2969395775114637e-15,9.231864364831807e-15,2.053426100842878e-11,1.5770427412117503e-11
2300,3.0759704924876113e-10,1.835278886200213e-07,3.851403190157096e-09,2.2451537055020502e-10,1.575304270814457e-10,5.99166516915012e-09,5.088075643208284e-09,3.919361064112407e-10,5.003247357790948e-10,1.9677314635225594e-12,2.489285688983252e-12,5.226084036400973e-14,4.9650010159221154e-14,2.0154986503192925e-13,3.4746411906678525e-13,7.34358919947226e-12,7.230603099187473e-12,9.506872560924635e-14,4.134431759924035e-15,2.3632657308163172e-17,8.098409846748082e-19,1.832284295799057e-18,1.9322245223839422e-13,5.513032796561491e-15,1.670922208546582e-11,2.65645684366912e-11,3.2084991389506487e-15,1.2904246732091355e-14,2.653427484210959e-11,1.664873151998751e-11
2400,3.3446623667844714e-10,1.8335010324199706e-07,3.870624433488288e-09,2.349211872039946e-10,1.546922248395189e-10,6.179239618852119e-09,5.16977070134596e-09,4.2327039395646707e-10,5.250682637775356e-10,2.0108799004232894e-12,2.622792789368094e-12,5.3001868702725795e-14,4.9181860099012385e-14,2.346285164127969e-13,3.858296555801962e-13,7.833038077098436e-12,7.59748278948318e-12,1.0766086418819604e-13,4.7239239850796155e-15,2.630027598494988e-17,8.821649024847404e-19,1.9832937723758798e-18,2.0503112720969823e-13,5.779328702133336e-15,1.7857846768786435e-11,2.8539020011101328e-11,3.874663806378316e-15,1.3820877467724827e-14,2.832570383330936e-11,1.6518957139698505e-11
2500,3.091595594297589e-10,1.8261958293094304e-07,3.738138936750866e-09,2.4914212271843987e-10,1.5277978558082442e-10,6.884781140903285e-09,5.157328172616143e-09,4.774551250308605e-10,5.231769080064464e-10,2.2912182638064597e-12,2.7068047680152454e-12,5.939203391280785e-14,4.9354489269560655e-14,2.6713690651717706e-13,3.9854696611434415e-13,8.151279073236816e-12,7.984534700257316e-12,1.1942905634581564e-13,5.083311246016236e-15,3.396182789415523e-17,8.906620197483434e-19,2.684329728857259e-18,2.0824103598263115e-13,6.7137215603163075e-15,1.9514440564097004e-11,3.1990538981622385e-11,3.985017684955094e-15,1.3559833523594228e-14,3.141759120612875e-11,1.7359921468820563e-11
2600,3.5447322949697315e-10,1.823570753759963e-07,3.8004510124803455e-09,2.5418782093383964e-10,1.5300616496341406e-10,7.161243837000113e-09,5.148634593358467e-09,5.052920535618998e-10,5.386247722371619e-10,2.355168477138702e-12,2.7343405133745284e-12,6.242077109164815e-14,4.902936899363865e-14,2.6312176055980733e-13,4.210589499658006e-13,8.256519130071067e-12,8.267748662766383e-12,1.3066889497204266e-13,5.343262837048333e-15,3.645680665666163e-17,1.1257355911462567e-18,2.9593753978912833e-18,2.2755490804432033e-13,7.415917335680955e-15,1.9803063057093188e-11,3.367881051092337e-11,4.156149198901109e-15,1.6601697547232902e-14,3.5704491342319376e-11,1.894960549363732e-11
2700,4.159821688722898e-10,1.818403602436104e-07,3.813759597731794e-09,2.6342047767342184e-10,1.5192362113346553e-10,7.491276244001703e-09,5.189674314133954e-09,5.335431609939838e-10,5.440522926465993e-10,2.5922838444408048e-12,2.7780490093832223e-12,6.285818588328243e-14,4.764075202787286e-14,3.005012470344513e-13,4.459627386653025e-13,8.617816713242573e-12,8.558288203851364e-12,1.486341765414565e-13,6.217939886009421e-15,4.1633669771087353e-17,1.089678001046564e-18,3.548316894894913e-18,2.372203540850062e-13,8.335552791980437e-15,2.124001791424837e-11,3.7837921078099405e-11,4.526046356745519e-15,1.997289329044508e-14,3.6030799223189155e-11,1.8908545856450715e-11
2800,3.769316532330992e-10,1.8142287488061414e-07,3.753732948019212e-09,2.8206194484991577e-10,1.4911302477671893e-10,7.756618511685013e-09,5.177966884525405e-09,5.703155017356142e-10,5.682164137343007e-10,2.8162275622888947e-12,2.925829810336992e-12,6.788824778546933e-14,4.860849556112588e-14,3.480755802625793e-13,4.619379471053109e-13,8.800330055332841e-12,8.74054279283414e-12,1.6583098515737773e-13,6.685726340975463e-15,4.753037850198169e-17,1.2285263676667791e-18,4.256923073332549e-18,2.6134882977076254e-13,9.36871427444811e-15,2.2468454175158303e-11,3.890781526130622e-11,4.836853907049389e-15,2.0365404409532825e-14,4.265622609748656e-11,2.047900165521704e-11
2900,3.93869996278461e-10,1.8154046622498645e-07,3.6655437804188533e-09,2.8320431580274637e-10,1.4851601825215514e-10,7.902698393305814e-09,5.1584145379038215e-09,6.092017074372552e-10,5.668197733904488e-10,2.992017702904524e-12,2.9631019646901054e-12,6.939435591073859e-14,4.821018013504011e-14,3.6071191807171864e-13,4.689993918394577e-13,9.171537098868785e-12,9.294153307342392e-12,1.7709459246460841e-13,6.7136243139657714e-15,4.7057696232584025e-17,1.4479368100319543e-18,5.313182407404076e-18,2.781227838470474e-13,1.0660705311262671e-14,2.3714490279446044e-11,4.052657458120623e-11,5.0537972588751505e-15,2.3509322286912862e-14,4.57643038887831e-11,2.0216412888306703e-11
3000,3.1235247666654686e-10,1.810117956660784e-07,3.667603125815294e-09,2.9468647094413887e-10,1.4904945325746292e-10,8.46621018545955e-09,5.229466256336005e-09,6.187364735281752e-10,5.671072389007402e-10,3.1544089207381707e-12,3.0218177432339244e-12,7.242578422146479e-14,4.796455628809077e-14,3.993084912156656e-13,5.047147830623439e-13,9.441740829152839e-12,9.619974225489772e-12,1.917193877961281e-13,7.422888088423636e-15,5.643527592298795e-17,1.5657083643362336e-18,5.682018242798518e-18,2.9292525700854955e-13,1.1554623834786307e-14,2.5186727140736897e-11,4.7218841793462866e-11,5.646169825477648e-15,2.4965574038097332e-14,4.823837206672371e-11,2.161646490305897e-11
3100,2.8994010646102925e-10,1.8064343196732175e-07,3.7250376588085217e-09,3.022107409275318e-10,1.4610602842835058e-10,8.67148239934267e-09,5.226934371362226e-09,6.971289895147572e-10,5.770753139049016e-10,3.380267572358182e-12,3.077227124182279e-12,7.564262672261328e-14,4.736472304194763e-14,4.4932132559919335e-13,5.220597007355758e-13,1.0059323670720945e-11,9.908777030863898e-12,2.004808209958036e-13,8.149443958674948e-15,6.397908789767501e-17,1.6513694771759514e-18,6.511288921125608e-18,2.951122004908007e-13,1.200550185386094e-14,2.676648811665411e-11,4.908089836766643e-11,5.72569813148513e-15,2.8231072305771262e-14,5.4819906846020486e-11,2.209759368652221e-11
3200,4.189623117599861e-10,1.8017637898569468e-07,3.642900395926602e-09,3.036920091555643e-10,1.4827973069941023e-10,9.017972535991162e-09,5.194474868676156e-09,7.340085569429785e-10,5.913248677520848e-10,3.5350388401676005e-12,3.033785870796791e-12,8.027819138114177e-14,4.7658677398362136e-14,4.827696191493267e-13,5.301370772655186e-13,1.0228721322316927e-11,1.0175327791457339e-11,2.0728565441154026e-13,8.310310770027901e-15,6.564305730869375e-17,1.7971932934775698e-18,6.898988736053101e-18,3.197602293497944e-13,1.41721797099179e-14,2.690087889625593e-11,5.331129337509943e-11,6.1858435818007214e-15,3.0734229259459975e-14,5.732616165998545e-11,2.245786017637331e-11
3300,3.676229385896528e-10,1.8003874461894877e-07,3.6516209071540276e-09,3.2323520741848276e-10,1.4727544173412652e-10,9.370870847437996e-09,5.219005937275506e-09,7.379020222596023e-10,6.023926053885983e-10,3.967544910911728e-12,3.192122447709274e-12,8.128477253175164e-14,4.645212792310505e-14,4.820285585392012e-13,5.61166293109075e-13,1.0524800248056318e-11,1.0461083623999095e-11,2.305371057225056e-13,8.718741042892094e-15,7.5544044875442e-17,1.966732623458131e-18,8.228565214406075e-18,3.185657064520565e-13,1.4635614398062074e-14,2.8575940016319626e-11,5.818313276733266e-11,6.5119053595962316e-15,3.447861698422835e-14,6.186904329527157e-11,2.296374507336375e-11
3400,3.1986372316081475e-10,1.7929527659699363e-07,3.618354970785965e-09,3.289266010161331e-10,1.4703459258363498e-10,9.64249887804246e-09,5.139493594422869e-09,7.906202472569169e-10,6.167206213955241e-10,4.140367434364645e-12,3.136085297491551e-12,8.523021689777664e-14,4.619923162025553e-14,5.409662208884715e-13,5.765732381357822e-13,1.0787929111857877e-11,1.0709958495399061e-11,2.411732006513386e-13,9.586353023162728e-15,7.770744085152597e-17,2.0260822387358896e-18,8.329718384664019e-18,3.475941669852191e-13,1.6460231461815803e-14,2.961909321122296e-11,5.877381488471626e-11,6.783991801891062e-15,3.646649904055043e-14,6.418649412831668e-11,2.3752571836844208e-11
3500,3.05784785464381e-10,1.7903983271491579e-07,3.6398816763751185e-09,3.3940898259021256e-10,1.462683092560527e-10,1.0273091892803007e-08,5.154315095932453e-09,8.337697248311257e-10,6.103318942887923e-10,4.218924646732052e-12,3.221420970477325e-12,8.728084547561222e-14,4.588302900397482e-14,5.888883611827071e-13,5.885392368749824e-13,1.1232846708226306e-11,1.1279582436536451e-11,2.6975928136557667e-13,1.0209915969468575e-14,8.53178134881071e-17,2.20936987094223e-18,9.776468709662707e-18,3.6394607398788316e-13,1.7565011931692676e-14,3.1674690695951095e-11,6.472694896633324e-11,7.473692629589942e-15,3.8675138128428433e-14,7.037720921745217e-11,2.4596003089564965e-11
3600,3.2645339227248135e-10,1.7862396173373934e-07,3.5802421571858564e-09,3.478269804909183e-10,1.436126749072685e-10,1.0206697980352845e-08,5.230351010395282e-09,8.646304777398142e-10,6.197137509549575e-10,4.453192234580349e-12,3.2623565909779567e-12,8.857575235238845e-14,4.6631641286051504e-14,6.000138435620297e-13,6.02631728850728e-13,1.1362962538501124e-11,1.1623767728877394e-11,2.790281452358113e-13,1.0479740572119115e-14,9.322022489825692e-17,2.350945393947788e-18,1.0514616726137753e-17,3.719625495414422e-13,1.9625706933599133e-14,3.245662818155162e-11,6.675300211781888e-11,7.641007842081018e-15,4.248764189775996e-14,7.676283680853933e-11,2.544939397874692e-11
3700,3.101302461725034e-10,1.784756902880678e-07,3.6392134854468293e-09,3.475989674141735e-10,1.4324245304033956e-10,1.075633419353266e-08,5.244676107650456e-09,8.890651137969541e-10,6.254976677704733e-10,4.570344116478007e-12,3.3382264561758924e-12,9.01376653589582e-14,4.633087943332178e-14,6.622558265718115e-13,6.092196772158463e-13,1.1982219466545737e-11,1.1604562268788738e-11,3.0378734320251043e-13,1.1363549411638668e-14,1.0290611475824866e-16,2.5670922376409728e-18,1.2056553332340896e-17,3.8793255564063285e-13,2.0874621551922107e-14,3.4769318817713835e-11,7.288576749439021e-11,8.022891901627303e-15,4.599098611830273e-14,8.042929306004719e-11,2.5522584598008642e-11
3800,3.164742871332158e-10,1.7817138143796063e-07,3.621338748632531e-09,3.528001641240945e-10,1.4364039618950866e-10,1.106972205654805e-08,5.243123282327988e-09,9.168256883954013e-10,6.307174695960957e-10,4.829994461190772e-12,3.3119354740819942e-12,9.536135147901674e-14,4.545015117574664e-14,6.790855485707973e-13,6.479921109228114e-13,1.214738855914924e-11,1.1961627239330064e-11,3.1941819333680353e-13,1.1740382239960579e-14,1.0864787314928213e-16,2.651281047658609e-18,1.300694891428134e-17,3.968750931141592e-13,2.1871400409480388e-14,3.467106776546408e-11,7.679307227821891e-11,8.48201502458024e-15,4.9506957834317577e-14,8.370452393992582e-11,2.6151408369005346e-11
