miliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,Xa_Va_l,V_Xa_l,IIa_f,V_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,APC_PS_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,Xa_AT_f,VII_Xa_l,V_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,LIPID,alpha2M_l,alpha2M_IIa_l,alpha2M_Xa_l
2500,338.86150087509617,838.6285673946703,-1.7276180461062778e-14,8.709350340560185e-11,0.020274015091026845,1.7502571353121488,2.413012704107171e-09,6.801569043185296e-07,0.16083898608499392,7.451529037765417,0.00033083173928533495,0.09736003305784857,35.37317284394301,108.36516098625033,5.869561567949982e-05,0.0003214828518939607,8.344486490573564e-14,-8.472066205086325e-13,0.020722356597970726,115.5310772056987,-8.014015671725448e-23,3.954227675922611e-20,18.965860363125692,47.363889164545824,0.014760191161458555,0.0012466362231170725,0.0015442004496340994,0.0003920546758192338,0.0003940633335002465,3.7508711336108396e-10,-8.319232207993808e-12,2.3745199170220352e-05,-8.585717867206946e-12,5.325050462237332e-13,3.248898085641772e-11,-9.174630480558163e-13,2.1384997139537445e-12,12.299992034504449,4720.999999584708,6.347578006298997e-13,8.528475005096209e-06,3.208043040551938e-11,7.400169527765084e-19,4.689931768270128e-07,1.941247331871654e-06,1.6583130803731627e-12,0.999999999985482,-2.9854320709843032e-12,-2.389030542407159e-12,2.209421201405065e-14,58863.093121475635,363.9999999803841,3.706515677595067e-15,2.2890916044912753e-08
2600,329.42021062398146,843.6501580179777,-5.402892291758697e-13,2.1321162923902905e-10,0.014056389792710716,1.7390908404029777,3.824265386567359e-09,5.86636980732501e-07,0.1904579950949804,7.38372041231043,0.0006178185354923027,0.09767940317162394,35.388858152269925,108.34825407693349,6.174023946038056e-05,0.00034245134974215724,1.2327743470944367e-13,4.863566372640495e-13,0.4031612682182305,115.97505993962343,2.748434907365573e-22,2.999759062523962e-20,18.477713947366112,47.22040871732509,0.014491153579417689,0.0012910018885077144,0.0015458886111451033,0.0003903171846053783,0.000414460129625699,4.0709571218224456e-10,2.3989343468894204e-11,2.5363521636850662e-05,1.2094026660037397e-11,4.508293159740538e-13,5.571393817825661e-11,4.795029577508304e-13,1.0772593381247365e-12,12.299990859425987,4720.999999532605,-4.398977855546766e-13,9.073689302503886e-06,6.457451798340872e-11,-6.496288444831875e-19,4.3941377592070287e-07,2.157809313885778e-06,1.4650398329268364e-12,0.9999999999984799,6.280749803526122e-12,9.060725074039022e-13,4.586067906675333e-14,58595.27410394222,363.99999997539453,-1.1791045731311756e-14,2.2246833343486234e-08
2700,333.56846177820955,843.4509474640424,2.050983061116417e-12,1.3663767649024775e-10,0.006185870691763272,1.739766063786715,4.278485043335245e-09,7.808416508990405e-07,0.1684939630102405,7.4757486721534265,0.0011585359138202142,0.09740259095413847,35.33166972011716,107.07481903326357,6.414878005793274e-05,0.00034570910500586385,1.047710875440812e-13,-7.490071697944524e-13,0.31584227108838475,115.61680685554347,5.566742215630223e-22,9.783744745695204e-20,18.74592680609946,47.483797184105605,0.014420386074009727,0.0012843159630199594,0.0016143108967163749,0.0003994913333207264,0.00043450243061325417,4.884028346400426e-10,4.473151764839092e-11,2.80799636257042e-05,8.577156898300119e-13,6.808223386782403e-13,1.1012503137769758e-11,9.096654544865781e-12,-4.651172451752428e-13,12.299991011308155,4720.999999414035,4.804016382575003e-13,9.078986557919586e-06,5.638729341282501e-11,3.823025245411099e-20,6.046024793817139e-07,2.1146640486125402e-06,-1.105191368183103e-12,0.9999999999848004,8.021069534744816e-12,5.160711064116092e-12,-1.0581739510825753e-14,58589.71622974732,363.99999997452744,-5.056545051570749e-15,2.6415295408409816e-08
2800,339.01756240834453,835.2304496798483,-8.04925936888018e-13,3.341799076487551e-10,0.012494113413663846,1.7389195112491,4.4642618831176815e-09,1.0804718965320972e-06,0.17138201840047293,7.463659169181855,0.0003071552164277549,0.0974480343894644,35.92629138242022,108.00478236271935,7.692808212871093e-05,0.00041482178124260756,1.594161237835192e-13,-1.8253480447769281e-13,0.830863688577112,114.40305212693855,3.9931282325476895e-22,1.1280751258726713e-20,18.842371802689147,47.60368311070983,0.014347537192821098,0.0013664350870083715,0.0016477041963045944,0.00042802274433872836,0.0004414289066924361,5.224189014855044e-10,5.984143441457372e-11,3.225626622707449e-05,2.959528801038315e-11,8.607876268445718e-13,2.5327774798285138e-11,1.2590749152024424e-11,9.393382184908678e-13,12.299988300360122,4720.999999359855,-2.2111585805361836e-13,1.1164887545692636e-05,6.335580752023319e-11,7.514934186395758e-19,5.982024364139885e-07,2.360388825487307e-06,5.010033340680585e-12,0.9999999999843459,9.693737982781964e-12,4.141726522860919e-12,6.892751860899639e-14,58334.2182882368,363.9999999696246,-8.045173316256274e-16,3.134695012141165e-08
2900,341.780269925729,840.9286086586158,3.1480049704852453e-12,2.0922358693733896e-10,0.010385022113266635,1.7427326813500414,5.386916493788298e-09,1.1462629415368138e-06,0.12589981301150316,7.474598707511308,0.0007730922940469694,0.09642906943627966,35.774616846883376,107.20622407328388,8.114924649629074e-05,0.00042896670963411885,3.6641245869615566e-14,1.0227793177454324e-12,0.14874100890099617,115.4546265293163,4.933191573552908e-22,-6.529334791000705e-22,18.903695441887884,47.196962486793936,0.014207343616513235,0.0013740578826429905,0.0017331453125050782,0.0004275070044048785,0.0004554827777092017,6.298087553324497e-10,1.227079327918675e-10,3.887077273300602e-05,6.033789963808779e-11,1.2765717111664114e-12,9.117717139220608e-11,4.587625301469583e-12,-5.296937696766756e-14,12.299986343442795,4720.999999264623,2.029286233797083e-13,1.1813518017871505e-05,7.520716484562584e-11,-1.9183468254340578e-19,7.685576354674268e-07,2.5506685793145538e-06,6.757400289952021e-12,0.999999999991656,8.201894735208712e-12,3.7044522534430445e-12,-2.1899176017912068e-14,57369.80568482054,363.99999996933536,2.591809796501044e-14,3.5748750801070926e-08
3000,329.8417333477065,839.689751136692,5.5618382204352864e-12,4.031125719901542e-10,-0.0004463617095659452,1.7365781989351359,6.505540733352712e-09,1.1831595352620184e-06,0.1253993408695781,7.378052174772834,0.00045833439940283304,0.09665275563395108,35.24860377644092,108.17277051288028,8.765473925300631e-05,0.0004534827644660906,1.9003471875503348e-13,5.786238607768086e-13,1.2468706259320053,114.69554422548336,-9.523803565666425e-23,6.49542207531629e-20,18.79302770568853,46.96911369233748,0.01416265026750179,0.0014393267225429533,0.0017794843392640214,0.0004532064808781133,0.0004705905229101159,7.076347897644683e-10,1.4463807385002615e-10,4.153074354515808e-05,7.68622317829688e-11,5.559155121622241e-13,7.450606767792692e-11,1.4595669101684292e-11,6.916598528512972e-12,12.29998642232875,4720.99999915212,5.540778466806399e-13,1.5473971645597865e-05,1.3134026334713134e-10,-1.8658184824909543e-19,8.649684224152524e-07,2.7741795790502953e-06,6.332847820043779e-12,0.9999999999946908,5.148292182812896e-12,3.356681668686887e-12,-3.7242372503702294e-15,58272.46706016607,363.99999996245145,-1.8987008089566547e-15,3.58383587524785e-08
3100,334.7483859453415,845.2446273243103,4.175677458251594e-12,3.6996848650670627e-10,-0.0020035765433569566,1.7322693205898545,7.821645678829738e-09,1.5844875162176867e-06,0.19199054307581995,7.4145031769995855,0.0012579726329595177,0.09665922122900278,35.34788423640449,107.74340237929069,9.294355590097226e-05,0.0005164302446621804,5.607056297544116e-14,2.7468239683003367e-12,0.31115101734277534,115.51398557577527,1.8181683530689341e-22,3.4175606665094615e-20,18.417939122033147,47.24704857062196,0.01406559958324451,0.0014503597163516724,0.0018404555985441712,0.0004504782580536736,0.0005027276002792177,7.762963134017439e-10,1.4696223244453136e-10,4.3392731323687766e-05,7.731063122567143e-11,1.1435798503846087e-12,8.234671475251236e-11,1.680684148821436e-11,5.37288535857788e-12,12.29998437140306,4720.999999112191,1.0861381220833684e-12,1.6515580788982832e-05,1.556460173665592e-10,-6.253167793168378e-19,9.44882729918656e-07,3.187586329890782e-06,8.266501248696834e-12,0.9999999999903764,1.605293846475888e-11,2.4833997705407452e-12,2.7487312473166915e-14,58672.27124951475,363.99999995902294,3.025660495592661e-14,4.391962512987983e-08
3200,329.23174080042776,842.8268460754454,7.686999409706806e-12,4.763699033652801e-10,0.008422360346917753,1.734526984319181,7.619293494610974e-09,1.568721347863618e-06,0.19930307401541034,7.427183590883834,0.0014300034703076132,0.09719407081126093,35.85494289289747,107.76556272872725,9.722660170080431e-05,0.0005560102402958118,1.589243202535611e-13,2.4478864101874328e-12,0.6173976302832866,115.01957707080652,2.3084927878766303e-22,-5.479191509706696e-20,18.41104462643638,47.25777297532465,0.013899826363361276,0.0014800378579864464,0.0018909840089754207,0.0004596058239263225,0.0005151239106933539,7.789130285643398e-10,2.120625918932064e-10,4.736764071797695e-05,8.926901439125452e-11,1.08966270557143e-12,1.1843189472656838e-10,1.6495950982436607e-11,1.1553372653072496e-11,12.29998282119035,4720.999998977278,1.4324999778839056e-12,1.7486493225517864e-05,1.4216301183845156e-10,-6.456237000571972e-19,9.941092207716116e-07,3.2108020449199833e-06,4.85792606435262e-12,0.9999999999835218,2.9119449727885087e-11,7.636222451087693e-12,1.1940292453198495e-13,58300.56701434337,363.999999952285,3.56698084387474e-14,4.629415395825617e-08
3300,338.68104842876124,844.3357630457463,6.345876577621395e-12,4.873004268495805e-10,0.014630977435645832,1.753300716344209,9.323168238898735e-09,1.7511464132786696e-06,0.21853511227954234,7.473840584212338,0.0008307974894420455,0.09628204848088787,35.816852939773895,108.14200711492218,0.00010366431858081767,0.0005614406723170999,1.3395899926071654e-13,3.1767519378220755e-12,0.6179847791596786,114.5429695460097,-3.2985497028774885e-22,-6.975383235409117e-20,18.99479506761798,46.98994328011266,0.013754436204299923,0.001526362988035465,0.00190592876561886,0.0004705104226748291,0.0005366784061067398,8.782367301969591e-10,2.554673223603307e-10,5.2838461765520865e-05,1.0966793488843406e-10,1.3504022888078787e-12,1.413082102206435e-10,2.5797646260988998e-11,8.695483242249406e-12,12.299979981933326,4720.999998821381,7.992523438495464e-13,2.0754470294357184e-05,2.07306412962672e-10,1.1857762527890627e-20,1.1153289560924589e-06,3.4246711221916413e-06,1.2627172336359378e-11,0.9999999999788405,1.6946029599566065e-11,1.0178252889796921e-11,1.4836523496507324e-13,58283.56581490254,363.99999994613313,4.865225165918126e-14,4.991919531177773e-08
3400,336.64050859294423,839.0728329665235,1.2904487727145914e-11,6.261286084134328e-10,0.007960407702500793,1.737981143032635,1.0450583279348505e-08,2.1857633055303075e-06,0.16092846212374293,7.411084642699303,0.0009016654852349718,0.09662255890550162,34.547674939187225,107.12655558854529,0.00011334362924822152,0.0006086828211360431,3.146480722220496e-13,2.2022681230656682e-12,0.5474461539044368,115.05408617175776,3.8646777179310626e-22,9.50075466524561e-20,18.83177398748844,47.625661230387536,0.013621987783318768,0.0015521751242131827,0.0019433766173291374,0.0004910306711721289,0.0005456808583761812,9.520798904994312e-10,2.568975368458334e-10,5.751935607986463e-05,1.5241535318511266e-10,2.0752225988899293e-12,1.7242734058390042e-10,3.037944616562964e-11,1.3021135900683374e-11,12.299978499622071,4720.999998699879,1.2711478885327694e-12,2.3523147320143164e-05,2.335490072106313e-10,5.771161488617612e-19,1.286536764711086e-06,3.7013675666116367e-06,1.302354746448767e-11,0.9999999999613033,2.880168347374774e-11,9.432093398706984e-12,1.1167923591383172e-13,57690.54906153225,363.9999999408591,3.51930377814351e-14,5.960536152101347e-08
3500,341.24477203402324,836.5896270189122,1.5530093831190092e-11,9.061310754533137e-10,0.016156178610451898,1.7365298707134358,1.1201510918246577e-08,2.3386844366259087e-06,0.13845016696623866,7.391001363342041,0.00012225652051482282,0.09700071783881423,35.0527036906974,107.07034931918085,0.00011851148178116092,0.0006617005450605846,4.60451188097351e-13,3.3942920432153903e-12,0.50625254626024,115.08074875639639,2.918988765847632e-22,4.145346660339009e-20,18.506212840425576,47.4824597114597,0.013449103452732366,0.0016138941593579024,0.0019803355898475334,0.0004997400715510645,0.0005698376568475183,1.1267464253274884e-09,3.1665139110697577e-10,6.182334506226626e-05,1.4536180050013907e-10,2.568385943880243e-12,2.697730438691381e-10,4.1284350114867866e-11,1.7416007947068983e-11,12.299974160132013,4720.999998681279,2.080250941790663e-12,2.5369963809465503e-05,2.4021014568427013e-10,-2.9476236676300123e-19,1.3943110371769726e-06,4.1428050880411186e-06,1.8278458699220162e-11,0.9999999999393868,3.88483927044563e-11,1.7225731431757654e-11,1.5141239848464862e-13,58640.16402354251,363.9999999366933,4.917933266615012e-14,6.570400600621802e-08
3600,337.62539223653835,843.576503252801,1.6427667177838137e-11,1.227663266364169e-09,-0.0008074254382528512,1.7323459933714669,1.334170643204977e-08,2.5151505995432913e-06,0.1246804372817067,7.475805219216767,0.000686539016067405,0.09615937449709697,35.703727944851515,107.84214976794715,0.00013395306564127,0.0006870386429934992,7.452296625154148e-13,6.803335990809738e-12,0.38028196252749885,115.45314805744756,-1.227080695436883e-22,9.12457073937644e-20,18.46758898977836,47.43699243162061,0.013315131936529232,0.0016289035754402125,0.002050216374846338,0.0005115931656719792,0.0005861462187199252,1.1434002508323977e-09,4.2625033255138915e-10,6.792494730283849e-05,1.896102318374305e-10,4.557503584471182e-12,2.633010244698823e-10,4.5348879858723616e-11,2.4340950200432095e-11,12.299971561202273,4720.999998520265,2.8294647444890896e-12,2.6446141926674606e-05,3.2158550829341026e-10,1.5922323229944558e-18,1.5164746176271243e-06,4.176043786967873e-06,1.9356142596583273e-11,0.9999999999386867,5.515680564624908e-11,2.1886038351330847e-11,1.8054061289143733e-13,58175.470783161945,363.9999999291657,8.952127947507549e-14,7.345716068608752e-08
3700,341.7959632042421,837.3851233064,2.5737158422916927e-11,1.4656253738484225e-09,0.010293662006299272,1.7468443161861007,1.4118200302477782e-08,2.952171915811623e-06,0.17805920266361533,7.397370392950026,0.0007639591045070939,0.09715354605113853,35.40122738045207,107.8488020856671,0.00014213491393756468,0.0007493998641781216,7.07300010378452e-13,7.52872501905911e-12,0.6905316379934247,115.05940856058184,5.67831129438276e-22,2.0104369816135973e-19,18.5904627685657,47.08235288675007,0.013273101388400245,0.0016648108808764736,0.0021420595753367457,0.0005191527361674035,0.0006049349253282046,1.2904821521575056e-09,5.228794769371865e-10,7.299629484320162e-05,2.678599206145669e-10,5.342136239774158e-12,3.734182637593856e-10,5.2872213823149405e-11,2.5815017341072704e-11,12.299971257652789,4720.999998397224,4.0046020836717234e-12,2.92946011923023e-05,3.3899733884996186e-10,5.172913904496907e-19,1.6295347555980713e-06,4.5891333607057755e-06,2.942991002725409e-11,0.9999999998952729,6.702481268890912e-11,2.6717854728666737e-11,2.722550076209973e-13,58710.73384492087,363.99999992011465,1.1128806669316374e-13,7.944284231069844e-08
