miliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
2600,8.51999458895332,4.317233064792121e-06,2.503654040707835e-07,1.155948725091699,9.461383205322011e-11,3.552336037532142,2.380851974903503e-09,5.371459815011374e-12,0.0006064127444740129
2700,8.519934417380716,4.9295573419199755e-06,3.239549171160114e-07,1.155948642688543,9.208073261506871e-11,3.552336035741018,3.3438280082995897e-09,1.0104241334017939e-11,0.0006877616946956533
2800,8.519885525368041,5.4396989267831805e-06,3.9376401795090345e-07,1.1559485549584896,1.4136765872300624e-10,3.5523360362403404,4.735400489401748e-09,1.5169164178942534e-11,0.0007152102926222323
2900,8.519850531484265,5.282490544749022e-06,4.2162114993085567e-07,1.155948522639169,1.472142104589929e-10,3.5523360338258083,5.451763795681958e-09,1.3092794901135221e-11,0.0007527426527520616
3000,8.519824215323123,6.47132798377412e-06,4.5646543187434786e-07,1.1559485309314832,1.8423990142506378e-10,3.552336033564581,6.628479321939648e-09,1.2712060496951155e-11,0.0008261602361119356
3100,8.519759860174224,6.843370877946339e-06,5.913514969207883e-07,1.155948438061514,1.840850022384068e-10,3.5523360326104103,6.184353424691433e-09,2.056455945295447e-11,0.0008663353559557092
3200,8.519689548683427,7.605777652750546e-06,5.957429366525915e-07,1.1559483603467362,2.0304474936584043e-10,3.5523360318544337,8.724047587092624e-09,2.7772925452208594e-11,0.0009598638308599188
3300,8.519638459396056,8.31202643536197e-06,7.036060076016503e-07,1.1559482742192895,2.344733694126957e-10,3.5523360297013076,9.43517614576484e-09,2.478521319755651e-11,0.0010133135362901389
3400,8.519574402857486,8.792318036991731e-06,8.320320193574843e-07,1.1559481625677495,3.054352060097131e-10,3.5523360286852386,1.0383461376415735e-08,3.296273940693359e-11,0.0010980000580382778
3500,8.519512838986696,1.0038401746484392e-05,9.275170451864212e-07,1.1559480432513762,3.308740692745771e-10,3.5523360270457074,1.2211282872576738e-08,4.1706472369856113e-11,0.001170545537862222
3600,8.519438032162551,1.0279197974557937e-05,1.0138091883005135e-06,1.155947947179914,3.952157881560904e-10,3.5523360256570116,1.3944447810046647e-08,4.466571448762102e-11,0.0011807538103562843
3700,8.519342559394431,1.1232949713830058e-05,1.0979929472929799e-06,1.1559479146766773,4.4946455835789735e-10,3.5523360240838353,1.6434947391520616e-08,5.447282774268754e-11,0.0012545341532925161
3800,8.51932330247121,1.201493282494986e-05,1.2445275650173056e-06,1.1559477338052737,4.796862441422358e-10,3.5523360214853423,1.728096456110316e-08,6.98832229230742e-11,0.0013543883679888312
3900,8.519257359776525,1.284182668546457e-05,1.3649886118822224e-06,1.15594767018034,5.718544555615713e-10,3.5523360185961383,2.061482274650543e-08,7.331474471596383e-11,0.001432895413123427
4000,8.519151726642956,1.4415210268503972e-05,1.4868871817107175e-06,1.1559475251653228,5.967655589684963e-10,3.552336016614463,2.3856939768154318e-08,8.855435025157388e-11,0.0015050243222410242
4100,8.51909709415424,1.5430090666203372e-05,1.6117793560318383e-06,1.1559473222146819,6.952007767603954e-10,3.5523360130302084,2.6638185976135594e-08,1.0645859533514866e-10,0.00156001231664826
4200,8.51902428137442,1.5942958248967847e-05,1.7426110881934365e-06,1.1559472166271185,7.557234985742981e-10,3.552336009781084,2.8737019548252875e-08,1.1983807393977676e-10,0.0016561014624114
4300,8.518937503529202,1.761583352553638e-05,1.984931242175203e-06,1.1559470055617493,8.852477270367319e-10,3.5523360063322693,3.375339117380906e-08,1.3747616074730503e-10,0.001726007471393644
4400,8.518843257760649,1.8172509255426235e-05,2.163376061145475e-06,1.1559468090633205,9.541040743841668e-10,3.5523360029810283,3.7194473738729684e-08,1.54036027549039e-10,0.001829001857935974
4500,8.518730107914681,1.9343674605943804e-05,2.2802179103449747e-06,1.1559466618188836,1.0830304033202133e-09,3.552335998421229,4.1126042413426016e-08,1.8227253229635715e-10,0.0018722484715020364
4600,8.518662092848707,2.079230485793354e-05,2.4844721310130324e-06,1.155946434088737,1.1983749801096098e-09,3.5523359928431577,4.654530112961964e-08,2.0284397116984667e-10,0.0019908857049377865
4700,8.518619869407623,2.2091942538189724e-05,2.77773782852392e-06,1.1559461799648922,1.3186154632882055e-09,3.5523359881164076,5.0522831536107234e-08,2.3443548798141723e-10,0.0020592664882143025
4800,8.518510428426445,2.383210711977515e-05,2.987475681476965e-06,1.1559459623523476,1.471581979035076e-09,3.5523359826889327,5.6155963327019815e-08,2.582978773923478e-10,0.0021014261141573533
4900,8.51843223539276,2.50643339125288e-05,3.1861513544484184e-06,1.1559457107891842,1.614613474685733e-09,3.5523359774261904,6.1482053803012e-08,2.916659145500297e-10,0.002237395336716754
5000,8.518345684751871,2.6246351658776442e-05,3.454483791188236e-06,1.1559454988430222,1.775757276990666e-09,3.5523359714126284,6.791043555251745e-08,3.294262446944536e-10,0.0022825539416778634
