miliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
1100,8.520526590259797,-3.3920358728413133e-08,4.342521360047793e-08,1.1559489717773048,-1.3696953829112859e-11,3.5523360396290924,6.235178170334527e-10,-3.070622863739285e-12,8.935090690021556e-05
1200,8.520503226312629,6.10465094830019e-07,2.2003516911195945e-08,1.1559489253890978,7.648451072610488e-12,3.552336039257149,-5.074056752962229e-10,1.2849947129881344e-12,0.00010214163019326706
1300,8.520515191718193,3.0770038030279097e-07,1.869667523763498e-08,1.1559489614130716,2.8215045476978173e-13,3.5523360399403217,-5.511396700490183e-10,1.4054209864296633e-12,0.00012699608786784062
1400,8.52045179729795,8.780329619105516e-07,5.948222776895066e-08,1.1559489711453652,2.4184022336894442e-11,3.552336039848734,4.3136481807916354e-10,3.031712521258465e-12,0.00021565233940490133
1500,8.52046461604218,1.182377153055385e-06,-1.0281516453777219e-09,1.1559489015067204,7.276055075560515e-12,3.552336039987927,5.977669730637083e-10,1.9375473918161283e-12,0.00021188093164741363
1600,8.520399391332688,8.30068774772474e-07,6.45738231148479e-08,1.155948956077137,1.7076842085062346e-11,3.552336039084276,1.1260345545681247e-09,-6.66950472391344e-13,0.0002467980072382658
1700,8.52039404392969,1.1339660385835908e-06,5.4939278936869516e-08,1.1559489047594786,4.378251869399648e-12,3.552336039190469,9.442214249323733e-13,-9.205302443686793e-13,0.00024081224390013395
1800,8.520360179739543,1.154184156055769e-06,8.244802061001807e-08,1.1559489086314028,2.996070162498871e-11,3.552336038713564,-3.363199109427557e-10,2.5131342475674576e-12,0.00033258663009403885
1900,8.520322374889798,1.5815772285373249e-06,1.1578446619514379e-07,1.155948896878011,4.2956853980966496e-11,3.552336038463752,1.2094202577850821e-09,-2.218625091110846e-12,0.00037144825936615613
2000,8.520274042902122,1.723040040532259e-06,6.06291983701645e-08,1.1559488736916201,2.8324206155523384e-11,3.552336039385975,1.1451386177597191e-09,-2.5507556970526144e-12,0.00038419581354442317
2100,8.520254615068424,2.3003208846057672e-06,7.535143898044712e-08,1.1559488927218975,5.2863955507308694e-11,3.5523360376374282,7.260450388673782e-10,-1.495450688177192e-12,0.0004015945774375299
2200,8.520185793729452,2.919598168234309e-06,1.7835937843394057e-07,1.1559488309339614,2.353419263321608e-11,3.5523360383971085,5.837810517398514e-10,4.290581779720048e-12,0.00043188673147214157
2300,8.520152610977549,2.844439873607244e-06,1.6028316162366068e-07,1.15594878272377,3.782619011625677e-11,3.5523360377474793,1.3697164039552631e-09,-1.2044116453565767e-13,0.0004844512256674498
2400,8.520123743359308,3.482803986133313e-06,2.3950926346067176e-07,1.1559487666966581,5.1583672088472684e-11,3.552336036718588,2.4631116148840996e-09,1.2253710012314747e-12,0.0005528475594434118
2500,8.520068378333631,3.8107872953427305e-06,2.686342565122157e-07,1.155948699869955,6.261551639955346e-11,3.55233603688499,2.271914818964287e-09,4.616557012245957e-12,0.0006091801072240963
2600,8.520043767254634,4.074664186548418e-06,2.957975586346658e-07,1.155948676269956,8.096281385047744e-11,3.5523360374065267,3.199255986969004e-09,1.1069352372748294e-11,0.0006181318304444637
2700,8.519967843665059,4.866088110322204e-06,3.387761209217043e-07,1.155948654169038,9.222868609090904e-11,3.552336035423555,3.2610980386367987e-09,1.0744883129579036e-11,0.0007000073325814903
2800,8.51991591401854,4.865572433775652e-06,3.537619307412453e-07,1.1559485760246722,9.756502736799447e-11,3.5523360358988625,3.6529680519024156e-09,1.2450733336039545e-11,0.0007631788973239548
2900,8.519872280477108,5.393274262742821e-06,4.617960546056291e-07,1.1559485933755576,1.5186684059300707e-10,3.552336034276848,4.064951148815015e-09,1.0320352372897453e-11,0.0007646230972032128
3000,8.51979161550003,6.577675345696002e-06,4.921726014713255e-07,1.1559485067390878,1.4339178680139826e-10,3.552336033037826,5.442202755867749e-09,1.332434458914758e-11,0.0008386064711918086
3100,8.519712192736941,6.762459760587882e-06,5.960667308287013e-07,1.1559484102585615,2.0014581196787969e-10,3.5523360324085007,7.233960933436141e-09,2.136465427145893e-11,0.0008975315068245052
3200,8.519663345571285,7.128176376936645e-06,6.23255639480333e-07,1.15594830782147,2.0142259652846115e-10,3.5523360317747397,7.789648914177518e-09,2.6566538970937465e-11,0.0009311622217978886
3300,8.519633125668074,7.920611605041531e-06,7.369730688181604e-07,1.1559483176639032,2.4634374725413147e-10,3.5523360305531018,9.31941924299236e-09,2.956887218458256e-11,0.0009913051046473794
3400,8.51955934878325,8.85748218767349e-06,7.608662116242771e-07,1.1559481444092519,2.904701293069493e-10,3.552336029599066,1.1297002375570676e-08,3.570366218138036e-11,0.0011030901259002266
3500,8.519492676057554,9.992676022834824e-06,8.609883419352921e-07,1.1559480787196685,3.218041967808023e-10,3.5523360272728217,1.1710813044551484e-08,4.316464655152221e-11,0.0011566363411833278
3600,8.519458745409084,1.0895874391848606e-05,9.946527005861563e-07,1.1559480270581457,3.781053372534217e-10,3.5523360247740174,1.4877435755323943e-08,5.13124279485919e-11,0.001174497378223388
3700,8.519373441202646,1.1210451674648347e-05,1.130819517186693e-06,1.155947898791219,4.1448700716168617e-10,3.5523360238477526,1.5188406614048224e-08,5.602845379219786e-11,0.001297310214479126
3800,8.519277651597362,1.2529534882494973e-05,1.2520169382560907e-06,1.155947789869837,4.848939968650753e-10,3.552336022216132,1.8742924728860423e-08,6.731422773713279e-11,0.0013143185015276327
3900,8.519235609523182,1.2969936206180685e-05,1.3630792169085482e-06,1.1559476284979073,5.559356177009586e-10,3.552336018463167,2.01131917795097e-08,8.015404431556422e-11,0.001388019385231725
4000,8.519177731075995,1.393289614869437e-05,1.5131832627648043e-06,1.1559474773029912,6.143481136999598e-10,3.5523360169718066,2.4024264384604354e-08,8.768782441601151e-11,0.0015124802085173623
4100,8.519099728618324,1.5341813547708283e-05,1.6419332631955847e-06,1.1559472849534667,6.931590931794636e-10,3.5523360131443926,2.697517611373205e-08,1.0460288685405029e-10,0.0015760813926565097
4200,8.519002246500824,1.5953653586180665e-05,1.7521091124826118e-06,1.1559471832766464,7.696277608297018e-10,3.552336009806772,2.9518787407965974e-08,1.1894027172286172e-10,0.0016628560884748849
4300,8.518888885447033,1.7558206255494208e-05,1.956265531742135e-06,1.155946951585795,8.462905806439582e-10,3.5523360067450422,3.398309289478646e-08,1.3865880559596545e-10,0.0016890795241136152
4400,8.51883171648791,1.8573369370509026e-05,2.154704108079908e-06,1.1559468508312352,9.477250380528005e-10,3.55233600328251,3.682430038872063e-08,1.6059111783471752e-10,0.001826715336083886
4500,8.518781784830066,1.988806008788586e-05,2.302203428605875e-06,1.155946636831897,1.0735382859413112e-09,3.5523359975349678,4.121381201640938e-08,1.799200918046956e-10,0.001848303460077867
4600,8.518686643557407,2.1297595891210625e-05,2.506912428621125e-06,1.1559464353560451,1.1834988009512547e-09,3.552335993237941,4.528978228582472e-08,2.0258273334652677e-10,0.00198667925862727
4700,8.518618853354075,2.2106517798667934e-05,2.7350201636717412e-06,1.1559462024885834,1.2956587240165146e-09,3.5523359882840384,5.037117126722799e-08,2.2902074037826237e-10,0.0020733416443941056
4800,8.518512880552622,2.3294801200713685e-05,2.920443717725802e-06,1.1559459247280914,1.4561849501916019e-09,3.5523359828309697,5.651904592201585e-08,2.618383470080444e-10,0.002131113772416526
4900,8.518397207424478,2.532706806463579e-05,3.159248981435721e-06,1.15594570245163,1.6071585408885065e-09,3.552335977461841,6.207203326542844e-08,2.9099148882287444e-10,0.0022162836775029312
5000,8.518313706458933,2.6324892865653483e-05,3.4804929601484936e-06,1.1559454482772253,1.7631474447653317e-09,3.552335970966346,6.800950497206508e-08,3.3493873583723735e-10,0.0022882200399838605
