miliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
1900,8.520288679310099,1.894071156910167e-06,5.780421973395068e-08,1.1559488975355674,2.3994826208814905e-11,3.5523360381064832,9.72928201045223e-10,-5.140256361997475e-13,0.000373173772932652
2000,8.520258203031128,1.7463321762974786e-06,9.835136381320686e-08,1.1559488565566418,1.9387394110521158e-11,3.552336039284163,1.4126897716036464e-09,-6.865468977168102e-13,0.0003848625035537852
2100,8.520240289195755,2.4672910586679884e-06,1.4814576327213686e-07,1.155948902582824,2.976913136373259e-11,3.5523360384366356,9.892271353332273e-10,2.7254358135073167e-12,0.00044694810773940064
2200,8.520191595845525,2.252989015696518e-06,1.383232854492099e-07,1.1559488181420208,1.5112715396364622e-11,3.5523360386240967,1.3257772367042308e-09,2.273065334585971e-12,0.0004240623703736197
2300,8.520168261611735,3.205065925360018e-06,1.6736641848042507e-07,1.155948814266268,3.976898479567368e-11,3.552336038588982,1.466670622523051e-09,-2.9410082243195377e-13,0.0004788035363195167
2400,8.52008449404629,2.997173641603499e-06,1.65351064439548e-07,1.1559488121163228,7.23801130350992e-11,3.5523360384072995,1.931499227068658e-09,3.454087380191085e-12,0.0005710347525777939
2500,8.520081392525636,3.63457638852562e-06,1.995169299939337e-07,1.1559486976305677,7.295944235516549e-11,3.552336036507415,1.959194786166012e-09,4.18963608840661e-12,0.0006130492532171061
2600,8.520014787541514,3.838424050846077e-06,2.5335265697037426e-07,1.1559487442190808,1.0625600769472234e-10,3.5523360370398356,2.0731325332112518e-09,1.0702516057802565e-11,0.0006309782331577165
2700,8.519978396346005,4.90769989623692e-06,3.0972362221929985e-07,1.1559486272732051,1.1110840545963404e-10,3.552336036818837,3.0559415088508356e-09,9.105539674769544e-12,0.000697890436195186
2800,8.519925725341203,5.077341640126492e-06,3.3932443522151584e-07,1.1559486303511224,1.0514144541836187e-10,3.5523360351606206,4.357381880073985e-09,1.2333396041431771e-11,0.000713319713839852
2900,8.5198847910575,5.760619122901332e-06,4.58233738622475e-07,1.1559485420120386,1.332366966031809e-10,3.5523360338717103,4.131147927093767e-09,1.58469140583344e-11,0.0008003656626482816
3000,8.519817605200936,6.059937159700489e-06,4.7255332907068986e-07,1.1559485118536115,1.7854748960532802e-10,3.552336033624376,5.319167351436878e-09,1.752627787960332e-11,0.0008113637697371692
3100,8.519710378870158,7.070639735500948e-06,5.73957123585797e-07,1.1559484006144616,1.8579473143107753e-10,3.5523360326795217,6.062433892899334e-09,1.836550179062015e-11,0.0009221610342766938
3200,8.519720193202671,7.792711586551074e-06,6.233865813107958e-07,1.1559483095228258,2.1604417683919054e-10,3.5523360318302553,7.174017674090361e-09,2.82289287400458e-11,0.0009857422699817795
3300,8.519652358253278,8.323618501776489e-06,7.336856990643058e-07,1.1559482758919124,2.5421506553116226e-10,3.5523360298420315,9.995296119566037e-09,2.801266294301168e-11,0.0009933119130641356
3400,8.519584589430123,9.256548132758467e-06,8.070634629099308e-07,1.1559481374138796,2.6999713222418696e-10,3.552336029310105,1.120462510623914e-08,3.579207684130741e-11,0.001065905803219692
3500,8.519530286462173,9.829245333525854e-06,8.641871669102595e-07,1.1559481203935413,3.437362870796909e-10,3.5523360278171627,1.185387827138023e-08,4.102155788521541e-11,0.001112050917797143
3600,8.519459823236172,1.0162657518480452e-05,9.982703867127286e-07,1.1559480079662852,3.6016731146098094e-10,3.5523360252329494,1.3666535120326986e-08,4.8437742344591984e-11,0.001218081024242883
3700,8.51936099526366,1.1331200184033155e-05,1.1168295925114055e-06,1.1559478949539486,4.431487137863469e-10,3.5523360226883227,1.668847398745183e-08,5.452055778229536e-11,0.0013086277325324049
3800,8.519272622453137,1.2283278484806656e-05,1.2191941243245292e-06,1.155947788674198,4.73428453258085e-10,3.5523360206251664,1.7871855653066058e-08,6.334574304466568e-11,0.0013200932945172342
3900,8.519218040731019,1.3170461002645567e-05,1.3345334546239491e-06,1.1559475874847587,5.397936479823543e-10,3.552336018774904,2.0933271061701754e-08,7.722413483551934e-11,0.0013874750303571619
4000,8.519152799503392,1.3984655336926801e-05,1.4401887635432185e-06,1.1559475136508937,6.226134172824736e-10,3.5523360155980206,2.326345494869508e-08,9.060369941086394e-11,0.001497781465352963
4100,8.519044243113676,1.5053662049439701e-05,1.6234140840308812e-06,1.1559473795698896,7.124912381662966e-10,3.5523360127525967,2.7147909789429016e-08,1.0190359485360495e-10,0.001593844793129918
4200,8.518974461414741,1.601662488413438e-05,1.8051267459693185e-06,1.1559471942093742,7.807227778705399e-10,3.5523360095170817,2.9250185348384985e-08,1.1870286905455154e-10,0.0016052938560161172
4300,8.51891553805054,1.754119336496702e-05,1.9526103690212834e-06,1.1559470172490915,8.621701911690355e-10,3.5523360064234764,3.3172137564251416e-08,1.3364879394319468e-10,0.0017230515441308313
4400,8.518805515866193,1.8590819031750434e-05,2.163864083289731e-06,1.1559467991322914,9.82553683535275e-10,3.552336003252422,3.6399835656442446e-08,1.5303492148100235e-10,0.001788338669606904
4500,8.518771753040005,1.989652560819657e-05,2.335402269467918e-06,1.1559465766353088,1.0639504941317297e-09,3.5523359985682124,4.0881185282866345e-08,1.7921253472968618e-10,0.0018689187049683166
4600,8.518638212612258,2.1032386301497834e-05,2.4735882767304966e-06,1.1559464639697348,1.1928316791797145e-09,3.552335993115617,4.50513408340442e-08,2.030776499644658e-10,0.00197564207864543
4700,8.518606486673946,2.2192915945986745e-05,2.767515463397276e-06,1.155946213410234,1.3090717909700095e-09,3.552335987930273,5.123447961073933e-08,2.3072998359608637e-10,0.002057816668052106
4800,8.518483410447537,2.331661050072124e-05,3.0056135438097514e-06,1.1559459923827986,1.4331439647266322e-09,3.552335982353796,5.6677721207011464e-08,2.6392699558250006e-10,0.002154943550735584
4900,8.518404691938773,2.502073722057277e-05,3.246105641183911e-06,1.1559457349672468,1.5743997753350216e-09,3.5523359763409528,6.280501428673392e-08,2.970966221775309e-10,0.0022301224335798788
5000,8.518316156544671,2.6106755772678914e-05,3.446354846728044e-06,1.1559454226565247,1.7757710565633126e-09,3.552335971386629,6.909830944145114e-08,3.31319629748504e-10,0.002332937063181791
