milliseconds,GTPgS_C,KCNQsites_M,PIP2_M,GGDPbS_M,ATP_C,oxoM_EX,GDPbS_C,GGTPMg_M,GDP_C,GGDPAlF4Mg_M,ip3_C,AlF4_C,G_M,GGTP_M,GGDPAlF4_M,GGTPgS_M,PI_M,PIP_M,PIP2xKCNQ_M,GGTPgSMg_M,GGDP_M
3500,0.0,6.706139503374959,4743.319392822621,0.0,2999.736391360898,9.853416343412835,0.0,12.651973306795563,0.026392359382834324,0.0,0.5237596189617819,0.0,1.1544055263620763,7.768611712508744,0.0,0.0,199948.6644172092,1078.0200098524015,33.29480399023946,0.0,178.59666304363714
3600,0.0,6.768163942061809,4560.508897201723,0.0,2999.726474006956,10.212962571622077,0.0,14.620052542509939,0.03185652411550861,0.0,0.6720999392897367,0.0,1.155145231703968,7.634685316584897,0.0,0.0,199945.79529750542,1075.8398663442563,33.208998091668576,0.0,176.63648673054624
3700,0.0,6.844272361324548,4373.881429523509,0.0,2999.728827968455,10.180845211965389,0.0,16.859383922110144,0.035138311927808155,0.0,0.7962216534031386,0.0,1.1675657564116861,7.928324965425958,0.0,0.0,199945.33344322853,1072.3478086163657,33.17953122784382,0.0,174.28527107656663
3800,0.0,6.900758415869143,4186.958227196201,0.0,2999.715210803313,9.893998807207993,0.0,18.535346326065966,0.04262455764116828,0.0,0.9858719385685238,0.0,1.1219789021641833,7.573545899160062,0.0,0.0,199942.97899417116,1071.925995121659,33.03695752570768,0.0,171.91657747502785
3900,0.0,7.041969281103908,3991.8306221024914,0.0,2999.7041327214392,9.959392987998108,0.0,20.225873255297753,0.045796851650882604,0.0,1.1072116451465437,0.0,1.1442255837661381,7.82697233135984,0.0,0.0,199942.16140814612,1070.7061824234875,32.9894438972347,0.0,171.08729999253902
4000,0.0,7.201157151114734,3848.7552023505555,0.0,2999.7063941817014,10.096789817962474,0.0,20.852147093181017,0.05214187440608252,0.0,1.2718163996506586,0.0,1.1349767958505999,7.552599247534614,0.0,0.0,199941.45442767354,1068.3004658241189,32.85490425494553,0.0,170.28773687064552
4100,0.0,7.318143574736388,3645.7899654041685,0.0,2999.6935741497896,10.143707988549153,0.0,22.311312266650265,0.056771459259394995,0.0,1.4283528082978156,0.0,1.1167513400549824,7.606984440924489,0.0,0.0,199939.40033428182,1064.3268747257368,32.7126687683891,0.0,168.70735188593258
4200,0.0,7.477049238310114,3448.264718313207,0.0,2999.692444297605,10.029384592299285,0.0,22.393728531735764,0.059109464048244235,0.0,1.5971156927713592,0.0,1.1079763945283183,7.6055899808217955,0.0,0.0,199936.62984964187,1061.7835766548808,32.525564367176585,0.0,169.27069679645564
4300,0.0,7.635163168012135,3221.4660237668404,0.0,2999.684479780732,10.071876878608672,0.0,22.96207465470585,0.065671722211655,0.0,1.724897696051104,0.0,1.1116964051450566,7.466597795445754,0.0,0.0,199936.63035162998,1057.9663353088217,32.364667684737306,0.0,168.67400249091958
4400,0.0,7.854130950294595,3091.4645483409486,0.0,2999.6766914575533,9.981288858795155,0.0,23.850455851669018,0.07062296438256879,0.0,1.8703388256785103,0.0,1.096902548834544,7.53752850011909,0.0,0.0,199934.1462338375,1056.6633055336702,32.15963833721776,0.0,167.60871504504524
