miliseconds,EGF,NGF,freeEGFReceptor,boundEGFReceptor,freeNGFReceptor,boundNGFReceptor,SosInactive,SosActive,P90RskInactive,P90RskActive,RasInactive,RasActive,RasGapActive,Raf1Inactive,Raf1Active,BRafInactive,BRafActive,MekInactive,MekActive,ErkInactive,ErkActive,PI3KInactive,PI3KActive,AktInactive,AktActive,C3GInactive,C3GActive,Rap1Inactive,Rap1Active,RapGapActive,PP2AActive,Raf1PPtase
1000,9921557.452110216,455423.9094855937,464.0956110433335,79533.43098326799,9391.164560910702,625.5092516939975,-681.0247609453897,119457.92542414814,120002.67666327859,-10.703450568946323,97167.38714078457,22627.972968399325,120000.0,116865.45628902398,3064.6222317324496,119887.11157220403,110.88186175549993,567343.75029263,33006.816938254575,566995.2026982838,35832.632746741,2761.1648215961113,116930.6435636453,119226.38640325566,804.2114974051364,78161.50431527071,40359.980974882965,116057.56915473063,3667.147297266607,120000.0,120000.0,120000.0
1100,9922094.83020376,455330.7815980669,-419.5650660411118,80547.46828450954,9368.742345140807,700.1332331385197,92.81438918778537,120281.19022010999,119982.30438934093,11.842852676042536,97326.84827919559,22721.76243840105,120000.0,116743.80901773616,3285.014681334371,119848.23098067593,154.4692456171991,562776.5135250818,39117.76086867012,548807.6006079819,49579.74136062826,2197.659586728208,117774.12455583551,119081.41492816445,906.6139746821076,73437.99322950815,46029.83625277931,115122.02568240327,4666.544505774088,120000.0,120000.0,120000.0
1200,9921754.094809504,455293.0655387597,319.9901562024735,79880.13705426584,9300.650477695135,732.0339215245987,124.18792150286092,120694.08702369024,119904.39995639559,83.77996793659433,97344.23140284226,22646.678999872955,120000.0,116638.52248718277,3364.210335534019,119797.11733963342,201.7620042402515,557137.8419788919,42493.731537921296,532883.7353486948,64584.690496485055,1078.0367432196192,119765.82723844258,118993.5078085063,978.6010141925026,62907.296931476114,54896.59109632548,114015.48723366846,5631.257429541565,120000.0,120000.0,120000.0
1300,9921720.724848414,455200.4117376734,-392.83237520034265,79560.57126119155,9208.097545179704,804.8661725780607,769.1212338990541,119475.56669633996,119941.52667048179,89.61263329731435,97226.55712777987,22749.16907964105,120000.0,116476.40980816918,3470.6107773173785,119775.31907363904,230.81729018211715,550681.863533559,49905.103098077176,515396.5214381595,82489.90398434193,575.8831562865512,120094.1056265607,118934.60874371487,1075.515683343342,54180.30311336187,65238.958677587034,113021.06647421945,6988.440720380977,120000.0,120000.0,120000.0
1400,9922242.36176689,455183.54887589504,-480.32685500159226,79850.92189331166,9176.160239875746,831.8380057528168,-580.4428194573601,120556.41572754801,119901.46221096645,60.5424804151613,97277.17126965524,22818.739522710657,120000.0,116403.6062830681,3531.780081649175,119708.17614423863,277.4690377951374,548045.8243068851,52108.49825440018,501354.8002773941,92851.97453634132,968.4526126970331,120266.05997491888,118903.20772024104,1159.8604056611396,43523.39055674714,75732.11951883676,111964.92872106754,7621.016314239,120000.0,120000.0,120000.0
1500,9921910.977171833,455118.740505829,-33.12795433376333,80242.32781064822,9111.675719974906,903.596336753216,46.22179702764565,119352.19654444326,119878.98785813325,172.6238263513352,97362.30192571705,22727.1030714419,120000.0,116365.60771709874,3648.2811440865494,119678.11631721437,334.33161906491813,536344.0785357831,65121.0205846304,494434.41025219264,109770.28312396456,-542.8736524387092,118991.02884361208,118789.08470042526,1314.1167608708895,36938.963299081006,84762.6677277926,111003.67879698193,8977.684400692371,120000.0,120000.0,120000.0
1600,9921525.616314914,455068.5640932006,563.6344479686669,79570.15180671944,9019.93789726686,951.7451793443447,324.32000267972137,120248.78806581661,119815.33085104202,166.8170415595671,97259.94641970238,22715.242699608236,120000.0,116278.860092372,3692.3737230676516,119619.06889265,375.5704335348204,530965.9976636539,70341.61070990558,474380.9526660807,121717.64753058048,-989.6852496954336,119406.3791785526,118587.25550757445,1424.3386302145095,26953.31221126851,93783.53933610918,109631.31402119892,10317.60266854264,120000.0,120000.0,120000.0
1700,9922481.716832167,454994.31640622317,-289.1045540300567,79503.86746267119,9001.735829446363,1007.0071345402924,-394.2697766538553,119394.8288875704,119797.33642270655,225.64548628003152,97275.94232004764,22642.008067870127,120000.0,116198.40681754133,3773.4728724611346,119562.2487321065,416.6644231500021,524996.4347907761,73233.9045503695,459514.6810968002,137418.67250808963,-822.0429268621522,120904.05593669106,118467.02384412732,1509.492893072898,15366.395514220147,101063.97472742878,108814.30387412493,11095.894158593488,120000.0,120000.0,120000.0
1800,9922277.432633616,454916.9696357379,-444.0120559886226,79840.98358361318,8916.32505984339,1037.2752784186441,-423.594428619048,119828.10161235361,119788.92051139564,246.13147391410206,97372.45861549911,22848.264349907506,120000.0,116189.95054575488,3855.431025313612,119521.32749239408,479.25457612881786,516817.8955673494,83984.49690562958,437425.54889046086,169644.1215687171,-683.6218471764649,120250.17479541198,118432.08496544143,1591.1958427856703,9860.52254319619,112510.17746708353,107515.93212590466,12548.985276801184,120000.0,120000.0,120000.0
1900,9921770.764767502,454893.04459554795,-254.58342492800543,80488.70753292802,8874.512587692283,1121.9183118185451,7.676962841330635,119875.24668524525,119698.8038667192,326.66278297047893,97327.17611547849,22840.4516802708,120000.0,116110.55799912475,3840.1674736106615,119464.04564209137,540.136166674227,509864.6420734721,86963.41613438251,415481.7632038131,191991.7000359893,319.7827483951192,118953.09773835953,118289.74139443788,1613.063983663996,6092.835334471694,114812.32683547556,106891.24852869255,13411.217517436191,120000.0,120000.0,120000.0
