miliseconds,APC,APCAxin,APCAxinGSK3B,APCBCatenin,Akt,Axin,BCatenin,BRaf,C3G,Dsha,Dshi,EGF,ERK,GSK3B,MEK,P90Rsk,PI3K,PIP2,PIP3,PKCD,PP2A,PTEN,RKIP,Raf1,RafPPtase,Rap1,Rap1Gap,Ras,RasGap,SOS,TCF,TCFBCatenin,X,bEGFR,fEGFR,pAPCpAxinGSK3B,pAPCpAxinGSK3BBCatenin,pAPCpAxinGSK3BpBCatenin,pAkt,pBCatenin,pBRaf,pC3G,pERK,pGSK3B,pMEK,pP90Rsk,pPI3K,pRKIP,pRaf1,pRap1,pRas,pSOS,null
1200,96.60140772190714,0.0015173244727514094,0.007596936000815709,3.439776549271229,199.99999986845611,0.0007860279899983203,42.72094642205176,199.99998321659635,499.93030915472247,0.0,100.0,594.3758650743589,260.0000000001049,49.155562961430284,679.9999996901463,60.0,99.98562684799937,699.9999965003356,3.0890981326354668e-06,0.00018268791256253886,240.0,270.0,21.710477556343594,100.00000000851061,60.0,199.99411246017928,12.0,100.09022253989575,100.0,99.99516739817658,6.187445103434148,8.812558341368224,10.263000136821942,4.6370054427957506,412.1169975922975,0.015291259982686831,0.0020043964754917327,0.0020042739927036974,3.652689088325905e-07,0.9881098773097986,-1.9930800769733634e-06,0.06968000165150046,1.7561318501367738e-10,0.8396599898380248,4.215972588243155e-08,6.181423596703161e-16,0.018435047544450453,0.00019652065487689094,-1.4676158087503277e-08,0.004664356258954297,0.00016073117279912842,0.004773631883812657,1.899551795852396
1300,96.60141453045321,0.0015174827236668002,0.007596851779895378,3.4397700445062465,199.99999973706517,0.0007858864402771014,42.720938823788934,199.99998504841165,499.9124235637546,0.0,100.0,594.6089675992827,259.9999999992803,49.15818197798154,679.9999997992747,60.0,99.98220187250925,699.9999965126534,3.2232721326315226e-06,0.00019773830661509465,240.0,270.0,21.712748604232637,100.00000002213392,60.0,199.9922884335514,12.0,100.09467299520693,100.0,99.99508131918857,6.1874296354512675,8.812574113002258,10.263000172432683,5.052489556760727,425.3236724877219,0.0152911057037934,0.002004400416934618,0.002004277895739337,2.413284707856688e-07,0.9881121532411585,2.9690328142125084e-06,0.08586109360846693,6.701833220384152e-10,0.8386455954042922,2.9439609007772284e-07,7.038703556039808e-16,0.01817225009597484,0.0015843937368515918,9.508467107813502e-08,0.005593749211815096,0.0002277062870418014,0.005244791605461184,2.0186848082971194
1400,96.60140924945661,0.001517896069725788,0.0075967124196940645,3.439771861237291,199.99999949717363,0.0007857317187222266,42.7209177004189,199.9999873842281,499.9078114471417,0.0,100.0,593.6799330162698,260.0000000001227,49.160312889881084,679.9999999787696,60.0,99.97747566823041,699.9999944521448,3.947857267928043e-06,0.00021387116703053114,240.0,270.0,21.714368136295047,99.99999978467025,60.0,199.99294676284526,12.0,100.09757910623574,100.0,99.9945414211911,6.187414804325394,8.812593013448176,10.263000187212834,5.476421636438397,436.6076404850528,0.015291107556821348,0.002004361947925101,0.0020043846365768647,2.9872498825498143e-07,0.9881122961848295,1.9366036308773585e-05,0.08666564179668818,-2.78565941017452e-10,0.8376476803399715,-2.1851420446678267e-07,4.797886226672405e-16,0.01798846474793106,0.001653636000784473,1.0473563045822049e-07,0.011359825186885678,0.0002724946667416221,0.005490876011491815,2.4755958970949656
1500,96.60141130615864,0.0015178549440051747,0.007596524112120642,3.439773448280898,199.99999930313695,0.0007857677446701871,42.72091021121895,199.99999695169123,499.90237335735384,0.0,100.0,593.0183228826078,259.99999999978166,49.1610617887968,679.9999996754823,60.0,99.97121856590262,699.9999940283492,4.554474926977424e-06,0.00021393587641326277,240.0,270.0,21.706819111828125,99.99999970913491,60.0,199.99125266060824,12.0,100.10673229100294,100.0,99.99381246528228,6.187408711451558,8.81259903970059,10.263000205954206,5.695419807676981,442.66742701259784,0.01529115790409235,0.0020043846043107747,0.002004336867409429,3.998813759413279e-07,0.9881147343915646,5.59638917508728e-06,0.09423772314209611,-3.288260084876075e-10,0.8359126451223671,8.107800442336661e-08,3.07500683461676e-16,0.02936646969076069,0.006700356001429968,2.1034783754947762e-07,0.012061313264018948,0.00025793572169719863,0.00606165096607636,2.5323704130032767
1600,96.6014173940667,0.0015184537261085254,0.007596234690154727,3.439772931055496,199.99999940811333,0.0007857243139837929,42.720895906961864,199.99997759127513,499.89535440377267,0.0,100.0,592.7866163058145,259.99999999946147,49.16232914713871,679.9999997427018,60.0,99.97327985502463,699.9999935248451,6.98782953721726e-06,0.00024039080163698994,240.0,270.0,21.700815507521384,99.9999998043835,60.0,199.9882349183947,12.0,100.1134011671669,100.0,99.99356500246653,6.18739426060809,8.812607210149768,10.263000214253719,6.259407744733789,447.41310536895276,0.015291084037929318,0.002004345994103222,0.0020043774731735766,6.914341650046843e-07,0.9881157258717296,2.671465041586848e-05,0.10620884672021999,-6.0328601281769e-10,0.833904922332419,-1.6371035544172114e-07,5.991038103712956e-18,0.02522024985011425,0.006535618217972044,1.63933806950141e-07,0.011637396581530155,0.0004088419774946725,0.0064485806347283885,2.641114347335391
1700,96.60141443847024,0.001518364829245868,0.007596084628183794,3.4397694319930165,199.9999994002883,0.00078580861142324,42.720879129357726,199.9999879008648,499.8852405917873,0.0,100.0,592.5805822761216,259.99999999981605,49.16560280477427,679.9999995399029,60.0,99.96881688614464,699.9999938997373,6.257319902127996e-06,0.00024867160959285954,240.0,270.0,21.69739652522713,99.99999968321345,60.0,199.9873021265933,12.0,100.11797272155745,100.0,99.99314881622574,6.187380044360012,8.812613153420697,10.26300023442431,6.828280392594992,467.52392027192553,0.01529106073781919,0.0020043781326441494,0.00200436948467939,8.970827412841095e-07,0.9881179169226928,1.581723170603547e-05,0.1125410637453238,2.4527989831159417e-10,0.8333388402606141,5.159346642136229e-07,-1.5079008874605559e-16,0.035621385620942414,-1.651387426230503e-06,3.3993069174870954e-07,0.01681185237487798,0.00044746402440417964,0.007037643821051443,2.758873905291182
1800,96.60141682726898,0.0015183948554001571,0.007595860367687591,3.4397654851985897,199.99999934900382,0.0007858002666809804,42.72087525732968,199.99998216831042,499.87795843735705,0.0,100.0,591.4106535535437,260.0000000005096,49.16637066829548,679.999999696089,60.0,99.96164071753142,699.9999913761758,8.404382055115683e-06,0.0002726059514160034,240.0,270.0,21.691487044594435,99.9999996775797,60.0,199.9845955583578,12.0,100.12371877367475,100.0,99.9926237027946,6.187370397711941,8.81262873302083,10.26300028634782,6.978592564406747,466.7660271968908,0.015291031041788642,0.0020043898275045866,0.0020043794805095,7.227800536569315e-07,0.9881179657724303,3.284482974170515e-05,0.12483867672185103,-3.6754062316600125e-10,0.8326520626308699,5.821252341469582e-07,5.3616972137658e-16,0.03359643971706912,-0.000531906586401563,5.085310817384396e-07,0.014305168278553437,0.00047573836536695063,0.0076016124781967806,3.115419008605246
1900,96.601418251866,0.0015185614761418305,0.007595743789054151,3.439766450280153,199.99999903703218,0.0007858304649202637,42.72087747818227,199.99997453969576,499.86974938256753,0.0,100.0,590.7808534635158,259.9999999995482,49.16747778993602,679.9999997497886,60.0,99.96089515245544,699.9999905342318,8.68405497482043e-06,0.00028121616247924066,240.0,270.0,21.690125880202665,99.99999952570143,60.0,199.97917974770456,12.0,100.13177042460944,100.0,99.99172070400489,6.187363022203109,8.812625831501919,10.263000297238287,7.412487418937435,485.6569928417284,0.015291023631949488,0.0020043448638156227,0.0020043421645740763,8.632420960810757e-07,0.9881193397340584,2.0847815218809503e-05,0.12851588498706887,5.337014223154196e-10,0.8310222243706316,5.531347575047626e-07,9.08371884308161e-16,0.03743059137293811,0.006568633516599106,5.046679121469699e-07,0.02042280062364745,0.0004931546333189244,0.008184918493662546,3.251682044674211
2000,96.60141484619966,0.0015187137768064244,0.007595434190672182,3.4397654380195637,199.99999883024026,0.0007857388125313746,42.72086181433118,199.99997049444593,499.86048194640694,0.0,100.0,590.4073858712987,260.0000000001944,49.17062458862881,679.9999996269731,60.0,99.95734858547623,699.9999895055889,9.72320024103624e-06,0.0002947946021070386,240.0,270.0,21.68821791461401,99.99999951655359,60.0,199.9781108982136,12.0,100.14512643066315,100.0,99.99098101593307,6.187369977980993,8.812636363575132,10.263000316125726,7.848880425013818,495.9968372760828,0.015291090657840938,0.0020043586028010893,0.0020043752065672356,1.1599796753413674e-06,0.9881215701354186,3.641966876624245e-05,0.14132390630848018,-2.8265006945680756e-10,0.8289924141548468,3.70322572119297e-07,1.0115532683491887e-15,0.04475941142650763,0.0005107161922917148,6.538697989917198e-07,0.022347814433718256,0.0006683651233055876,0.008432311458901377,3.5412436123104656
2100,96.60141585352753,0.0015191440694810306,0.007595313361039178,3.439767157375617,199.99999877734075,0.0007858366751287578,42.72085605571002,199.99994816826757,499.8516914367382,0.0,100.0,590.242795602089,259.9999999992162,49.17101225170415,679.9999993687901,60.0,99.94856491469781,699.9999893124836,1.0574931280374574e-05,0.0003153982093683908,240.0,270.0,21.679493169715922,99.99999950271445,60.0,199.97780464489355,12.0,100.14811768555447,100.0,99.99067327500676,6.187353195921948,8.812643687769842,10.263000329046589,8.010855417264828,499.06256838144583,0.01529111525288843,0.0020043434169753987,0.0020043477017329995,1.3594619963187722e-06,0.9881231399646865,3.2641633451119386e-05,0.15641557419073585,1.13860661963353e-09,0.8287921835676476,3.918241156516052e-07,-6.305529600602483e-16,0.05340601556105922,0.0013992197708500272,5.824778257283726e-07,0.0262316949432546,0.0006509285880978589,0.009195749700287269,3.666068417684659
2200,96.60141604544235,0.001519031845149899,0.007595206956191026,3.439766786595269,199.99999834719128,0.0007858039942011402,42.72084943603913,199.99994756219783,499.84169361418515,0.0,100.0,589.64218332844,259.99999999968793,49.17273523991877,679.9999994260457,60.0,99.94538258098797,699.9999891597093,1.0852029690606421e-05,0.00033043688447847243,240.0,270.0,21.67282039344142,99.99999927828073,60.0,199.9716028670777,12.0,100.15850074246009,100.0,99.99037068467356,6.187360431423592,8.812639388102088,10.263000370754778,8.379707107975511,512.4013161725346,0.01529104938566368,0.0020043387838156847,0.002004327356521433,1.4079334748806813e-06,0.9881231180325573,3.963330717137539e-05,0.16378395301325077,3.9342865267389027e-10,0.8261167072486136,5.22856927792661e-07,-4.253298528155221e-16,0.051130214385197284,-0.004865999425748192,7.347330815698017e-07,0.02643803868359433,0.0007652136966344989,0.010023831443176624,3.9145532889695147
2300,96.6014200435626,0.0015195631681835017,0.007594875926683639,3.4397632068913166,199.99999851405727,0.0007858765321839504,42.72085614795087,199.99994984683215,499.8292392198635,0.0,100.0,588.6022574333333,259.9999999994091,49.17502724180564,679.9999992862647,60.0,99.94167188295972,699.9999876720701,1.2473302653640743e-05,0.0003466803719031126,240.0,270.0,21.671244560081647,99.99999906587658,60.0,199.97261980733057,12.0,100.16680587526034,100.0,99.98991867008739,6.187348998132791,8.812655039480875,10.26300038818169,8.840297011521317,516.3428818108418,0.01529103839971362,0.0020043589624337372,0.0020043512297698634,1.8064245710513334e-06,0.9881245246833598,6.871745487686262e-05,0.16324789298255046,1.5166455877956902e-09,0.8253655316445431,5.349233760200702e-07,2.6468378400829545e-16,0.06073185438471923,0.0056796747918258185,9.385306898233442e-07,0.02881912192625348,0.0008209711253646449,0.010118553735565416,4.284869326228028
2400,96.6014177892642,0.0015195823066743938,0.007594807292051635,3.4397664177416885,199.99999827917424,0.0007860691951890704,42.720848351020344,199.99993682613666,499.82862092119956,0.0,100.0,588.4319143180958,259.9999999989937,49.17561231089905,679.9999991635664,60.0,99.93824370315815,699.9999869185415,1.383272185274287e-05,0.00034925403871226095,240.0,270.0,21.673851665923582,99.99999905032523,60.0,199.96763400430967,12.0,100.16593571431459,100.0,99.98921014412655,6.187348286997625,8.812648875704951,10.263000411690504,9.43330842668809,523.5695871707638,0.015291063309067439,0.002004346696777834,0.0020043604073141726,1.9028870464912607e-06,0.9881273902695865,7.679808090849374e-05,0.18097342047279072,1.0097490857605087e-09,0.825304368820816,8.56659138194108e-07,8.137860500990246e-16,0.0674065282017655,-0.005756571949995547,1.1047708857034117e-06,0.03134857805303375,0.0009615558004918521,0.01101071592002386,4.307040097576287
2500,96.60142132357211,0.0015196966607224258,0.007594597263845066,3.4397664601972515,199.99999799975683,0.0007861386226935606,42.72083699575225,199.99991762064852,499.81424268269484,0.0,100.0,587.7990686606651,259.9999999984179,49.176995244878434,679.9999989035673,60.0,99.92618286380358,699.999984501773,1.5345880072502297e-05,0.0003742802630386472,240.0,270.0,21.668909517644806,99.99999888676814,60.0,199.96592889289323,12.0,100.17548265527262,100.0,99.98841599296212,6.1873449215615235,8.812656437300994,10.263000419433483,9.791108976683333,543.1329134608937,0.015290976136077893,0.002004341383949698,0.002004340386148453,2.250213782536213e-06,0.9881284967710845,8.560333374921709e-05,0.18756385596214808,1.7075872376688398e-09,0.823099625868903,1.2886532696780666e-06,-4.887105402694515e-17,0.07164962271360835,0.004132736166700971,1.0905965068320676e-06,0.03808173806305534,0.001099601323686364,0.011267539034570128,4.627685587171838
2600,96.60141727764295,0.0015197813054978295,0.007594406361944342,3.4397644627847517,199.99999748892054,0.0007859953062363752,42.72082604605384,199.99991548923597,499.80501456081186,0.0,100.0,587.3566694356314,259.9999999984254,49.17995541228437,679.9999984987978,60.0,99.92679965143051,699.9999846589355,1.575671855651198e-05,0.00038791215582907666,240.0,270.0,21.66438995636,99.99999887374196,60.0,199.95879292858316,12.0,100.18816173592319,100.0,99.98799128713095,6.187338152644312,8.812662290786523,10.263000466055027,10.035615146555852,551.9257858734175,0.015291081339269527,0.002004333941159592,0.0020043741188584046,2.510610312968561e-06,0.9881300599466327,9.503838102735509e-05,0.19448261066062925,1.028213389775164e-09,0.8216007479901783,1.4783969489267432e-06,3.739128298241389e-16,0.07438416381070305,-0.007396136602218432,1.1775473704920574e-06,0.037870602270007665,0.0011241714374331127,0.01178298670342462,4.744158229904632
2700,96.60141830573379,0.0015200551698732988,0.007594391463407523,3.439766685673502,199.9999974198795,0.0007860492358482912,42.72084165327447,199.99990286713316,499.7906423426727,0.0,100.0,586.998087060629,259.99999999785547,49.179836773941034,679.9999985475295,60.0,99.91882435250326,699.9999828711191,1.7635098728068445e-05,0.000401618838745375,240.0,270.0,21.66038060344317,99.99999861940343,60.0,199.9573717837756,12.0,100.19589249234203,100.0,99.987999594412,6.187342404325337,8.812658496311077,10.26300048734875,10.543265417850536,549.3444870810107,0.015291023369685186,0.0020043305570925174,0.002004393334541306,2.759695694191036e-06,0.9881301010110541,9.701703323597332e-05,0.20137947890941493,2.739545253382986e-09,0.8202013578365146,1.3179625657105162e-06,1.0815157687784077e-15,0.07768345625724751,0.0017144476635881152,1.3275069753438767e-06,0.040500472116319554,0.0012573595954857477,0.012726500978098692,5.390003355481011
2800,96.60141875566327,0.0015199507817048985,0.007594205538369115,3.439764077001919,199.9999971879155,0.0007862242102513942,42.72082340567544,199.99988421975246,499.7873908942526,0.0,100.0,585.7367671432816,259.9999999974493,49.182827798568184,679.9999980516915,60.0,99.91173447756708,699.999981148862,1.821432943868039e-05,0.00042045618188059125,240.0,270.0,21.65882700136037,99.99999825074208,60.0,199.9538511575153,12.0,100.19867553614927,100.0,99.98709754165796,6.187335287675219,8.81266523652468,10.2630004915602,10.924321797028195,568.3447997636606,0.015291072970145996,0.0020043741590271003,0.002004327083101776,2.697672681251776e-06,0.9881325249087161,0.00011700837192739748,0.21323469609271697,2.423858546546754e-09,0.8196803335377069,2.1116518435308423e-06,1.819869759228527e-15,0.08521162240654032,-0.0006262900356741862,1.5276622821716023e-06,0.047663189486954964,0.0013426813260882687,0.012880473682506706,5.39022743326144
2900,96.60142197968621,0.0015201602760748158,0.007593832526777303,3.4397627334672447,199.99999669658118,0.0007863539537757417,42.7208328444606,199.99987128476698,499.78457401102213,0.0,100.0,585.3721761474632,259.9999999973785,49.184523407271726,679.9999979705503,60.0,99.90493780965329,699.9999792902753,2.0935877758094536e-05,0.0004171860204124067,240.0,270.0,21.654875723488054,99.99999805621968,60.0,199.9511602430011,12.0,100.20618907684229,100.0,99.98688335102173,6.187332384822416,8.81266117577145,10.26300053439112,11.112793327528655,573.2273702828812,0.01529110137869528,0.0020043399823394936,0.0020043640834244954,3.097997183905565e-06,0.9881327522110676,0.00012226486312268681,0.21955493326140182,3.431075419319916e-09,0.8174263787513021,2.115465795176144e-06,2.2142097491620753e-15,0.09389361794181543,-0.004761792135678488,1.6634078613269916e-06,0.05081131825807355,0.001476522418458904,0.013356509993620773,5.853694056038698
3000,96.60142213220738,0.0015202312846898582,0.007593870139921323,3.4397649760889313,199.99999671519288,0.0007864270839194694,42.72081802362239,199.99985267599178,499.7699064494213,0.0,100.0,585.1329532160262,259.99999999582906,49.1855601762134,679.9999971536768,60.0,99.89982157447638,699.9999793675125,2.141144648387721e-05,0.0004459888359902434,240.0,270.0,21.64781182077651,99.99999805703229,60.0,199.9472458197328,12.0,100.21443758167595,100.0,99.98635524206941,6.187336585864114,8.812668486092253,10.263000562402508,11.43664635659219,579.1778431717415,0.01529104781087135,0.0020043694959885386,0.0020043925511375876,3.378788677231447e-06,0.988135223601082,0.00015267326720352472,0.23372074403537965,4.0000822898925296e-09,0.8163478862151042,2.289193616967211e-06,2.330974269655369e-15,0.09890108139843255,0.0008484534103831502,1.986771867067186e-06,0.05634802469879441,0.0015743343989857318,0.013892337150561576,6.105275863108093
