miliseconds,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,P_ii,P_i,tmito
1700,70.05842567505542,5594.338818479196,11375.007470203596,4126.928487859973,4121.505005342698,123.37869402932041,5542.489582876468,11374.35561926853,2552.295621634521,2557.0365248751395,0.0
1800,72.20473522372193,5593.0996948037855,11448.97139260821,4050.914493314258,4048.4404655083194,125.64347202401505,5539.803283672767,11451.068411994773,2628.562337721909,2637.869146226245,0.0
1900,74.04287766762423,5590.801322649587,11527.629168313955,3969.655352539317,3969.789164478966,127.9905101748107,5536.068596915692,11528.17146450977,2708.61170543146,2715.9405662769855,0.0
2000,75.93258927879192,5589.263518642792,11601.796350358109,3900.7820871750273,3898.5451943056064,131.5117557612267,5533.779433019249,11599.235756396041,2786.7342292418284,2792.1341553667417,0.0
2100,78.22862476419716,5586.994856713864,11674.64636664255,3827.6008729087393,3827.105631157242,134.224485001209,5530.649427201031,11677.41370443453,2861.9732762200415,2863.2257495141725,0.0
2200,79.9421830012492,5585.198761143383,11742.923429647908,3751.040768686975,3755.493815435047,136.41487701444615,5527.752563708637,11746.139877272488,2934.2913164791726,2937.83899832163,0.0
2300,82.169970692884,5582.62229646282,11814.801572029071,3683.3228448574364,3680.678013425316,140.31370054168767,5524.920585147648,11818.445892097256,3009.7049796701895,3013.0611707140033,0.0
2400,84.46436943866401,5580.601036878325,11883.708192335878,3614.1109427015904,3615.1768678737985,143.35622877578157,5521.8441604646005,11883.522650739356,3081.376786532291,3082.083125003555,0.0
2500,86.97215788555201,5578.4484452655,11953.235464405117,3548.324279819221,3546.131971257048,145.44378438220357,5518.535983527006,11951.963206904944,3147.9681501630903,3152.4780273315864,0.0
2600,88.88772561165844,5575.970262356511,12015.535150461032,3481.418881743164,3480.4651163766175,149.54809676692955,5516.316391792272,12016.947651195947,3220.326096073571,3223.171272169719,0.0
2700,91.3466687436838,5573.575517117661,12080.496611813134,3414.2311431514213,3416.174873359033,152.36729331885223,5513.052391566524,12085.939385381738,3285.046324356177,3292.235582351335,0.0
2800,93.9891822633401,5571.09491306797,12144.345853671035,3353.9176670034735,3347.9583980297443,155.2018751725481,5509.729903204023,12150.589927955558,3352.6947183027664,3361.4673354221477,0.0
2900,96.476503132423,5568.978121801716,12207.312371706985,3290.5904086737096,3290.9883112366424,158.05443120446026,5506.317673708586,12211.105602366973,3418.7984097233675,3427.3849205768724,0.0
3000,99.25374347779807,5565.71767033974,12271.737988421193,3229.622059688667,3228.753376339877,161.72529743803491,5503.104039651795,12270.119943786824,3486.713820037795,3490.178052743343,0.0
3100,101.7761073323017,5563.121668280041,12329.74269417822,3164.9265700674987,3165.1982084616675,165.08810258162845,5499.890132018716,12330.842982165494,3551.6295196654796,3552.324542439777,0.0
3200,104.54337610393539,5560.8247200639935,12392.96543889074,3107.5223383857697,3107.1359582783216,169.51685806904646,5496.112811572824,12393.882906269644,3614.7369601275873,3616.0183090950204,0.0
3300,106.80069059561863,5558.279620550414,12448.695533792936,3048.0781664343704,3050.111215134362,172.45736144113226,5492.064675655407,12449.89992536582,3674.4034875802304,3677.4596911973103,0.0
3400,110.17798536302469,5555.16044111516,12507.60959008825,2989.494326382428,2993.256448452128,176.00612011615462,5488.474519509649,12508.241837993517,3731.948950801001,3740.245194506423,0.0
3500,113.11238423756384,5552.109239170957,12561.320497189703,2934.7512066294767,2936.6122596346377,179.58774431412076,5485.329917160175,12563.064965793918,3796.1710287531228,3799.1614216528887,0.0
3600,115.69078552963454,5548.82892302397,12620.512095163176,2877.5974765478636,2880.783414709842,183.11057513010073,5482.595032251774,12621.788003639731,3856.1596158377592,3859.8392480118287,0.0
3700,119.30093267556379,5546.100976955802,12672.079039300806,2828.5337323919684,2823.608450105145,186.77713182329853,5478.451352808177,12676.497900361559,3912.4353925046707,3914.7408880821126,0.0
3800,122.23397946525202,5542.4858148036865,12728.437799688882,2772.494312263263,2773.003461845025,191.05667977301604,5475.039664871847,12724.718638002594,3966.936500476999,3976.545571325764,0.0
3900,125.26240300049443,5539.37578812194,12776.117604753765,2722.7793611781544,2717.955286276986,195.26623728718718,5469.711665025253,12777.686999006994,4026.937880760871,4027.519065969716,0.0
4000,128.69291423567478,5535.894026239374,12828.957142538235,2671.190590709937,2667.7010802617756,198.7807646948167,5465.972148987474,12830.669781696179,4081.201290464656,4083.711229120884,0.0
4100,132.46913904941277,5533.065480666305,12880.674047894834,2616.4131717624996,2617.570509011503,202.161863211457,5462.664065202789,12882.161304943613,4134.15241497772,4140.03403302246,0.0
4200,136.11946776172488,5529.363444240798,12928.586412822156,2568.784383399527,2568.6730098438697,206.73445919174077,5458.919860219715,12931.07660420824,4189.880743767529,4190.917793341353,0.0
4300,139.7331517969027,5525.869648408697,12979.94916524979,2519.583303589003,2517.4882450007217,210.71466134054054,5454.774682148785,12978.01312779562,4242.459424471986,4248.00397449974,0.0
4400,142.94203722165489,5522.119999007004,13023.90794564105,2473.7173416729024,2474.2142294102964,214.67546056521388,5449.377876114433,13029.067283643337,4289.396020667521,4296.336584364958,0.0
4500,147.08246575543538,5518.225678346452,13074.64929094045,2424.8494197311206,2426.7252625869564,219.04613378249783,5445.367692370117,13074.246447162192,4342.557557284346,4352.352250357308,0.0
4600,150.54648003380478,5514.074713195979,13118.61195377414,2376.4872871168163,2380.0213988153773,224.368999929738,5441.653206906344,13119.83150477776,4392.0870729838,4398.835852215062,0.0
4700,154.99594547553585,5510.230181848868,13167.16731009967,2334.356112342591,2332.6080282204452,228.59709547479474,5437.018522537471,13164.088661415648,4445.713854041937,4447.733206216157,0.0
4800,158.9850999933176,5506.309124159853,13206.943925072503,2291.022665848284,2285.6987486176804,232.5062604408826,5432.190413088214,13212.861688118626,4493.175251844426,4500.356709811847,0.0
4900,163.03003747018676,5502.2930167759305,13256.479295299765,2242.7257450886423,2243.0617627293323,237.98631079173134,5426.731038763453,13255.076330194452,4538.8122877684655,4545.05572427814,0.0
5000,167.20619951461686,5497.644206136419,13294.068244689113,2204.8421857635917,2202.495698897998,242.61127253702477,5422.603005627276,13295.082683107828,4588.371717911183,4594.24933298648,0.0
