miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
1000,4.951535832848816e-08,1.2880943167403632e-07,4.921790706207645e-10,2.189159396894886e-07,4.896646179739869e-10,1.2951375936000677e-07,2.1081201145562734e-10,2.5871627499667025e-10
1100,4.9500539470285943e-08,1.2871737603849435e-07,4.935170588114579e-10,2.189106314508672e-07,5.121427111977611e-10,1.2941879675085736e-07,2.872209144696505e-10,2.8016306194765995e-10
1200,4.9497631110526863e-08,1.284337336661556e-07,4.994408317825013e-10,2.1871615477293928e-07,5.795293622992535e-10,1.2928475527498276e-07,4.463422168504286e-10,2.9084955841672356e-10
1300,4.9485445500927876e-08,1.284631325949267e-07,5.074871680682962e-10,2.186721013909925e-07,6.183593451523777e-10,1.2921057738660088e-07,5.106694034687804e-10,3.306852879280972e-10
1400,4.949008408085904e-08,1.2831885231003528e-07,5.115130089924407e-10,2.1853566095397414e-07,6.296853424943524e-10,1.2902285322409027e-07,4.961848026020069e-10,3.4481853243704146e-10
1500,4.94803715248664e-08,1.2820335524394265e-07,5.210552833220636e-10,2.1833418023163582e-07,6.617633321433222e-10,1.2895207485990695e-07,7.179740342057709e-10,3.665452001372488e-10
1600,4.947447141160951e-08,1.281243528612311e-07,5.256897324182839e-10,2.1816052256655776e-07,6.87458342027165e-10,1.289123475149337e-07,7.711513134625625e-10,3.853514555166033e-10
1700,4.9471803287907374e-08,1.2795871265578667e-07,5.282514686676971e-10,2.18110430147168e-07,7.347851838771713e-10,1.2874743666650696e-07,8.01484069016448e-10,3.969705287799017e-10
1800,4.9478668589156866e-08,1.27764881926584e-07,5.233482195313127e-10,2.1782816400605078e-07,7.467341056795421e-10,1.2872248146607446e-07,9.083700206592406e-10,4.3948663624540877e-10
1900,4.947210747794141e-08,1.276292871576936e-07,5.276150721772036e-10,2.1769898946159135e-07,7.733659935792169e-10,1.285148462734854e-07,9.63346986730082e-10,4.4745653110295516e-10
2000,4.947257993670677e-08,1.2755329563037387e-07,5.264267765431871e-10,2.175632764244744e-07,7.953439560487976e-10,1.2846330895069674e-07,1.1420716383557207e-09,4.607787667866927e-10
2100,4.947330219564969e-08,1.2750926027299075e-07,5.231270486651158e-10,2.1741791486640666e-07,8.047997390451416e-10,1.2832971112038447e-07,1.22062714750124e-09,4.806866063669003e-10
2200,4.94734749451219e-08,1.2738274031100536e-07,5.313587538356328e-10,2.173588264035838e-07,8.248141225328164e-10,1.28233343693349e-07,1.3863046574167689e-09,5.107063319533908e-10
2300,4.947446818081262e-08,1.2727424393019135e-07,5.289422747598407e-10,2.172374097794063e-07,8.375107984088926e-10,1.2797779932872988e-07,1.444616371264008e-09,5.129518809969817e-10
2400,4.946833526038499e-08,1.271171963187155e-07,5.33608198807683e-10,2.1717204226832646e-07,8.58789273652197e-10,1.2788862196321515e-07,1.5424020313722253e-09,5.273996787981943e-10
2500,4.9468814011590976e-08,1.2706859426583197e-07,5.274863881660449e-10,2.1704055346480923e-07,8.681193439178264e-10,1.2780275564313008e-07,1.6484975550583235e-09,5.532576009700335e-10
2600,4.94723689312356e-08,1.268652856829009e-07,5.271190626911049e-10,2.1685637852691774e-07,8.623034970192745e-10,1.277635301527901e-07,1.7932007593255453e-09,5.732738729309543e-10
2700,4.9473552340802965e-08,1.267630487418577e-07,5.259537199795261e-10,2.1676874295416524e-07,8.669544046284934e-10,1.2751107777900183e-07,1.8173431098039343e-09,5.780976839759795e-10
2800,4.9471658390958835e-08,1.2671589225917018e-07,5.257278502771157e-10,2.1664405688311714e-07,8.910460608770287e-10,1.273598394712725e-07,2.019996831426296e-09,5.903798373794925e-10
2900,4.947040283948167e-08,1.264654090351452e-07,5.301493164117443e-10,2.1645099569992928e-07,8.784096047511767e-10,1.2738859817868155e-07,2.0142025687899018e-09,6.207819927361863e-10
3000,4.947595618916186e-08,1.2644744819370752e-07,5.275046716964687e-10,2.1626538830569235e-07,8.883732212104595e-10,1.2726878140492945e-07,2.221128062029074e-09,6.295643960384618e-10
3100,4.9467723892252394e-08,1.2620329676773854e-07,5.313881827339904e-10,2.162459038158347e-07,8.94003145823204e-10,1.2704410587304694e-07,2.25731129371313e-09,6.440475659301517e-10
3200,4.9468509966849454e-08,1.2613569624007383e-07,5.345200104160695e-10,2.1605301010688644e-07,9.182677515636063e-10,1.2689861321943122e-07,2.3842352316251354e-09,6.561284172741313e-10
3300,4.9475381302930776e-08,1.2601364436455783e-07,5.315124424097563e-10,2.1582576950410163e-07,9.20679165223049e-10,1.2681442121347023e-07,2.503542115543447e-09,6.653269266777988e-10
3400,4.946882629423155e-08,1.2594187816917406e-07,5.251384430590742e-10,2.1581517897579401e-07,9.27629246070452e-10,1.2674516369408672e-07,2.5885221753853106e-09,6.958856593023566e-10
3500,4.9466658229765984e-08,1.257791550159717e-07,5.237971801483588e-10,2.1559062569895942e-07,9.177293476015256e-10,1.2662104206046801e-07,2.6871614006310835e-09,7.133070884314973e-10
3600,4.946586369422553e-08,1.2565964201537505e-07,5.334462248095025e-10,2.1554950938432395e-07,9.32581999851643e-10,1.2637010814496422e-07,2.8392266398509936e-09,7.14268344163446e-10
3700,4.94767289047227e-08,1.255063922265441e-07,5.320072119342872e-10,2.154246046278276e-07,9.418617481426772e-10,1.2639954838993084e-07,2.9120242566020504e-09,7.242683399468081e-10
3800,4.9471928252763226e-08,1.2551867863074713e-07,5.311146691068177e-10,2.1533533776398742e-07,9.365010276431249e-10,1.2614648024794104e-07,3.0244180060207176e-09,7.434040517904041e-10
3900,4.9475531515719086e-08,1.2534463979774243e-07,5.245054051624047e-10,2.1513849292168407e-07,9.299183263699216e-10,1.2615412899324472e-07,3.114973170443955e-09,7.6243039198603e-10
4000,4.947198046694208e-08,1.2518360369023442e-07,5.317833770079387e-10,2.1491436644762099e-07,9.383638937550077e-10,1.2589557232595912e-07,3.2849617359034204e-09,7.782403119175082e-10
4100,4.9475417293943477e-08,1.2511033506713468e-07,5.328060808993046e-10,2.1487680667508334e-07,9.577749983088582e-10,1.258202899115507e-07,3.3540025169059477e-09,7.718251890798296e-10
4200,4.947200124343733e-08,1.2505635765924704e-07,5.27021430208727e-10,2.1479403886875676e-07,9.479867925946066e-10,1.2572451932885826e-07,3.531429210287071e-09,7.906341484147309e-10
4300,4.947769531023775e-08,1.2486692820474902e-07,5.235909880552881e-10,2.1465498792495084e-07,9.435514261256586e-10,1.2553280109677495e-07,3.6871849531207916e-09,8.010630720887557e-10
4400,4.947202607093972e-08,1.2478021821531438e-07,5.319854217870702e-10,2.144036210085102e-07,9.620492423240058e-10,1.2549045001233652e-07,3.796572655745366e-09,8.071441130237833e-10
4500,4.9475318892424636e-08,1.2463634539859993e-07,5.242565704913628e-10,2.1431548220391415e-07,9.555403513508894e-10,1.2528107246494802e-07,3.855522087224974e-09,8.199078787795329e-10
4600,4.94783999678246e-08,1.2461772663641124e-07,5.294724911522979e-10,2.142478501341243e-07,9.695406149153057e-10,1.2526169187435234e-07,3.9436105893564805e-09,8.27893205545323e-10
4700,4.9474356578734584e-08,1.2448276099927356e-07,5.269937574506866e-10,2.1418087881784132e-07,9.546422146536408e-10,1.250772856323241e-07,4.096068420259522e-09,8.477479677002003e-10
4800,4.946823881091873e-08,1.2438153328149918e-07,5.231216113605999e-10,2.1408199686114278e-07,9.73349596114673e-10,1.2488532163246205e-07,4.172901349445857e-09,8.472944096762021e-10
4900,4.947271320163583e-08,1.2416311785618474e-07,5.304482499578703e-10,2.138852538944855e-07,9.703584397831803e-10,1.2491622225646936e-07,4.300401357744783e-09,8.695719135500918e-10
5000,4.947640281694582e-08,1.2418177698249297e-07,5.271928196972754e-10,2.138164650912119e-07,9.6469068665993e-10,1.24779182936888e-07,4.376938570208485e-09,8.681039733352038e-10
