milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
3300,4.9474957554167766e-08,1.2602448813507316e-07,5.274748146452639e-10,2.1594476817733265e-07,9.179890656056173e-10,1.268452759630137e-07,2.452038317510749e-09,6.775659613128295e-10
3400,4.946614299127865e-08,1.2585932327335127e-07,5.29289482214451e-10,2.1580779138364531e-07,9.156528635706033e-10,1.2663849575010392e-07,2.6344771055516554e-09,6.791294510936353e-10
3500,4.94677570874914e-08,1.2575351700885416e-07,5.249895731462457e-10,2.156871950652685e-07,9.265271677028884e-10,1.2657094081022904e-07,2.6899897000875377e-09,6.925775624050695e-10
3600,4.946788080409771e-08,1.256417077948915e-07,5.299408692095631e-10,2.1555317620595524e-07,9.409179675684905e-10,1.264137574582366e-07,2.770016766844405e-09,7.118612732916537e-10
3700,4.9466145044038504e-08,1.2563003122653526e-07,5.253308400927126e-10,2.1542920905856341e-07,9.38041448087532e-10,1.263163065211966e-07,2.913612904752334e-09,7.288098986923688e-10
3800,4.947397948021414e-08,1.2545608447017795e-07,5.259163727817878e-10,2.151677396108898e-07,9.396456002988711e-10,1.2616839164167477e-07,2.992075439245052e-09,7.360010867707235e-10
3900,4.946748603365926e-08,1.252934408817789e-07,5.307065850509003e-10,2.1518937861006717e-07,9.303876209304054e-10,1.260278999188467e-07,3.192622328332771e-09,7.623739095914333e-10
4000,4.946954508985676e-08,1.2519512948839607e-07,5.311691431808571e-10,2.150224438484003e-07,9.297638819745777e-10,1.2602488774368742e-07,3.2891277822725483e-09,7.666677086269766e-10
4100,4.946708094625668e-08,1.2512242493748866e-07,5.271015652426672e-10,2.1488762890876938e-07,9.415770613530215e-10,1.2588484801951492e-07,3.4206223449252317e-09,7.762013306963404e-10
4200,4.947313629522008e-08,1.2506230979923723e-07,5.331332678919512e-10,2.147199046696725e-07,9.575842330150185e-10,1.256262885807717e-07,3.466384177055427e-09,7.793299881424317e-10
4300,4.947310107186138e-08,1.2494302434550846e-07,5.267994135272995e-10,2.1453984978988792e-07,9.58929709997336e-10,1.2550578579816214e-07,3.5610346758736863e-09,7.925426256482246e-10
4400,4.946975549603374e-08,1.248327992634059e-07,5.277735286988579e-10,2.1458338577453694e-07,9.399096163126636e-10,1.254518610788515e-07,3.762919594318938e-09,8.0352219138098e-10
4500,4.9472975530249035e-08,1.2470924650031761e-07,5.246897170039352e-10,2.1429979355904277e-07,9.60006435083851e-10,1.2526756293512917e-07,3.845830380874274e-09,8.277966445156099e-10
4600,4.947214243615174e-08,1.245798761294869e-07,5.231535482217796e-10,2.1418122355679197e-07,9.702195176193175e-10,1.2520628443968119e-07,4.015485228711718e-09,8.368909524439423e-10
4700,4.946978175102445e-08,1.2439696651194688e-07,5.215117705296392e-10,2.1418937500978069e-07,9.60394963537753e-10,1.2505997847643116e-07,4.054361713661744e-09,8.354151015733903e-10
4800,4.947431957627146e-08,1.2431555980368366e-07,5.279816211682128e-10,2.139468496322519e-07,9.53113331569436e-10,1.2501907898401253e-07,4.217591354173421e-09,8.408917875260262e-10
4900,4.947133915495774e-08,1.2414705737767206e-07,5.235214397400612e-10,2.1384433814898534e-07,9.550147374524347e-10,1.2479339464236694e-07,4.310315402853336e-09,8.558738564543798e-10
5000,4.947845051244954e-08,1.241240490548653e-07,5.280221726872637e-10,2.1369223289208173e-07,9.592596749912308e-10,1.2466384661184298e-07,4.425543483949709e-09,8.678691444760638e-10
