miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
1500,4.9477524587526386e-08,1.2819002949351005e-07,5.212255969049519e-10,2.1825766528698154e-07,6.706967190401556e-10,1.2898354210691246e-07,5.818015472512382e-10,3.6542423541628915e-10
1600,4.948246153478888e-08,1.2800897261440972e-07,5.253108592355417e-10,2.1813365648898009e-07,7.153135168396754e-10,1.2891275194761896e-07,7.996805046923045e-10,3.877151286896782e-10
1700,4.947313396864324e-08,1.2788901242765296e-07,5.225507965822158e-10,2.1810802441903571e-07,7.287752019510282e-10,1.2869620798949948e-07,7.628173373569711e-10,4.0809193827941257e-10
1800,4.947763432347028e-08,1.278898284142182e-07,5.292828111478676e-10,2.1780571124896103e-07,7.352206475227143e-10,1.2873117295069422e-07,8.607643088033355e-10,4.1963261195908295e-10
1900,4.9473340882195957e-08,1.2766567280298461e-07,5.259074860078806e-10,2.1768500531244742e-07,7.796327295665258e-10,1.284779761501564e-07,9.640773644967973e-10,4.560953370994733e-10
2000,4.94730456182092e-08,1.2758416754177634e-07,5.245531768804257e-10,2.1772305161106621e-07,7.97659508277153e-10,1.2839739817392926e-07,1.13178274406258e-09,4.704502569801137e-10
2100,4.9476998634409896e-08,1.275119789640604e-07,5.318027085861664e-10,2.174111373173258e-07,7.991828304632905e-10,1.2831579231977641e-07,1.2513837003840215e-09,4.907353810982153e-10
2200,4.9470789131861334e-08,1.2727851896996362e-07,5.232946214008239e-10,2.1735323623075352e-07,8.252901646246628e-10,1.2818928824212434e-07,1.3396091053765278e-09,5.153413065831682e-10
2300,4.9473947018778604e-08,1.271719908871624e-07,5.290999840477719e-10,2.1719248922979787e-07,8.210051021454649e-10,1.2811137970933935e-07,1.387795702430221e-09,5.149840606332352e-10
2400,4.946907158411094e-08,1.2709053095425027e-07,5.249123266628945e-10,2.1707191559285047e-07,8.400088852536573e-10,1.2801645571553228e-07,1.5248913886060814e-09,5.461219999877904e-10
2500,4.9470799124578746e-08,1.2705039243338315e-07,5.26171099793073e-10,2.1689609632571277e-07,8.675095014143995e-10,1.2783718831452814e-07,1.6536006716133087e-09,5.420067254891582e-10
2600,4.946892730621749e-08,1.2692919084894606e-07,5.330129102802447e-10,2.168402000744616e-07,8.787572780903395e-10,1.2769142126764089e-07,1.7737396776319876e-09,5.784619485284889e-10
2700,4.9465553618306186e-08,1.2682135906777934e-07,5.314017583796185e-10,2.1662639967181713e-07,8.760117497566195e-10,1.2758292697471065e-07,1.8342343084101987e-09,5.867334955433182e-10
2800,4.947015484638148e-08,1.265539486524439e-07,5.323983958663306e-10,2.165042152825767e-07,8.854804522191641e-10,1.273629155864054e-07,2.0100529544971306e-09,6.058122610553898e-10
2900,4.947025247724763e-08,1.2655493753137333e-07,5.29003591141544e-10,2.1651414772643338e-07,8.826190849108619e-10,1.2739325100559022e-07,2.04780562691925e-09,6.107052864976143e-10
3000,4.946932969690421e-08,1.264433860330178e-07,5.254109616523303e-10,2.1632965945391854e-07,9.014680341051375e-10,1.2713876632952613e-07,2.1076064062535537e-09,6.421452746251694e-10
3100,4.9472307562842246e-08,1.2621753804717568e-07,5.329148471994934e-10,2.1608914704583706e-07,9.109288970385884e-10,1.2706654064103055e-07,2.2440528911985162e-09,6.463875626879262e-10
3200,4.94734468288226e-08,1.2611667588372578e-07,5.340114745753738e-10,2.1596910124772174e-07,9.189356929484817e-10,1.269098880932972e-07,2.4469778143667585e-09,6.613616643587289e-10
3300,4.9474168421718154e-08,1.2613784507562883e-07,5.318661466246513e-10,2.1581255663579596e-07,9.276768873053714e-10,1.2689720147410506e-07,2.5581566282852354e-09,6.82116647360503e-10
3400,4.9468797888750553e-08,1.2601355924853704e-07,5.294498464615524e-10,2.157000712009456e-07,9.126836786358535e-10,1.267282427422753e-07,2.644153332859245e-09,6.816852550381114e-10
3500,4.946883382187053e-08,1.2576893429952985e-07,5.329067292139673e-10,2.1561612660129198e-07,9.192328129300476e-10,1.2661222877830568e-07,2.777854113004782e-09,7.036263619764547e-10
3600,4.946683742219555e-08,1.2577217962053357e-07,5.318223491231489e-10,2.154813849312354e-07,9.218268613619223e-10,1.264029396001773e-07,2.8516642881049697e-09,7.287099247025977e-10
3700,4.947200142841851e-08,1.2563412165182403e-07,5.29229501354086e-10,2.1533342196536952e-07,9.292503549783313e-10,1.2637982443035433e-07,2.9766103633885463e-09,7.307231170872274e-10
3800,4.947290147234799e-08,1.254568954519391e-07,5.321583163327238e-10,2.1531609715300054e-07,9.398060097144303e-10,1.261143039219484e-07,3.1127551553898018e-09,7.430906800753278e-10
3900,4.9476907454577086e-08,1.2533379687586537e-07,5.239654335985442e-10,2.152203561097836e-07,9.331060198401688e-10,1.2610690470537505e-07,3.222666315165177e-09,7.560221808382686e-10
4000,4.9472746187382846e-08,1.2519093046102188e-07,5.259248089784874e-10,2.1505844050256024e-07,9.426864856043966e-10,1.2591099229910077e-07,3.2845307461115135e-09,7.735482762395701e-10
4100,4.946874862153923e-08,1.2508780993069514e-07,5.250623119921922e-10,2.1485881875492559e-07,9.343779572041658e-10,1.258356039371824e-07,3.4640883694631546e-09,7.686398884196271e-10
4200,4.947250116462103e-08,1.2506801535198295e-07,5.295049079709346e-10,2.1466960682826161e-07,9.392327088811739e-10,1.2574770701537004e-07,3.548093787307041e-09,7.789220023022944e-10
4300,4.947590412633551e-08,1.249469779604189e-07,5.297369107599623e-10,2.145564474891427e-07,9.562189598201798e-10,1.256522564083304e-07,3.6805759867796215e-09,7.899596746112359e-10
4400,4.9476778677144094e-08,1.2472943853931684e-07,5.249422477599504e-10,2.1440470526453594e-07,9.452362408797948e-10,1.2541003171626833e-07,3.712457570578164e-09,8.138553590127426e-10
4500,4.946825643324016e-08,1.2467311506395638e-07,5.284149797450908e-10,2.1438146410727805e-07,9.477012274932127e-10,1.253373141417295e-07,3.813028302093239e-09,8.191748740835961e-10
4600,4.947200409790291e-08,1.2456655509174373e-07,5.311338386207373e-10,2.1419127467520205e-07,9.549806567556068e-10,1.252419674497805e-07,3.9397913895689635e-09,8.306201254891555e-10
4700,4.947517328204294e-08,1.2450256277049242e-07,5.258858681799832e-10,2.1418374517507574e-07,9.4677716920985e-10,1.2507016452881273e-07,4.066248178644734e-09,8.341976821723112e-10
4800,4.947464322968862e-08,1.243302877012665e-07,5.281529702765629e-10,2.1400925022460177e-07,9.77850257210807e-10,1.249748956404555e-07,4.215519178837066e-09,8.575130474342715e-10
4900,4.947636255393292e-08,1.2419308539242771e-07,5.223625851258182e-10,2.137909769952068e-07,9.77323799312394e-10,1.24849511762763e-07,4.2937263750624855e-09,8.582837979105824e-10
5000,4.947242819895431e-08,1.2403135907667537e-07,5.240660126381591e-10,2.137043665574627e-07,9.635075651474943e-10,1.247566009449563e-07,4.445396547825427e-09,8.812629644299047e-10
