milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
2900,4.9471071651233565e-08,1.2651978400776854e-07,5.297665017345413e-10,2.1649192199358355e-07,9.020852134847375e-10,1.2732695966771316e-07,2.1282362025585694e-09,6.09428280701315e-10
3000,4.9465493472767345e-08,1.2646971704938718e-07,5.299608503537871e-10,2.16271711270658e-07,8.984250496962322e-10,1.271810412175483e-07,2.126306871875805e-09,6.203606021172499e-10
3100,4.947427049245184e-08,1.263558979717267e-07,5.329262893249572e-10,2.1620984216634865e-07,8.992903862788113e-10,1.2707321095873672e-07,2.2592933749835505e-09,6.498890543572658e-10
3200,4.9473526473339214e-08,1.2615313535186028e-07,5.33702687730977e-10,2.1611891239786538e-07,9.245925327274242e-10,1.2698470571796014e-07,2.331051071211457e-09,6.722796353860013e-10
3300,4.94709594765368e-08,1.2613684711678098e-07,5.301440829966872e-10,2.1585177189000122e-07,9.053313025881806e-10,1.2680377410048813e-07,2.4602913702558967e-09,6.661329186461211e-10
3400,4.947161171788019e-08,1.2598129586954444e-07,5.29388633101095e-10,2.1570899469718987e-07,9.115388800793924e-10,1.26656065406607e-07,2.6589935448960616e-09,6.942572048637532e-10
3500,4.947339131628591e-08,1.257532683569916e-07,5.326674665458379e-10,2.1564921298725968e-07,9.132808251133603e-10,1.2664267234519987e-07,2.7680791247343137e-09,7.025126092184642e-10
3600,4.947439128808298e-08,1.2575854690576298e-07,5.25317272921382e-10,2.1547479131354078e-07,9.294796838813331e-10,1.2647168118223165e-07,2.8933217263293572e-09,7.195251200571845e-10
3700,4.9469900004929236e-08,1.2553794729356996e-07,5.248679991734811e-10,2.154791368252668e-07,9.302485931525148e-10,1.262829205638186e-07,2.936097645311945e-09,7.258868828360286e-10
3800,4.947217913160095e-08,1.2549652753288048e-07,5.281169249344174e-10,2.1528386994249415e-07,9.40544119137209e-10,1.2626800984029645e-07,3.109077337842571e-09,7.503931295880064e-10
3900,4.947634902191269e-08,1.2530708996286206e-07,5.32829649431091e-10,2.1503580156409688e-07,9.481346454917233e-10,1.2604060844377818e-07,3.141695144013601e-09,7.661312332342887e-10
4000,4.9467173323480236e-08,1.251920607711494e-07,5.305758999518235e-10,2.1500806688943392e-07,9.51311228869685e-10,1.2595701720217515e-07,3.3526423127169362e-09,7.755335075964092e-10
4100,4.946800923231275e-08,1.2519833418133467e-07,5.324637505147016e-10,2.1487201936235949e-07,9.45103245247074e-10,1.2580357782628372e-07,3.4547428546094574e-09,7.65172715600785e-10
4200,4.9469381747448644e-08,1.2504704937126056e-07,5.270846451946588e-10,2.1473797491287688e-07,9.42016431401224e-10,1.2569646254974503e-07,3.5733377650004622e-09,7.836550663164457e-10
4300,4.9477873437372196e-08,1.24870117094922e-07,5.230911672389106e-10,2.146745463920609e-07,9.625650132878252e-10,1.2555257636736463e-07,3.661299848315113e-09,7.935386621192734e-10
4400,4.947073546810082e-08,1.2475524296144676e-07,5.325324319448435e-10,2.145056184257859e-07,9.59670659639776e-10,1.255181365765112e-07,3.792516499841304e-09,8.066090373985709e-10
4500,4.947069552010947e-08,1.2461912981681852e-07,5.258875433042054e-10,2.1439514477832058e-07,9.43431302024509e-10,1.2536155986724506e-07,3.887201142155898e-09,8.192184775719428e-10
4600,4.947673380021699e-08,1.2449929505099966e-07,5.269122292744069e-10,2.1432766254491718e-07,9.472139344112378e-10,1.252248157891048e-07,3.933944448487636e-09,8.261926959513856e-10
4700,4.9477086228284314e-08,1.243788043810284e-07,5.266147220725657e-10,2.14133939901233e-07,9.489727447420923e-10,1.2515088962805931e-07,4.1248482124190665e-09,8.527174787310492e-10
4800,4.947493974851954e-08,1.2438242164722335e-07,5.223972073435816e-10,2.139681598686457e-07,9.582808388126893e-10,1.2491924373013397e-07,4.17346073808944e-09,8.449567952036735e-10
4900,4.9478171948797073e-08,1.2428538385767638e-07,5.243519462671953e-10,2.1378960183275358e-07,9.732045422034337e-10,1.2478320098650714e-07,4.239272664682434e-09,8.681431716105068e-10
5000,4.9473762816327924e-08,1.241271422865168e-07,5.312726491892982e-10,2.1368814210747423e-07,9.605986841114705e-10,1.2470196128755825e-07,4.36561500007302e-09,8.640954275868817e-10
