milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
1000,4.992535613646396e-08,1.2877263744827243e-07,7.461007969807433e-11,1.6626863754066327e-07,6.908563465898171e-10,1.261839996835818e-07,1.946509011250804e-10,2.137838480542055e-10,3.850535629395734e-08,3.944585872809312e-10,5.123026622586232e-08
1100,4.992398028501929e-08,1.284444889291995e-07,7.672515201803445e-11,1.6327285429109829e-07,7.414420076566951e-10,1.2621006685790964e-07,1.6530479102499132e-10,2.2632391279843478e-10,3.374646998465948e-08,5.084230663759307e-10,5.5722237660193255e-08
1200,4.992200190627698e-08,1.2840495639937592e-07,7.76892111715213e-11,1.6232593250780802e-07,7.779325339708836e-10,1.2589746118892542e-07,2.482999971461458e-10,2.3567693662073096e-10,3.0783392415599334e-08,4.964470092902723e-10,5.812706755509527e-08
1300,4.992155756600737e-08,1.2846444941190687e-07,8.033816213251388e-11,1.5828829606017913e-07,8.144218500607737e-10,1.2585180808198993e-07,2.637103583517411e-10,2.544364822831714e-10,3.109166757131303e-08,6.379497762512684e-10,5.823496824301451e-08
1400,4.992093873396076e-08,1.281648103566532e-07,8.137311232730604e-11,1.5610592183440383e-07,8.468823649866804e-10,1.2584262563629333e-07,2.8694310781557807e-10,2.641525103538602e-10,2.8954103572843253e-08,5.628356027914429e-10,5.979896342781055e-08
1500,4.99197698564557e-08,1.2804199759651143e-07,7.970834324165089e-11,1.5574053901785634e-07,8.403912460090474e-10,1.2565659226079904e-07,3.1350400545355384e-10,2.9488279797428253e-10,2.703098204357521e-08,7.071195313090548e-10,6.274709153925487e-08
1600,4.9918737959128603e-08,1.281016984962383e-07,8.164469102012165e-11,1.5149351472309146e-07,8.572731425053302e-10,1.254718253772677e-07,3.355496191502786e-10,3.190586529611063e-10,2.4566292200872186e-08,8.558488297698276e-10,6.367155676233797e-08
1700,4.991731396961069e-08,1.2773459862186803e-07,8.325391566090636e-11,1.515986787551395e-07,9.015457320764929e-10,1.255298121068939e-07,3.840638862047652e-10,3.0303922909799646e-10,2.5010797312017003e-08,9.615413591480493e-10,6.697009058406771e-08
1800,4.9917186057036223e-08,1.2757926939851e-07,8.347459229169535e-11,1.5112506614104282e-07,9.126110938510629e-10,1.253408590913317e-07,3.7152833486332193e-10,3.220096977353106e-10,2.266642631655942e-08,9.293366409089453e-10,6.668486145337666e-08
1900,4.991603085460279e-08,1.2753309184235997e-07,8.511422766915759e-11,1.496517878541834e-07,9.205241533463845e-10,1.2531445314390776e-07,4.056706067942836e-10,3.247062229992599e-10,2.1795681543702527e-08,1.0185245883052753e-09,6.605583694858285e-08
2000,4.991537876186571e-08,1.2737415155953406e-07,8.484764881295973e-11,1.4672288619144577e-07,9.018341827123718e-10,1.251802962117103e-07,4.751613755539575e-10,3.439543612353268e-10,2.0508018888450284e-08,1.0222535826757919e-09,6.815823075927571e-08
2100,4.991545490042559e-08,1.271561226794964e-07,8.490616560106643e-11,1.482272670180482e-07,9.240361866414915e-10,1.249446439105654e-07,4.76915231880625e-10,3.6735065040880065e-10,1.874249665044002e-08,1.292523426267109e-09,7.150211906596197e-08
2200,4.9915219616248955e-08,1.270359536183485e-07,8.640520006903433e-11,1.4508757483215876e-07,9.200008673277925e-10,1.2484851991348415e-07,4.96463531357083e-10,3.5871494760507216e-10,1.9978638559538573e-08,1.385433887323083e-09,6.928026324881731e-08
2300,4.991495858734801e-08,1.2691607718061748e-07,8.67252026366206e-11,1.470263302832006e-07,9.367357238809926e-10,1.2470141690707628e-07,5.095594025023952e-10,3.84704057896724e-10,1.75551347070397e-08,1.3206250967691553e-09,7.106976445730657e-08
2400,4.9914630655919334e-08,1.26930832224733e-07,8.473171219505289e-11,1.4586785015259908e-07,9.763794441176272e-10,1.2474179717274583e-07,5.323256024255904e-10,4.0087736173331757e-10,1.4544543625839083e-08,1.410490197826588e-09,7.339237299161518e-08
2500,4.991439443457544e-08,1.2670153369742717e-07,8.527431794801253e-11,1.431741154800061e-07,9.885733928392733e-10,1.2445637999234652e-07,5.974978200631961e-10,4.0877091502349484e-10,1.6147085723006915e-08,1.4545239947175986e-09,7.101535620639793e-08
2600,4.9914288358556344e-08,1.2658768482707676e-07,8.56216266216476e-11,1.4213827092926158e-07,9.773129665638924e-10,1.244791127128661e-07,5.781536814702018e-10,4.29173245669444e-10,1.5392319687141475e-08,1.7650194708551543e-09,7.34251177276756e-08
2700,4.991289602008363e-08,1.2647949933852425e-07,8.859983290928536e-11,1.4406760029842572e-07,9.864303434756195e-10,1.241159941145079e-07,6.319574510388876e-10,4.0907194196003866e-10,1.2813509444791778e-08,1.6963936807594368e-09,7.178862338848088e-08
2800,4.991121882992623e-08,1.265960044481376e-07,8.745960807625669e-11,1.4409786371939326e-07,9.68882390307033e-10,1.240787531479456e-07,6.425054317529792e-10,4.173964959340958e-10,1.2841281599311176e-08,1.7382005571838054e-09,7.236248773148809e-08
2900,4.991261777774712e-08,1.261204453725057e-07,8.782095870329805e-11,1.4254905465996162e-07,9.738960432350575e-10,1.2382248497301779e-07,6.991430119661435e-10,4.41295241223849e-10,1.4711283075814444e-08,1.958055979197779e-09,7.458654043385932e-08
3000,4.991074007028019e-08,1.261735116484932e-07,8.912261875641033e-11,1.4119099913593545e-07,9.73801910102109e-10,1.2393133616190974e-07,6.852927796538348e-10,4.6688956680382e-10,1.2374710772724588e-08,1.9511409626869226e-09,7.596412889845704e-08
3100,4.99122532905914e-08,1.2602543831261378e-07,8.831683901722336e-11,1.3859942362993518e-07,9.77395474448583e-10,1.2355754657127835e-07,7.491919849380417e-10,4.727867776811893e-10,1.1537851790610684e-08,2.189990714538818e-09,7.679743829156274e-08
3200,4.991065550416437e-08,1.259806477778849e-07,8.768813271113426e-11,1.4175568133938376e-07,9.892130537985423e-10,1.2360809503017227e-07,7.500925812630926e-10,4.753835861420483e-10,1.0499824500860637e-08,2.274585551320163e-09,7.601750097849135e-08
3300,4.991087801063781e-08,1.2589283880107267e-07,8.940916000241296e-11,1.382182243950963e-07,9.89501827510017e-10,1.2335230711274515e-07,7.611754648928021e-10,4.59271413778466e-10,1.1177855104792934e-08,2.2075999584071247e-09,7.47624657408704e-08
3400,4.9912390876040175e-08,1.2580545772626508e-07,8.817670609543784e-11,1.404431115619992e-07,9.948475579535136e-10,1.233030885421785e-07,7.97167836352335e-10,4.977292167384514e-10,1.1461602070288264e-08,2.497561043152906e-09,7.70254132631762e-08
3500,4.991154326350712e-08,1.2550296157715803e-07,8.965436578341393e-11,1.3840488841819135e-07,1.0168736992938036e-09,1.233139251992341e-07,8.225451712566307e-10,5.043741797687955e-10,1.0078610796691462e-08,2.388351768746644e-09,7.625888129685849e-08
