miliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
3200,9.76052734114573e-11,9.783290076087104e-11,9.499831149836284e-15,1.9182199692479903e-12,9.590345150112652e-15,1.8586255334264627e-16,9.38673069711685e-19,1.8583336706560054e-16,7.287295952801653e-21,1.121567545938179e-13,1.1136039709313649e-13,2.293032067555619e-18,2.279448965591488e-18,1.3710385285321237e-15
3300,9.760969166114583e-11,9.785080980536194e-11,9.578008105735748e-15,1.9095236875835487e-12,9.523307987269299e-15,1.858750833645073e-16,9.424599369598627e-19,1.8696381057076454e-16,7.434622566282535e-21,1.1157122663800142e-13,1.1107588425772914e-13,2.328893063926861e-18,2.2645787372953376e-18,1.3564578329634133e-15
3400,9.762205457989533e-11,9.78470768155055e-11,9.507481325978876e-15,1.9182609447033203e-12,9.593674496102555e-15,1.8535266322308853e-16,9.41796528166611e-19,1.8649136318305065e-16,7.543315376484951e-21,1.1188032910159786e-13,1.1198800943260931e-13,2.3528544351655405e-18,2.369880614075637e-18,1.4459894916692726e-15
3500,9.761895283433035e-11,9.785890976498372e-11,9.616303282110589e-15,1.9169170588019596e-12,9.603483023163756e-15,1.8628217875662482e-16,9.348890659625928e-19,1.8578045319247598e-16,7.615902933249952e-21,1.119867593401507e-13,1.115431311759479e-13,2.441052245515998e-18,2.4371943281957226e-18,1.4635063400332265e-15
3600,9.763176174290096e-11,9.78428501041661e-11,9.605807588124603e-15,1.9116469792499107e-12,9.519882140919145e-15,1.8560137881e-16,9.325362002978615e-19,1.856488545946487e-16,7.698540828027694e-21,1.1112338738457449e-13,1.1137810472456253e-13,2.4639121907123616e-18,2.5386825981921638e-18,1.5041963215511444e-15
3700,9.763275781567816e-11,9.784390940735038e-11,9.544683595678341e-15,1.900719594389826e-12,9.544613789966193e-15,1.8646501535669217e-16,9.387220053225785e-19,1.8689631862456016e-16,7.708703090123008e-21,1.1226572333644835e-13,1.1122508653148155e-13,2.5121042434488416e-18,2.599058813107377e-18,1.5147401666660488e-15
3800,9.761564425261719e-11,9.78448382873774e-11,9.567541242784821e-15,1.9027647700391388e-12,9.555941937899105e-15,1.876401828485949e-16,9.382200373266023e-19,1.876632873939116e-16,7.740224519597002e-21,1.1221930036843983e-13,1.1129816764273902e-13,2.595548494733307e-18,2.6059211454045737e-18,1.5813960420228965e-15
3900,9.761559103208932e-11,9.783450109207145e-11,9.612123657064506e-15,1.919515708780689e-12,9.534037502874248e-15,1.8539610566951293e-16,9.357924010207321e-19,1.8512820630241349e-16,7.878046812874637e-21,1.1233034480590669e-13,1.1214525223275444e-13,2.642859326483273e-18,2.6934773195465135e-18,1.6303548872697099e-15
4000,9.76040692673426e-11,9.783487975146829e-11,9.554034483229739e-15,1.919568740588662e-12,9.489353152489716e-15,1.8693488839983157e-16,9.362155535865623e-19,1.8704897315822563e-16,7.991684092786556e-21,1.117499270807284e-13,1.1116488209248497e-13,2.7511872507539466e-18,2.7332488857972205e-18,1.621640750014591e-15
4100,9.763395487677099e-11,9.78503934453004e-11,9.562042527639386e-15,1.8999916419702327e-12,9.586127110699513e-15,1.8513741192904711e-16,9.398439122235928e-19,1.874351460842507e-16,8.01844998851561e-21,1.1201840202515633e-13,1.1259960165380677e-13,2.795437813395885e-18,2.7948115506360252e-18,1.6605830871579971e-15
4200,9.760801922308801e-11,9.785777771415281e-11,9.611152312165501e-15,1.9161871503334456e-12,9.530613254146551e-15,1.8536679679630975e-16,9.391548942168235e-19,1.8703051510539345e-16,8.114838195289157e-21,1.1105271005884652e-13,1.1195700254337382e-13,2.8633206635481574e-18,2.8113534665887615e-18,1.7092529249468343e-15
4300,9.76107010536674e-11,9.783234903744443e-11,9.534470954642492e-15,1.9030565003603843e-12,9.51661059739731e-15,1.8691676518317605e-16,9.301597763535528e-19,1.8561530505790863e-16,8.181174589832185e-21,1.1201518842931236e-13,1.1218247420830111e-13,2.882394090756366e-18,2.933645789661499e-18,1.7360603139439073e-15
4400,9.761438095225161e-11,9.783316758795838e-11,9.540760361528857e-15,1.912296540211337e-12,9.546286760136466e-15,1.8731794810224785e-16,9.336439513133926e-19,1.8572130123239701e-16,8.223224114023406e-21,1.1225574397984987e-13,1.1255555677513112e-13,2.9960749452267154e-18,2.9999865402188455e-18,1.7875812609039615e-15
4500,9.763236606377809e-11,9.785346533040292e-11,9.521129085763055e-15,1.9002765152939847e-12,9.548550987409122e-15,1.8523037129141467e-16,9.305675685230476e-19,1.8760542565726635e-16,8.300214909328774e-21,1.1148575260169787e-13,1.1171008929052568e-13,3.0700875066775565e-18,3.0431236154044772e-18,1.8119706645105233e-15
4600,9.762293810488864e-11,9.785150494314896e-11,9.540739908564474e-15,1.909963482054016e-12,9.59250111159666e-15,1.8549511356250285e-16,9.375937012037485e-19,1.8635736861911108e-16,8.450745290388611e-21,1.1204833577287899e-13,1.117845043645278e-13,3.1030462634151745e-18,3.0841288948731126e-18,1.881664304661801e-15
4700,9.761805657570153e-11,9.785107125659664e-11,9.61036726369932e-15,1.906181494945908e-12,9.500277301942639e-15,1.8532954869866722e-16,9.403643811497525e-19,1.8746035344949084e-16,8.52132276524311e-21,1.1213505766600091e-13,1.1229282515827403e-13,3.13307935919711e-18,3.1775411592101696e-18,1.8982316077676067e-15
4800,9.761296002721206e-11,9.784459269123619e-11,9.539625320903138e-15,1.8990250345551035e-12,9.560303057366717e-15,1.863784572456774e-16,9.370094194803489e-19,1.8599259055336837e-16,8.594208511003301e-21,1.1181102334181716e-13,1.1245476740275004e-13,3.264854332506381e-18,3.2024547524346476e-18,1.921067581339743e-15
4900,9.762552821361542e-11,9.785880331127614e-11,9.526376534931388e-15,1.904490339254967e-12,9.557040560590086e-15,1.8673503985881994e-16,9.309715801922689e-19,1.8748792721182432e-16,8.609846882936877e-21,1.1139989774332255e-13,1.113651694442229e-13,3.310041553448571e-18,3.306346667457468e-18,1.992111003145427e-15
5000,9.760166929506722e-11,9.784578693781406e-11,9.598052819621383e-15,1.9064177712800926e-12,9.501613466232784e-15,1.8702236448929054e-16,9.262707974473727e-19,1.8739178285649595e-16,8.682243511252412e-21,1.1239925350111085e-13,1.1224988612904097e-13,3.3287624562912585e-18,3.3222237046243967e-18,2.015479833957391e-15
