miliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
1400,9.760741782679458e-11,9.783168043908847e-11,9.525524593016585e-15,1.915027272080917e-12,9.586770204196556e-15,1.8595743420118134e-16,9.3631561922005e-19,1.8663439682259684e-16,6.027638473810025e-21,1.1232061178646412e-13,1.1238552696426413e-13,1.1819076080239458e-18,1.1132999145860197e-18,7.206653731024713e-16
1500,9.762044560037967e-11,9.785904743945856e-11,9.50528376665047e-15,1.8985661693896126e-12,9.569990452550997e-15,1.8750451813060916e-16,9.31415508951332e-19,1.8644296077325289e-16,6.0686622210776916e-21,1.1095590235603159e-13,1.1140692729899214e-13,1.239519460515281e-18,1.2593654636558403e-18,7.29250788957914e-16
1600,9.761378805948327e-11,9.78476486611939e-11,9.50698729760452e-15,1.922114531561653e-12,9.584187489994775e-15,1.860470445194364e-16,9.369789101748533e-19,1.8703971249512162e-16,6.167125822374153e-21,1.111889275463652e-13,1.1112210593677627e-13,1.2618061014099447e-18,1.261730989233917e-18,7.891480729340503e-16
1700,9.762359379572014e-11,9.78439452843654e-11,9.493876899503548e-15,1.922655169354042e-12,9.571583652334706e-15,1.8638622667405962e-16,9.42054304909138e-19,1.8663121620060463e-16,6.178186193670497e-21,1.1187609596639875e-13,1.1216220257050295e-13,1.3831185233822532e-18,1.3506167836377867e-18,7.88331164842179e-16
1800,9.761139831561661e-11,9.783598323460695e-11,9.509142614394702e-15,1.908629072656134e-12,9.60271991444416e-15,1.8583377709851372e-16,9.445823099738646e-19,1.8682857540466662e-16,6.262724633961841e-21,1.1210671750796308e-13,1.1197605036996233e-13,1.3632191518769803e-18,1.4148457259842154e-18,8.243685886798518e-16
1900,9.762196761737669e-11,9.783092661043926e-11,9.542352438683336e-15,1.906405713286614e-12,9.601106476026303e-15,1.8528270467738388e-16,9.367743948624251e-19,1.8728131639960172e-16,6.40398283490876e-21,1.1111937591152822e-13,1.1152703079220956e-13,1.475943262633509e-18,1.4889190092229224e-18,8.989011185871439e-16
2000,9.760901268337271e-11,9.783258607412705e-11,9.496234516855697e-15,1.907392808496191e-12,9.505944278442082e-15,1.8535260250307433e-16,9.422058720409054e-19,1.8720752462619354e-16,6.50004976719208e-21,1.1132694755937133e-13,1.1160124609178633e-13,1.5578091570239628e-18,1.5471009859439203e-18,9.328869382268657e-16
2100,9.761969322710043e-11,9.783146121087634e-11,9.553056118209222e-15,1.903621121468557e-12,9.550992396278131e-15,1.8504375905031226e-16,9.333053833881376e-19,1.8642577355611352e-16,6.559448234461046e-21,1.1114579598278433e-13,1.1108641132204998e-13,1.575958069392453e-18,1.571423862660483e-18,9.68663086433158e-16
2200,9.760519926441274e-11,9.78369517848333e-11,9.565034402944662e-15,1.900028558993805e-12,9.570612299486358e-15,1.8744817268989933e-16,9.413754785132544e-19,1.860890898066334e-16,6.6545475919534684e-21,1.1168077192161339e-13,1.1145897369010385e-13,1.6016555861318005e-18,1.6452987691248825e-18,9.64550381207065e-16
2300,9.761154391866969e-11,9.785570170425884e-11,9.505547571337017e-15,1.9133605013541546e-12,9.577827155643342e-15,1.8559596163757304e-16,9.315976155978696e-19,1.8623666042090626e-16,6.726844502266048e-21,1.1115020530221917e-13,1.115479614329267e-13,1.6648751741414968e-18,1.7350175671352797e-18,1.0173003459822181e-15
2400,9.762636622026919e-11,9.784127408766529e-11,9.573249725963205e-15,1.916385897788628e-12,9.591678538900647e-15,1.8519333541888977e-16,9.440019484266914e-19,1.8549833096006752e-16,6.776119528075762e-21,1.1167749375636953e-13,1.1118097271638386e-13,1.726460296052206e-18,1.789430869672085e-18,1.0653392667046239e-15
2500,9.76064022828106e-11,9.78468664774192e-11,9.566409994373462e-15,1.9020904886852964e-12,9.519707168957537e-15,1.8664925291470768e-16,9.354684261521695e-19,1.8642052696935223e-16,6.86248146456381e-21,1.1234692338717356e-13,1.111301795065556e-13,1.8012514049981545e-18,1.808933266808415e-18,1.1173052922577253e-15
2600,9.762408522522114e-11,9.783699549222607e-11,9.537199907820708e-15,1.9177705297367534e-12,9.570994082287321e-15,1.865261477440506e-16,9.432731899613725e-19,1.8555794431327092e-16,6.871962034757402e-21,1.1124485229276636e-13,1.1225410495366136e-13,1.9118595004110273e-18,1.8693791481618743e-18,1.1315062728345912e-15
2700,9.761357044666461e-11,9.783501334012417e-11,9.6101348498058e-15,1.9222396515306023e-12,9.524739864036264e-15,1.8546489460803187e-16,9.313668515901518e-19,1.8598152564471885e-16,7.01766016109175e-21,1.1202175044868443e-13,1.1249755240885017e-13,1.9432365943747528e-18,1.9866789217831942e-18,1.181256959493516e-15
2800,9.76193543645011e-11,9.785453390422811e-11,9.572083174053952e-15,1.9032069713940247e-12,9.538952533735703e-15,1.863399552472103e-16,9.317186144031452e-19,1.8511449389771265e-16,7.019355284173375e-21,1.1206203952921732e-13,1.1229994178390733e-13,1.9718992603178283e-18,1.975412670301939e-18,1.2039633911467789e-15
2900,9.762072625229381e-11,9.784002413655092e-11,9.49440105799242e-15,1.9089865855726332e-12,9.544308183696648e-15,1.8707126099045988e-16,9.423348697779337e-19,1.8682949352996043e-16,7.136040224645492e-21,1.1152529773665221e-13,1.119760692780156e-13,2.0894308909667542e-18,2.04485830551853e-18,1.2562346481175683e-15
3000,9.762917557929757e-11,9.785218970714122e-11,9.575015386511919e-15,1.919285606942269e-12,9.603176360808144e-15,1.867699988433764e-16,9.397793294639848e-19,1.8571770870325403e-16,7.203222942904316e-21,1.1173283395664474e-13,1.1221406057182283e-13,2.113888066354801e-18,2.0993043226393767e-18,1.259143475681836e-15
3100,9.761726874424195e-11,9.784121576048988e-11,9.575317659891293e-15,1.900385243658329e-12,9.606260342846585e-15,1.8691407649387661e-16,9.308668941823764e-19,1.8760920584433227e-16,7.224086718934605e-21,1.1215655666858245e-13,1.1191526539423187e-13,2.212867604798264e-18,2.2361081162016052e-18,1.3283973674014552e-15
3200,9.763176433131409e-11,9.78422393828681e-11,9.520734637076586e-15,1.9175354682495076e-12,9.521470573491574e-15,1.8622810789622015e-16,9.337278601038393e-19,1.851213621767665e-16,7.30946200956676e-21,1.1232845589313035e-13,1.1250805837881426e-13,2.2662415076211525e-18,2.220430660011682e-18,1.3491291460594805e-15
3300,9.761194955823796e-11,9.78496218647797e-11,9.519384743441053e-15,1.9040104154655927e-12,9.514588988307262e-15,1.8682948345020884e-16,9.370415510413752e-19,1.8685662484701634e-16,7.476123836882334e-21,1.115555441421163e-13,1.1106630710606427e-13,2.356733509858627e-18,2.3387460200202167e-18,1.3608102373267098e-15
3400,9.761264803556095e-11,9.78541731072647e-11,9.533055722077232e-15,1.900767002320259e-12,9.563692504781105e-15,1.8685360530203323e-16,9.298622202392518e-19,1.8672891370399992e-16,7.517863902514565e-21,1.1142399351287231e-13,1.1192096968634116e-13,2.353987740392395e-18,2.3265384466287823e-18,1.427125174895496e-15
3500,9.761135150930848e-11,9.785373199883669e-11,9.497648826252655e-15,1.9023349739256613e-12,9.502777931557695e-15,1.8545311797483278e-16,9.392375920242678e-19,1.8717756065472118e-16,7.523261312732486e-21,1.1197580894786558e-13,1.12547541379607e-13,2.445386765292481e-18,2.382998303703197e-18,1.455083236700934e-15
3600,9.762489742260585e-11,9.783201476964678e-11,9.512595975636708e-15,1.9064838759232216e-12,9.514087169427561e-15,1.8656028889580537e-16,9.30451043047188e-19,1.8733732733930348e-16,7.730937302493235e-21,1.1197369220287438e-13,1.1121304039830971e-13,2.458233345713647e-18,2.475959165340686e-18,1.5018259843729032e-15
3700,9.760860509394338e-11,9.785219315155201e-11,9.616481979285302e-15,1.9202954503662657e-12,9.602995683739977e-15,1.8567561884117663e-16,9.358761420368064e-19,1.8588154734564728e-16,7.68392209027999e-21,1.1103211419270406e-13,1.1137312222450157e-13,2.5091234339027835e-18,2.541252130577506e-18,1.5256686031059567e-15
3800,9.762765516761048e-11,9.785762750544913e-11,9.526516660464386e-15,1.8978394467994855e-12,9.574640080830822e-15,1.8515688871782096e-16,9.32727196046414e-19,1.8632162365813618e-16,7.742133076149809e-21,1.1223745165806297e-13,1.1171093422245664e-13,2.573252844899645e-18,2.610782886950848e-18,1.5514001222088765e-15
3900,9.760349530265741e-11,9.783746039661744e-11,9.592583642436462e-15,1.915397356402824e-12,9.532543573385338e-15,1.86798481532865e-16,9.335110178389493e-19,1.8664541903831732e-16,7.876160906655188e-21,1.1184676974865344e-13,1.1256752852453782e-13,2.6548463562680766e-18,2.686881733591505e-18,1.6205138264752629e-15
4000,9.76035766915332e-11,9.784963566271753e-11,9.551732225671826e-15,1.916919077856968e-12,9.489898054385799e-15,1.8688437279246196e-16,9.376714283025423e-19,1.8628008682665607e-16,7.976788054399503e-21,1.1203135206883989e-13,1.1206793727092599e-13,2.765176627944085e-18,2.6990911987845024e-18,1.663145601749205e-15
4100,9.761734525825034e-11,9.785537061505537e-11,9.599578012649736e-15,1.922169532762091e-12,9.600083578456724e-15,1.863316949117475e-16,9.336773063096632e-19,1.8738133582731736e-16,8.036547981251117e-21,1.1145172029741066e-13,1.1259811189948546e-13,2.8055445216792378e-18,2.7601484029812292e-18,1.6652615873378892e-15
4200,9.763201457300931e-11,9.784065268906272e-11,9.590898007096396e-15,1.922783443780103e-12,9.55641961277364e-15,1.8659510726339294e-16,9.39621038045211e-19,1.8636412449109326e-16,8.058995561267003e-21,1.1121511483931032e-13,1.122557647028601e-13,2.8222387525804906e-18,2.8820396206191e-18,1.7294833331636289e-15
4300,9.762126165735157e-11,9.783733709393943e-11,9.589426032786004e-15,1.914249269628772e-12,9.598122624118143e-15,1.861410166619346e-16,9.304488872936317e-19,1.8617872854923118e-16,8.15691969868455e-21,1.1114649658097515e-13,1.1221738653219355e-13,2.9117206538566477e-18,2.898248590510763e-18,1.774633324394265e-15
4400,9.760339596559638e-11,9.783838468337676e-11,9.586761730080498e-15,1.8980852850090233e-12,9.61070818987334e-15,1.8762867283827748e-16,9.309816417829815e-19,1.859193853198126e-16,8.230141279044144e-21,1.1255293600633176e-13,1.116290755103487e-13,2.9443844259384354e-18,2.962012706956464e-18,1.7843626050905778e-15
4500,9.762229050347811e-11,9.783312578472315e-11,9.561185385888524e-15,1.9062569264702334e-12,9.536947676550166e-15,1.8693224355579887e-16,9.33476518110222e-19,1.863812640886363e-16,8.380410047755226e-21,1.125196857213149e-13,1.1128435876547963e-13,3.065150072564384e-18,3.017108410770963e-18,1.8196972081093233e-15
4600,9.762309349000951e-11,9.785492826432323e-11,9.499438902086587e-15,1.9111151209170895e-12,9.565809664186498e-15,1.8763489457216682e-16,9.369422661597912e-19,1.8653779987792705e-16,8.415290546633271e-21,1.1257463104567761e-13,1.1202339020066743e-13,3.1411313704492483e-18,3.1328712340453767e-18,1.8370628440413228e-15
4700,9.761896306443358e-11,9.785209651007898e-11,9.588290702127265e-15,1.9158572268795243e-12,9.59605972119593e-15,1.8706506973265055e-16,9.303580354039378e-19,1.8655325871640217e-16,8.518418188809882e-21,1.1224895208104334e-13,1.1192687567044056e-13,3.137167346798327e-18,3.185188467187071e-18,1.8972639375306355e-15
4800,9.760783809705935e-11,9.785250319966906e-11,9.584032101426805e-15,1.9059379471436834e-12,9.558730507830968e-15,1.8597649415933231e-16,9.315559258491942e-19,1.8654942943663168e-16,8.50202982828131e-21,1.1219550526208462e-13,1.121984369348408e-13,3.2052395788297263e-18,3.23547995860327e-18,1.916794399827138e-15
4900,9.76009538452449e-11,9.785371476116717e-11,9.495463267080356e-15,1.91785203634048e-12,9.496157397466764e-15,1.861352503766461e-16,9.313915725691553e-19,1.8677747636812855e-16,8.587173732176654e-21,1.1252915223631848e-13,1.1231268995574653e-13,3.2429493338941525e-18,3.2724367203208073e-18,1.9468893355741405e-15
5000,9.761564108208737e-11,9.783503832015933e-11,9.56942246715845e-15,1.910314817705298e-12,9.560838248651679e-15,1.866116635971299e-16,9.385172988159074e-19,1.8679258444586626e-16,8.78230074879653e-21,1.1149256088328167e-13,1.1171748734475713e-13,3.3779983897493388e-18,3.3256854597440133e-18,1.99712251480525e-15
