miliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
1000,9.762892004130643e-11,9.783652840193809e-11,9.532833191459477e-15,1.9081345658052914e-12,9.505172095006892e-15,1.8329811205444146e-16,9.632834287700042e-19,1.8398129002578655e-16,5.583571971001137e-21,1.1116525175688503e-13,1.1055689297222995e-13,8.047578680780139e-19,8.118237628144474e-19,5.200965655722725e-16
1100,9.760905606959962e-11,9.784983284673471e-11,9.589046015684236e-15,1.9054921159709248e-12,9.5587217797767e-15,1.854484747210713e-16,9.513846409467232e-19,1.8436413357215966e-16,5.6543777806066574e-21,1.1023642564244577e-13,1.1051292811151732e-13,9.511100620878488e-19,9.558575851189678e-19,5.786387254302835e-16
1200,9.76229375881187e-11,9.784251847630005e-11,9.5353741552733e-15,1.909398169107235e-12,9.54313471591768e-15,1.8636222477453673e-16,9.56266366225606e-19,1.8681556422602757e-16,5.805561401908855e-21,1.1123728872656606e-13,1.1142814782416591e-13,1.0316901472968523e-18,1.005942193863196e-18,6.026065871597816e-16
1300,9.761293602494343e-11,9.784438482780288e-11,9.583776100226145e-15,1.9195392690766825e-12,9.607439745326081e-15,1.8502368133996779e-16,9.380447694058327e-19,1.858908248406005e-16,5.842224179093894e-21,1.1182545997652879e-13,1.113367340418581e-13,1.129246943607155e-18,1.0568082233175204e-18,6.682293631064629e-16
1400,9.762502957359075e-11,9.785277805788647e-11,9.547855766947596e-15,1.9020941129287045e-12,9.576084538570745e-15,1.8725001137556988e-16,9.350586559370053e-19,1.8660295695615098e-16,5.995775409126711e-21,1.1224989614939831e-13,1.1210292365819788e-13,1.1463473635834738e-18,1.2059528693699747e-18,7.208257627667506e-16
1500,9.760775147514658e-11,9.785964383565674e-11,9.614402913834937e-15,1.9235807570865114e-12,9.59788212246751e-15,1.8726097265586245e-16,9.436412566204441e-19,1.8591014192750722e-16,6.0977674493798e-21,1.1198654651204512e-13,1.1222034892886003e-13,1.2371389823457368e-18,1.2334930424780957e-18,7.200241706372316e-16
1600,9.762115535345509e-11,9.783835142551752e-11,9.524928332600246e-15,1.9193086916287055e-12,9.500706819054067e-15,1.8643803378004265e-16,9.401680835263395e-19,1.850212206296066e-16,6.082632857716673e-21,1.113701469384096e-13,1.1191276434764846e-13,1.3243280237410197e-18,1.2973236009294204e-18,7.57498680308393e-16
1700,9.763503147554818e-11,9.784678656464871e-11,9.550469339001195e-15,1.9109618095703092e-12,9.556963120828088e-15,1.8513628155141206e-16,9.340286673116252e-19,1.8742935923680314e-16,6.260232780607081e-21,1.1189591713527405e-13,1.1205442847588715e-13,1.315719504442301e-18,1.339779100885897e-18,7.8467550898935675e-16
1800,9.760422361251585e-11,9.783224364502184e-11,9.535675543064165e-15,1.9042477859871343e-12,9.487951053508597e-15,1.8509613890949493e-16,9.402956045764993e-19,1.8612573621880615e-16,6.3115505617712195e-21,1.1134460265994531e-13,1.1208389459697635e-13,1.3605498090847828e-18,1.3746124674250835e-18,8.113260741764589e-16
1900,9.761442779360625e-11,9.785483218056355e-11,9.523913369919408e-15,1.9178882574611673e-12,9.589835494630034e-15,1.8709888389660403e-16,9.31262119307188e-19,1.871087493642391e-16,6.328476580765787e-21,1.1231101059494989e-13,1.1101074937705101e-13,1.43666882712288e-18,1.451549527964661e-18,8.688414231184234e-16
2000,9.761852059052745e-11,9.784671024676186e-11,9.574381063339971e-15,1.9005677551216174e-12,9.583201864431603e-15,1.860962973946982e-16,9.328011274640635e-19,1.8653416795538256e-16,6.433336422873152e-21,1.1207960925844714e-13,1.1095222154980588e-13,1.5675183042763502e-18,1.5029680388823345e-18,8.996775972641557e-16
2100,9.763619648565413e-11,9.783389314232997e-11,9.490140018662244e-15,1.9112868040074924e-12,9.535831981148574e-15,1.8642882902864386e-16,9.357337623778176e-19,1.8727371446231626e-16,6.480169814381379e-21,1.1181012617464033e-13,1.1103124069568269e-13,1.5927307789478272e-18,1.5827399901371837e-18,9.740801957037154e-16
2200,9.760753852757627e-11,9.78577314989818e-11,9.587134962250101e-15,1.903014750191992e-12,9.509310978129849e-15,1.8688193287586867e-16,9.45013025726428e-19,1.8634219961465926e-16,6.584445703185921e-21,1.112846194713052e-13,1.117163223826429e-13,1.6474138975211468e-18,1.6599823341718122e-18,1.006330268370916e-15
2300,9.762438756383928e-11,9.783306905707652e-11,9.502997833031549e-15,1.902722071275821e-12,9.592721676488205e-15,1.8628302453862276e-16,9.323691483240039e-19,1.8698598529901954e-16,6.7080950951096465e-21,1.1132607982973966e-13,1.117393619069083e-13,1.6770341698100517e-18,1.7138875530867524e-18,1.0308266981049753e-15
2400,9.761011666637749e-11,9.783049190962155e-11,9.604042292795541e-15,1.915574861513325e-12,9.50863196931721e-15,1.8646700260294677e-16,9.446016733911796e-19,1.8667496519747982e-16,6.808335881352397e-21,1.1172556454686839e-13,1.116704222717516e-13,1.7352325024520907e-18,1.7682100143459414e-18,1.036752573250397e-15
2500,9.762305181066603e-11,9.785521040015764e-11,9.520422481676659e-15,1.9225307954753684e-12,9.527234700477981e-15,1.8706127438217227e-16,9.436653757412045e-19,1.858716863691692e-16,6.863515315138e-21,1.1198899153397506e-13,1.1239386159913657e-13,1.861605123926646e-18,1.8539879076783668e-18,1.0834221814776942e-15
2600,9.762547120170523e-11,9.785163778421451e-11,9.612788013470056e-15,1.9166773931733305e-12,9.493697584150167e-15,1.8592371948431585e-16,9.388132742489258e-19,1.857821092281078e-16,6.942422121156207e-21,1.1159802160983247e-13,1.1128628077647747e-13,1.904863887952855e-18,1.8715222844529056e-18,1.1009646551855344e-15
2700,9.761550537833746e-11,9.785481410108013e-11,9.532618357954946e-15,1.903056743601792e-12,9.52906059917005e-15,1.8753434352295407e-16,9.40622298179648e-19,1.867163102311841e-16,6.943201693675629e-21,1.114101989934715e-13,1.1200213254475168e-13,1.9501109972350342e-18,1.9374173361054288e-18,1.1730401048397287e-15
2800,9.761951018136726e-11,9.786008543198533e-11,9.523582339835823e-15,1.9144589867774817e-12,9.535631033076993e-15,1.8601041820475898e-16,9.4392935054603e-19,1.8576765632340648e-16,6.986736685876646e-21,1.1208314031273341e-13,1.119148852902809e-13,1.994879587540852e-18,2.0125445766543843e-18,1.2176874719131559e-15
2900,9.760613791380099e-11,9.783277304756367e-11,9.5113982855338e-15,1.9197263062917682e-12,9.558971712692854e-15,1.8590095749710473e-16,9.36311993528709e-19,1.8708096794046675e-16,7.064281419731014e-21,1.122880650083081e-13,1.1177086217777725e-13,2.0768591103885737e-18,2.1051744554261213e-18,1.2193613714183253e-15
3000,9.761720785904177e-11,9.785094070353763e-11,9.546370249167791e-15,1.9054949906220594e-12,9.488004727464175e-15,1.8544315610501968e-16,9.402514761169825e-19,1.859097679384946e-16,7.242394110020638e-21,1.112592039900469e-13,1.122611063851751e-13,2.1204835179633e-18,2.148269658575037e-18,1.2899043782441074e-15
3100,9.760581819859317e-11,9.785985811594002e-11,9.525573643355614e-15,1.9117168963731806e-12,9.520045148217674e-15,1.8688910455157966e-16,9.375813615539336e-19,1.861073405561254e-16,7.234803158316445e-21,1.1156336232645705e-13,1.1211822933637904e-13,2.160957808610007e-18,2.2008769647796513e-18,1.3051857186446504e-15
3200,9.761660885191128e-11,9.783860966313339e-11,9.583225450342385e-15,1.923173342654024e-12,9.561674966230765e-15,1.8657273365763375e-16,9.345561816358757e-19,1.854818314292113e-16,7.274599536330764e-21,1.12521320619151e-13,1.1217459143672169e-13,2.2563464688657105e-18,2.2303800829409363e-18,1.3742914770917375e-15
3300,9.761044634066905e-11,9.783791189601593e-11,9.547295875505558e-15,1.9053946957405067e-12,9.568258298988251e-15,1.8642924818371198e-16,9.40070393332684e-19,1.8706070461377017e-16,7.421155483928043e-21,1.1128208806951143e-13,1.1107475865808913e-13,2.2847263309617235e-18,2.34928696169545e-18,1.410286829293649e-15
3400,9.760621225037208e-11,9.785907376579584e-11,9.578001619266167e-15,1.9130167782793983e-12,9.582572960177261e-15,1.867357788087918e-16,9.37698654251941e-19,1.861640070244923e-16,7.443551561745395e-21,1.1152280498016507e-13,1.1181785642683356e-13,2.347147725733053e-18,2.4024925801179857e-18,1.412444836142759e-15
3500,9.763461661176857e-11,9.783313355834548e-11,9.579980296609426e-15,1.9159531276371224e-12,9.594530301185188e-15,1.8695068363934947e-16,9.405600545509841e-19,1.858504199100057e-16,7.584095451853584e-21,1.1225813912209564e-13,1.1183746775740909e-13,2.3909595197934087e-18,2.4268503350319558e-18,1.4712879851975133e-15
3600,9.762198265562425e-11,9.783626016032881e-11,9.485530391954555e-15,1.898734322478532e-12,9.546180923697043e-15,1.8509502360749324e-16,9.39195352704834e-19,1.876487927982231e-16,7.688958480662378e-21,1.1243721672726188e-13,1.1114604100983502e-13,2.511090758165461e-18,2.4913833254922085e-18,1.5202191757707254e-15
3700,9.760219284709672e-11,9.784026418318636e-11,9.485711791410709e-15,1.8969686111346343e-12,9.48670355594707e-15,1.871376327119233e-16,9.404074890761069e-19,1.859538181805208e-16,7.775880589946376e-21,1.1167753588495842e-13,1.1244399994463604e-13,2.508743657722678e-18,2.581205026949248e-18,1.5537093740145138e-15
3800,9.762621997329404e-11,9.7834633747015e-11,9.612438283365163e-15,1.9199005908205274e-12,9.55999979518974e-15,1.876609776495644e-16,9.41556274388937e-19,1.8763672989861335e-16,7.788189926247735e-21,1.1120778362733799e-13,1.1166599312517822e-13,2.6270442941824657e-18,2.646744621741766e-18,1.5532782643427199e-15
3900,9.762722461831328e-11,9.785582182574951e-11,9.518215065074964e-15,1.9119895969465795e-12,9.547761103727152e-15,1.8749518644295993e-16,9.396468258630225e-19,1.866706883978734e-16,7.831821051955918e-21,1.123146840776118e-13,1.1180926730441552e-13,2.6675458669000533e-18,2.6310907868667165e-18,1.596472478528922e-15
4000,9.763138609232326e-11,9.783786038824182e-11,9.519085403471034e-15,1.9007150779394824e-12,9.486653960934083e-15,1.8596767304673387e-16,9.30429732183057e-19,1.8704491154158844e-16,8.014103175647055e-21,1.1246147880702542e-13,1.1233624010310801e-13,2.692821644438114e-18,2.75029076605534e-18,1.635851841459565e-15
4100,9.762005590414909e-11,9.78374530224759e-11,9.485193438434375e-15,1.921228933354413e-12,9.489682982699014e-15,1.851462337595175e-16,9.392326922355211e-19,1.8711690047558133e-16,8.112874233246371e-21,1.1190792135315557e-13,1.1154787103629902e-13,2.7637295996647164e-18,2.781940686272436e-18,1.6932288364670094e-15
4200,9.76266168067815e-11,9.78507043636252e-11,9.58817790489629e-15,1.9044785118207094e-12,9.497964551791099e-15,1.8532336074126906e-16,9.393848231047205e-19,1.8712060460972538e-16,8.164340320010162e-21,1.1145424102791006e-13,1.1246009436764697e-13,2.8804452471007763e-18,2.855620657381526e-18,1.7102109073181164e-15
4300,9.761828600268772e-11,9.783934054628353e-11,9.607896551303452e-15,1.9116016157296643e-12,9.538568504097123e-15,1.8599632298047973e-16,9.38894905845477e-19,1.8728382586380277e-16,8.247117936203936e-21,1.1134728662595192e-13,1.1112284502120321e-13,2.929057548878402e-18,2.9175708649031427e-18,1.7228090317703704e-15
4400,9.761998205023428e-11,9.784198646428851e-11,9.548186524158013e-15,1.899478431805742e-12,9.513031331002278e-15,1.8533660031562652e-16,9.37177483054611e-19,1.8608953863314718e-16,8.252645272883857e-21,1.1193251906444575e-13,1.1222497918343887e-13,3.0217814862690036e-18,3.0049455995319723e-18,1.7695419135290562e-15
4500,9.761842216520108e-11,9.784944564786135e-11,9.485654047054233e-15,1.9033713406522053e-12,9.608264041469553e-15,1.8766811254977448e-16,9.402319861203598e-19,1.870013336767121e-16,8.363050912895563e-21,1.1177933373048612e-13,1.1190309180718751e-13,3.000268119160203e-18,3.075575563782085e-18,1.8083768711577794e-15
4600,9.762957458337617e-11,9.78536576205279e-11,9.617133237221947e-15,1.9054502561512756e-12,9.578481662385068e-15,1.8595739896744393e-16,9.27249880473454e-19,1.8771285541720632e-16,8.41152944480482e-21,1.1252529576693939e-13,1.1210852902268888e-13,3.068807116353035e-18,3.0812486010623846e-18,1.8324208419611e-15
4700,9.762834872868338e-11,9.784483197468671e-11,9.61273915792431e-15,1.9127543595624058e-12,9.54459403907033e-15,1.876837496993755e-16,9.389168100991731e-19,1.8733689382966898e-16,8.436128803378021e-21,1.1137298062874701e-13,1.1126029779131368e-13,3.1331158054588513e-18,3.143339631549276e-18,1.9054374504932244e-15
4800,9.760393043738478e-11,9.783215311650129e-11,9.598923570585306e-15,1.9204154955060176e-12,9.495702954636943e-15,1.8580641467357923e-16,9.275650518126176e-19,1.8767045559987209e-16,8.526616240048414e-21,1.1249183030500727e-13,1.1222081688389371e-13,3.2256182853208676e-18,3.189008994743793e-18,1.9331974603179504e-15
4900,9.760841705461915e-11,9.785919697246415e-11,9.582725292054516e-15,1.9117888258307644e-12,9.551420574842807e-15,1.8637293430341933e-16,9.39066511046723e-19,1.8766368680615283e-16,8.699177503791922e-21,1.1260374850188204e-13,1.1242332962875799e-13,3.2875980359356356e-18,3.2966489523550244e-18,1.960228033110198e-15
5000,9.760413105712059e-11,9.784281193318623e-11,9.554865176857202e-15,1.9080128905566195e-12,9.49468756519717e-15,1.8598386035817158e-16,9.268074831158359e-19,1.864512755699487e-16,8.766959388022865e-21,1.1109666663614021e-13,1.112279712331749e-13,3.3384075942669385e-18,3.3272346250839626e-18,2.0179941621282745e-15
