milliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
3600,9900.769699715507,0.9156866405281057,199.69580961409594,10.0,10.0,10.0,10.0,10.0,10.0,4.348239150741252,3.2352433484013523,3.348860220439876,3.0987223719111676,2.9862202307228283,3.6291530290280263,10.0,10.0,10.0,10.0,10.0,10.0
3700,9900.21935521301,0.678847369202868,199.9005360102408,10.0,10.0,10.0,10.0,10.0,10.0,4.358307902927667,3.2335829733100203,3.3955474624077175,3.240178777110995,3.034288389961253,3.732109793269957,10.0,10.0,10.0,10.0,10.0,10.0
3800,9900.26339220258,1.2938211542881013,198.7513102006633,10.0,10.0,10.0,10.0,10.0,10.0,4.233076998191206,3.3648332582700062,3.3676549834568017,3.45618409160634,3.0310724099102524,3.6988195645009108,10.0,10.0,10.0,10.0,10.0,10.0
3900,9900.381847201961,-0.9915526365691916,199.6721374413293,10.0,10.0,10.0,10.0,10.0,10.0,4.171782697598677,3.2759023080447363,3.5283341198404687,3.4886519583200504,3.0278682285827316,3.7046538852012314,10.0,10.0,10.0,10.0,10.0,10.0
4000,9900.042417126753,0.0638249485677956,198.65758056742263,10.0,10.0,10.0,10.0,10.0,10.0,4.233789929615344,3.2852368823610516,3.4985212862397272,3.478540658003305,3.1093033581135603,3.6504843976796613,10.0,10.0,10.0,10.0,10.0,10.0
4100,9901.156135073192,0.1739207613035989,199.62749328560918,10.0,10.0,10.0,10.0,10.0,10.0,4.303117907521299,3.293944388930618,3.464999430456497,3.643468919941109,3.0939377667227825,3.7566049475112475,10.0,10.0,10.0,10.0,10.0,10.0
4200,9898.703867491402,0.5462266402054583,200.59046269376344,10.0,10.0,10.0,10.0,10.0,10.0,4.168758768792744,3.4159397940688936,3.6037794665505487,3.5878984395777893,3.1638141910433717,3.7819792184305205,10.0,10.0,10.0,10.0,10.0,10.0
4300,9900.813212158268,-0.2609396302429316,200.5229419769734,10.0,10.0,10.0,10.0,10.0,10.0,4.167607099233523,3.3104483680517656,3.5836763355461425,3.7036242261308834,3.212992168920733,3.7648480168833682,10.0,10.0,10.0,10.0,10.0,10.0
4400,9899.95957715083,0.13065489406216912,199.3792172931023,10.0,10.0,10.0,10.0,10.0,10.0,4.241378673221412,3.3294395172456803,3.655038936689038,3.778479959574104,3.192936684585014,3.8117168624477906,10.0,10.0,10.0,10.0,10.0,10.0
4500,9899.659013478646,-0.7784793451975851,199.95674796511219,10.0,10.0,10.0,10.0,10.0,10.0,4.257229203420413,3.422140801351273,3.707610732076509,3.812556499265857,3.1835196763115396,3.8383744229546313,10.0,10.0,10.0,10.0,10.0,10.0
4600,9900.288226952647,-0.40009241804446877,200.1359029485795,10.0,10.0,10.0,10.0,10.0,10.0,4.142990482883571,3.4621908443860048,3.708599522668496,3.8781371394662782,3.2708929560920255,3.930640380444553,10.0,10.0,10.0,10.0,10.0,10.0
4700,9900.219336620657,0.7594756714423155,199.1191459436528,10.0,10.0,10.0,10.0,10.0,10.0,4.146611208088819,3.4213804879538263,3.7342920555784396,3.998283172258294,3.2542317968942234,3.891122927718721,10.0,10.0,10.0,10.0,10.0,10.0
4800,9899.264575870853,-1.1453452319489492,200.6313455948468,10.0,10.0,10.0,10.0,10.0,10.0,4.115297886465088,3.465097902187171,3.7201728047871097,4.004861760751504,3.2410672791839112,3.8947326705937386,10.0,10.0,10.0,10.0,10.0,10.0
4900,9899.635514783538,0.7008877984636244,201.254368221225,10.0,10.0,10.0,10.0,10.0,10.0,4.035236241502784,3.484827363736188,3.684432966239306,4.238006831399049,3.349842149393852,3.9190566271724703,10.0,10.0,10.0,10.0,10.0,10.0
5000,9899.907745695762,1.380867825491045,201.18540318038194,10.0,10.0,10.0,10.0,10.0,10.0,4.112771536837143,3.4328936817871405,3.796746706082672,4.331785121231685,3.26700826255679,3.841134729873135,10.0,10.0,10.0,10.0,10.0,10.0
