miliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
2900,0.0019042674329318918,5.804473551045307e-05,2.6834848017188997e-09,6.082524636144171e-08,6.09428171826732e-13,1.5252248181103028e-10,2.858884748507962e-11,4.379728626034628e-13,0.00018766968013105896,9.708873299376422e-06,1.1992043847601251e-05,0.09548973744599049
3000,0.0019482420806656107,6.292704486008482e-05,2.8315054411013825e-09,5.96577327942184e-08,6.821943912484466e-13,1.6753947401201262e-10,3.4120530982651965e-11,5.40318059374754e-13,0.00019285930602468135,1.0067173434511168e-05,1.1917008455335026e-05,0.09553611650636008
3100,0.001982180854588626,6.365412557862585e-05,3.0908534421451423e-09,5.958579469338381e-08,7.632855682860761e-13,2.0130136581586556e-10,3.797655720490501e-11,6.742917452873323e-13,0.00019524798960056746,1.1389301253798255e-05,1.1967981437400876e-05,0.0955542993497545
3200,0.001989259420872041,6.541185991359271e-05,3.3816306616178814e-09,5.921105293557041e-08,7.742497943815254e-13,2.219026906168378e-10,4.220941248682577e-11,6.455938195150759e-13,0.00020116608568294077,1.1743535608983061e-05,1.184168517261372e-05,0.09551785428186683
3300,0.0020631718224468324,6.941892815180691e-05,3.58698656627954e-09,5.733823645832204e-08,8.286607349052167e-13,2.4755065352870275e-10,5.171217263190079e-11,9.436803199841176e-13,0.00020086949510071423,1.2529127942228953e-05,1.1947080551683072e-05,0.09552279847665837
3400,0.0020550381562183767,7.192235409703271e-05,3.6377555127047575e-09,5.6558883193415344e-08,9.257398740374307e-13,2.7239268191782334e-10,5.90466815897585e-11,1.0321276011496383e-12,0.00020322275396263392,1.3154237366198425e-05,1.1910861184999805e-05,0.09546929777122291
3500,0.0020365592878273868,7.767561158117918e-05,3.958590917831323e-09,5.607485737873677e-08,1.0203270723205805e-12,2.790327884892252e-10,6.843656943796534e-11,1.3135561251246174e-12,0.00020871723998063356,1.3541803937017951e-05,1.1652432209490895e-05,0.09539725759210317
3600,0.002087606034263979,7.761473937053162e-05,4.083764055263703e-09,5.426610247501588e-08,1.077719910831894e-12,3.186517776617428e-10,7.437394326555141e-11,1.4474423620506114e-12,0.0002096886727272092,1.4078680129184964e-05,1.1570064598922366e-05,0.09547631193782809
3700,0.002093952309423558,8.325164255090237e-05,4.229227339960636e-09,5.333379155253296e-08,1.1560066550293786e-12,3.450621913916037e-10,8.554682542337032e-11,1.758976694189882e-12,0.00021217285848162113,1.4398379495474272e-05,1.1557201506628664e-05,0.09540909900550307
3800,0.0021162667904426747,8.340405553214353e-05,4.448457555018912e-09,5.2561783777262206e-08,1.1996954478709866e-12,3.8491140003025346e-10,9.058676439337474e-11,1.926730132414015e-12,0.00021075797126441864,1.5160626673884356e-05,1.1490171411944348e-05,0.09533356234620868
3900,0.0021099658774763764,8.800033690806786e-05,4.715306385289839e-09,5.083154354871566e-08,1.2716490291082676e-12,4.1267970236633716e-10,1.0319399295247186e-10,2.2176114900212998e-12,0.00021314992631939604,1.5801331024371454e-05,1.1356867364541006e-05,0.0953361778536392
4000,0.002146242324268643,9.263571422852311e-05,4.8989090443187305e-09,4.962397250484914e-08,1.3538577173401776e-12,4.328252138941581e-10,1.1717539861117914e-10,2.5774238105449977e-12,0.00021673504882719074,1.6479176078137523e-05,1.1177617528742776e-05,0.09522962475851696
4100,0.0021043735694137706,9.309630780981933e-05,5.0822599814512546e-09,4.8675883217934905e-08,1.4898916356589607e-12,4.5501830214676527e-10,1.2592167704753346e-10,2.961384659169732e-12,0.00021981351655032602,1.7437415180734562e-05,1.1053453545880149e-05,0.0952763391103292
4200,0.0021447305382659558,9.778988041295374e-05,5.360176837364446e-09,4.725587713392613e-08,1.5181200319351239e-12,5.073281197248707e-10,1.4033402358647552e-10,3.4011929229447753e-12,0.0002190415098659313,1.8236419265896984e-05,1.088277898048435e-05,0.09515569673176662
4300,0.002123521683985366,9.882335221991033e-05,5.6770186453894536e-09,4.607269695901352e-08,1.6351502449790705e-12,5.347762258900104e-10,1.558007903394047e-10,3.865512391100633e-12,0.0002230673796868148,1.846205238265683e-05,1.0526927964238747e-05,0.09511500342989115
4400,0.0021366636267940503,0.00010335276813915316,5.966342887380696e-09,4.49727611551439e-08,1.7059020178241724e-12,5.757638535622564e-10,1.6718163394261125e-10,4.2497990481987675e-12,0.0002197768198311306,1.9746013097913816e-05,1.0498568183487032e-05,0.09514976337982008
4500,0.002107838668706304,0.00010524468102835788,6.102145581294064e-09,4.3950222572163024e-08,1.8134762646456255e-12,5.902575952766977e-10,1.8294507784737614e-10,4.7474080608267e-12,0.00022178830906842688,2.029997135712052e-05,1.0341895458529837e-05,0.09501236403559375
4600,0.0021359506362981996,0.0001099419596188182,6.20886528865524e-09,4.231560281082831e-08,1.9404822493013518e-12,6.423088841289559e-10,2.009852400850059e-10,5.324804349909821e-12,0.00022031372530182186,2.0479958072150086e-05,1.0283995062453418e-05,0.09492571486459286
4700,0.0021140087057595677,0.0001127177067029633,6.52280889544398e-09,4.076080787545198e-08,1.984808888300103e-12,6.601070001134823e-10,2.1466220866049606e-10,5.97246534866295e-12,0.00022502285125152553,2.11716170763786e-05,9.841252761432201e-06,0.09481853842733025
4800,0.0021051576501307837,0.00011436096657820198,6.74941866799817e-09,4.036841454655756e-08,2.1334904390483313e-12,7.074946429054813e-10,2.3256740683675569e-10,6.646477851282168e-12,0.0002232289090751169,2.223977347226675e-05,9.816735989704429e-06,0.09480940845430799
4900,0.002078846914446769,0.00011924795945164298,7.034542397486445e-09,3.862964926769968e-08,2.2305011754995235e-12,7.400767662767368e-10,2.530893379779406e-10,7.294352750670288e-12,0.00022697826262851244,2.3127277502153334e-05,9.575723334049183e-06,0.09475344916859352
5000,0.002070764765202266,0.0001228923168592558,7.36088079663557e-09,3.786109610705668e-08,2.3270731583961424e-12,7.878029552965356e-10,2.644192394583916e-10,8.19783746357276e-12,0.00022848715753600156,2.3111236014169355e-05,9.351544176731335e-06,0.09462486953651936
