miliseconds,PolyQ,Proteasome,NatP,MisP,MisP_Proteasome,AggP1,AggP2,AggP3,AggP4,AggP5,AggPolyQ1,AggPolyQ2,AggPolyQ3,AggPolyQ4,AggPolyQ5,SeqAggP,AggP_Proteasome,mRFPu,mRFPu_Proteasome,PolyQ_Proteasome,ROS,p38_P,p38,p38death,PIdeath
1100,1000.0,1000.0,19500.0,-8.810581802100298e-30,-6.386686957925936e-47,-4.596668325993048e-54,-1.2664308251942241e-89,-4.5925752170745414e-125,7.483944690622223e-161,0.0,-1.345715238546389e-31,6.201532783870912e-49,-1.068635680526037e-65,2.560750178177203e-83,1.3325420848598963e-100,1.6388785960965438e-116,-1.2659085226467723e-49,300.0,4.120193690600931e-30,-1.0441256972086527e-30,10.0,-4.23504405732927e-33,100.0,-2.33543017604683e-51,-2.3075489666012368e-69
1200,1000.0,1000.0,19500.0,-9.148994197405164e-30,-8.793148458130189e-47,1.0998206383203953e-53,-2.7313555332049717e-89,-9.8370591593289e-126,1.1612235484943415e-161,0.0,-3.103787839188799e-31,1.6199857261110385e-48,1.8820770416810553e-66,1.5494418239257665e-83,2.7529090595695386e-100,2.7851214374678624e-116,-1.791682356292538e-49,300.0,1.3347061711815557e-30,-1.9538398421395413e-31,10.0,4.349384580675281e-33,100.0,4.2992470239367044e-52,3.5840389187803044e-70
1300,1000.0,1000.0,19500.0,1.4742053561867068e-30,1.0360010796067308e-46,4.515426732122377e-54,2.4100448314576543e-89,2.424136024159971e-125,3.9601729948453355e-161,0.0,-3.4595571410703284e-31,1.5301533384330697e-48,-2.504584577746871e-66,-5.2143017336442995e-83,-1.0342190116789473e-100,-1.5755542723303728e-116,7.95995420830469e-51,300.0,-2.635382240308885e-30,-7.547370589093099e-31,10.0,1.2937432137511195e-31,100.0,2.1817360150026795e-51,-2.6619897849277583e-70
1400,1000.0,1000.0,19500.0,-3.0788574256834424e-30,1.0791482280303958e-46,-1.323484371419966e-55,1.865820407125575e-89,4.118909367161402e-125,-5.249533483103595e-161,0.0,-2.436872721821376e-31,-4.078593340749309e-49,4.160547640503333e-66,-2.7769486073284296e-83,1.7922875278843713e-100,3.75114229855835e-117,2.9059035188721487e-49,300.0,-1.848072777521828e-30,1.6838687854946622e-30,10.0,-7.642581921433042e-32,100.0,1.8594559714492176e-51,1.1955850633879788e-70
1500,1000.0,1000.0,19500.0,-3.964902929829777e-30,1.2048614384549178e-46,1.1272672883712673e-53,1.7070556268202886e-89,3.2149432051851036e-125,-1.6828359280150978e-161,0.0,-2.9772858702708586e-31,1.7323493109468438e-49,-1.9986596220689301e-66,-5.6712052198136134e-83,2.659212803598258e-100,2.0895918379182846e-116,1.5510792171738365e-49,300.0,-4.8687540110354496e-30,1.3430578796490184e-31,10.0,-1.2011968074557888e-31,100.0,-1.8436524378742334e-51,-3.244028378142958e-70
1600,1000.0,1000.0,19500.0,3.9100132512414557e-31,1.0646351476418266e-46,-2.734540459991094e-54,1.5722492989399586e-89,-6.990998320489089e-126,1.837572353633653e-161,0.0,4.982139157281849e-32,-2.3169397031978538e-48,-8.235669292978129e-66,-2.4985236367938642e-83,3.54410105636824e-100,-1.4159237984798705e-116,4.0289241573455296e-49,300.0,-1.8367487171486413e-30,-1.3333264014340312e-30,10.0,1.0984391166303539e-31,100.0,-2.9854939959503187e-51,-2.2459714357053008e-69
1700,1000.0,1000.0,19500.0,-1.651670685682145e-30,5.514018182461642e-47,1.4569492417513002e-54,-2.3912887703651314e-89,-3.7597267331120994e-126,-3.828003118442592e-161,0.0,1.396817112906685e-31,9.51599227933754e-49,-1.1502696491998547e-65,5.317000836462572e-84,3.3138601513713216e-100,-2.7089255716108434e-116,-2.065024843493536e-49,300.0,-1.9433837064124796e-30,-7.971926526989947e-31,10.0,-9.298734063945321e-32,100.0,8.367345677803814e-52,8.231015410073955e-70
1800,1000.0,1000.0,19500.0,2.5715595275135454e-30,-6.14014942649766e-47,-5.0655588359592097e-54,1.4608444000188543e-89,1.9144195860184208e-125,9.248337921684684e-161,0.0,-1.2051341113836392e-31,4.9976051869056965e-49,-5.484717010212667e-66,6.743273097265103e-83,-1.5251933887159194e-100,-2.7173017543288203e-116,2.2800405192626027e-49,300.0,4.968107696306636e-30,-1.1049806436702653e-30,10.0,-1.3536220591110879e-31,100.0,1.2801862698218051e-51,2.0225100942192928e-69
1900,1000.0,1000.0,19500.0,-8.602013792123789e-30,-1.1746175226454372e-46,-3.9226663845928565e-54,1.8802746303379445e-90,-4.709829362307128e-126,-2.5538497425707742e-161,0.0,4.001560735152037e-31,-1.1954588860656567e-48,-2.745719380320411e-66,1.0353008750525528e-84,-1.4649328967015679e-100,5.808601150524122e-117,-1.3562544771732709e-49,300.0,3.1111547003925364e-30,6.216313281243552e-31,10.0,-1.035766299772311e-31,100.0,-2.1511400593599093e-51,-8.020352520788534e-70
2000,1000.0,1000.0,19500.0,-8.174988230862892e-30,3.7443182038026227e-47,2.1398101126621097e-54,2.5917575133697013e-89,2.6848001195142747e-125,2.9213664293358302e-161,0.0,-3.9312078157820227e-31,1.3060479616830545e-48,3.2254941134604266e-66,-6.082902123817202e-83,2.6900172044597717e-100,-2.2959915687480455e-116,-3.374101617885662e-49,300.0,-2.3718568594268925e-30,-4.25734460570769e-31,10.0,-3.957912644699543e-32,100.0,-1.5205272180866973e-51,-1.1190926197088268e-70
2100,1000.0,1000.0,19500.0,-6.505697045642283e-30,-1.2778564479015219e-46,-7.604298864492638e-54,1.5475214328422636e-89,-1.584976361141343e-125,8.571288429239327e-161,0.0,8.327999772093457e-32,7.813563801285048e-50,1.2107176000302632e-65,-2.8962216649979853e-83,2.794471242870569e-100,-2.165650719377131e-117,4.517847865867441e-49,300.0,1.3189279164617663e-30,-1.1860284940939571e-30,10.0,5.695239895699388e-32,100.0,1.3438164075573892e-52,1.295085312549318e-69
2200,1000.0,1000.0,19500.0,-9.956456911214687e-30,-1.2689012648606297e-46,-3.8721803896338607e-54,2.0945693162926636e-89,-2.9250460821103304e-125,6.249629099240026e-162,0.0,-4.12795312887957e-31,1.487494404377238e-48,3.739348284747012e-67,3.634411492930373e-83,3.7163440512500385e-100,-9.52316168346456e-117,3.7586067690898525e-49,300.0,-3.0264444320470067e-30,1.5685621616822993e-30,10.0,-1.55008976022863e-31,100.0,-1.8729496552631246e-51,1.3704632879975385e-69
2300,1000.0,1000.0,19500.0,-5.957923138288714e-30,-6.393400330664899e-47,1.0332109344096519e-54,2.14663122206213e-89,2.8825328143610334e-125,-3.4731439569624485e-161,0.0,2.5966793455601244e-32,-8.84743787239349e-49,-5.055481545221273e-66,7.315225876039901e-85,3.0821012975551753e-100,-2.3083097132583872e-117,8.166134715146193e-50,300.0,3.4717248094074666e-30,-7.048615490923941e-31,10.0,1.5075349122776504e-31,100.0,1.0447785029493626e-51,2.163736007106174e-70
2400,1000.0,1000.0,19500.0,-2.2803840564138182e-30,-2.2888811389402143e-47,6.432985058914412e-54,-5.353631210086095e-90,2.2189237275298635e-125,6.6715248765393154e-161,0.0,1.7083525636398393e-31,7.02455113439101e-49,1.5501754163720255e-66,3.008207441916728e-84,-2.660311478905302e-100,-4.692340074842921e-117,-1.5111610683896419e-49,300.0,-1.896946663681934e-30,-8.55662814558105e-31,10.0,4.3780305115685747e-32,100.0,-2.7630580265593027e-51,1.753704712349378e-69
2500,1000.0,1000.0,19500.0,-3.393141023336582e-30,1.0920000640700604e-46,1.4165218000089403e-53,1.8415135453735935e-89,1.7295428650588134e-125,-3.0019672402522628e-161,0.0,3.8893652249563594e-31,1.6902796712481502e-48,7.968755272198306e-66,6.672426900039215e-83,-3.81009828284556e-100,1.2060176891967331e-116,1.1707087349637288e-49,300.0,1.0679378096901775e-30,-1.2258523118935826e-30,10.0,-5.695376896410263e-32,100.0,1.445496030874501e-51,-2.1698458918837067e-69
2600,1000.0,1000.0,19500.0,5.953203548399367e-30,-8.574345446205887e-47,1.7426713813792436e-54,1.0947724135911105e-89,-2.2416236792379043e-125,-5.1050409751034335e-161,0.0,-8.785960999769379e-32,-1.1002572393268132e-48,-9.6638134620007e-66,6.220928086797446e-83,3.560996627694666e-100,1.8119795069562896e-116,1.059797168845276e-49,300.0,3.518053626192249e-30,-1.686442796313653e-30,10.0,1.1108110064219602e-31,100.0,1.360601832050351e-51,-1.6484618434950065e-69
2700,1000.0,1000.0,19500.0,-8.026069579164296e-30,9.358695277366832e-47,-1.0430574909689914e-53,2.240149771962694e-89,-4.632418271691187e-125,8.367571135665835e-162,0.0,1.721132306747291e-31,2.2214827792494222e-48,-4.835188969953429e-66,-1.9415099407911736e-84,7.574787031177216e-101,-2.001162532762216e-116,3.599386392463403e-50,300.0,3.1947470409117185e-30,-8.059252896795377e-31,10.0,1.5599684579724227e-31,100.0,4.111577634726751e-52,7.1791984471623e-70
2800,1000.0,1000.0,19500.0,6.657047385818166e-30,3.8917933628987645e-47,1.3225706494992556e-53,1.2820128661382425e-90,-1.6318439422833313e-125,1.4723640050189836e-161,0.0,4.727099714837736e-32,6.4447365682013205e-49,-2.158163973400361e-66,3.057269244334272e-83,-3.2416101866153605e-101,-1.081461004640983e-116,-4.297663125895418e-49,300.0,-3.598030281232505e-30,1.0475040842217019e-30,10.0,1.334416711266065e-31,100.0,2.507898480198077e-51,-9.02267158136865e-70
2900,1000.0,1000.0,19500.0,1.013025792611035e-29,1.2440793873125534e-46,1.0679167687166633e-53,-2.757546819856132e-89,-2.0574693369237703e-125,1.9537805597101684e-162,0.0,-1.0151270856151578e-31,9.653320468536773e-50,5.022787664496793e-66,-4.234122260835183e-83,-2.0643777030302263e-100,-1.085363357169202e-116,-3.2843280466678717e-49,300.0,-8.95914034823945e-31,7.728813437614883e-32,10.0,9.88749645086272e-32,100.0,-1.9162914119209437e-51,-3.782606291573055e-70
3000,1000.0,1000.0,19500.0,1.2036781085411984e-29,-1.0571406688806445e-46,7.838910886756514e-54,-7.414092901811404e-90,9.727454908860692e-127,-9.069145698643226e-161,0.0,2.935124314052871e-31,1.0550460348092113e-49,-1.0791022195843796e-65,4.736398289346596e-83,-3.6741678424554e-100,2.567556267530507e-116,4.5083828092880155e-49,300.0,-5.3033720540443285e-31,7.5909622118539e-31,10.0,-5.644482732214184e-32,100.0,-3.3340800729722635e-53,-8.079492636401832e-70
3100,1000.0,1000.0,19500.0,5.0338288934147134e-30,-3.0876367899151693e-47,-1.4003951691803332e-53,-1.8126539480589392e-89,2.6563726559703143e-125,4.029371401362683e-161,0.0,5.840071186302473e-33,3.606754090107385e-49,-1.2633326643852315e-66,-5.211825677618125e-83,-3.7002910849032706e-100,2.0858983488199702e-116,3.244992458762739e-49,300.0,-1.6260843047501125e-30,-1.3066781267833686e-30,10.0,-1.0088352072400619e-31,100.0,5.876256295046427e-52,-1.1816919586430117e-69
3200,1000.0,1000.0,19500.0,2.086236576669738e-30,1.8464453076641896e-47,-1.1269385723854139e-55,-2.621122325075499e-89,2.4230083672407676e-126,-3.0706287923959326e-161,0.0,-2.9677470810038856e-31,-5.40203496451709e-49,-1.17592278967496e-65,-4.0016599449857125e-83,1.880900407958156e-100,4.9611747520322035e-117,1.7924840734053032e-49,300.0,-3.125737813839924e-30,1.0251669473278483e-30,10.0,-1.014491550145045e-31,100.0,-1.636306380460308e-51,2.53883202790633e-70
3300,1000.0,1000.0,19500.0,-6.0231334257620775e-30,6.140731973990715e-47,1.0419092174111489e-53,-6.633897039026788e-90,-3.4170795696493055e-125,8.52542288666838e-161,0.0,-1.8946301710596392e-31,-3.118371424179803e-49,6.277141128904678e-67,5.919142351550167e-83,1.5695374355236108e-101,-1.2513633657917993e-116,-1.3039728680129711e-49,300.0,1.7844595132525593e-30,-2.043939804877688e-31,10.0,1.5890407731961343e-31,100.0,-3.032231190291096e-51,2.1525566737222498e-70
3400,1000.0,1000.0,19500.0,-1.9879303926506776e-31,-1.3461218637396563e-46,-1.393758673303657e-53,-1.8492390931357312e-89,4.959469781004432e-125,-5.1897641422007245e-161,0.0,2.6064826110311975e-31,-7.753607814421536e-50,-7.251365609443159e-66,-1.9498650606352864e-83,-1.7540094539434872e-100,-2.832089105428592e-116,-4.328025097937733e-49,300.0,-2.1304950930130553e-31,1.1032940174945007e-30,10.0,1.4623780589967104e-31,100.0,-3.728453004160085e-52,-5.7353469217245986e-70
3500,1000.0,1000.0,19500.0,-2.2752829607393995e-30,7.487637736509088e-47,9.257501532659599e-54,2.6219109687509356e-89,-4.144084325860522e-125,-5.1849040383097115e-161,0.0,-4.203060150388171e-31,-2.887294282456152e-49,-1.1859141804724391e-66,-6.615773103709466e-83,3.8421388864672046e-100,-1.9595965917599414e-116,3.859767819989426e-49,300.0,-4.048978464788939e-30,-6.680398099392782e-31,10.0,1.591690105658728e-32,100.0,3.905496204690203e-52,-1.5265698829875157e-69
3600,1000.0,1000.0,19500.0,-8.449747571597306e-30,1.732675291890223e-47,-2.327741274031079e-55,-1.162514575558369e-90,-1.6081249716392583e-125,-6.7818294316883355e-161,0.0,-1.1928476852995168e-31,-2.55466979840346e-49,5.06794844750225e-66,-1.35361561957799e-83,6.264228509242679e-101,5.805331356494983e-117,-8.707063571759172e-50,300.0,1.6741279713117696e-30,1.8604043147276962e-31,10.0,1.1007945032941579e-31,100.0,-3.121409131856747e-51,-1.251164274653408e-69
3700,1000.0,1000.0,19500.0,3.615842529224717e-30,-2.951315411554942e-47,1.0051715988117029e-53,-1.321768756689266e-89,2.209209902444705e-125,-4.548765851699432e-161,0.0,-1.3040105201866541e-31,-1.9883059179792734e-48,9.337912493496776e-66,6.348730777849494e-83,-9.371261780435797e-101,6.779073483363265e-117,-1.0100284963014413e-49,300.0,1.7161892153119777e-30,-1.6923719366006775e-30,10.0,-1.554694205707004e-31,100.0,-2.943701994502844e-51,-1.1631125517004591e-69
3800,1000.0,1000.0,19500.0,-6.567196206188334e-31,2.255777823343862e-47,-4.462267455137998e-54,-1.3982279387225534e-89,-2.0938989278102153e-125,-2.8798835586107298e-161,0.0,2.948202007425875e-31,-1.2626326206918127e-48,-6.16867167053113e-66,1.6913314322194193e-83,2.85726189234053e-100,-7.317475296240724e-117,-2.379384757300307e-49,300.0,1.5120756402606849e-30,3.6016266787514743e-32,10.0,-4.65488115283574e-32,100.0,3.084079854257852e-52,1.7230612284450208e-69
3900,1000.0,1000.0,19500.0,1.629005930441619e-30,1.3815095360277258e-46,-2.854477771591397e-54,1.3378512400436782e-89,1.5584225985002136e-125,-4.046405168257857e-161,0.0,9.815063932252097e-32,2.1231847535998955e-48,1.2117717425319416e-65,-7.04218329342394e-83,3.898420017236448e-102,-2.7126097180136154e-116,-4.576731124124352e-49,300.0,3.579556646133839e-30,-1.024834642950883e-30,10.0,-1.0693256939638674e-31,100.0,7.189156634361304e-52,1.891733157408909e-69
4000,1000.0,1000.0,19500.0,7.971587463721638e-30,1.1105223481999018e-46,-5.433631840175766e-54,2.507892290030986e-89,-1.3073267331766588e-125,5.268445980611803e-161,0.0,9.161242615814752e-32,1.84121939554531e-49,1.0882957986712137e-65,-4.742817869766979e-83,-3.3619714328823134e-100,-4.0566681658039155e-117,1.6971242587076394e-49,300.0,5.1034059994680854e-30,-4.932443516844978e-31,10.0,1.15292012102552e-31,100.0,2.986412596436116e-51,2.2966082472586326e-69
4100,1000.0,1000.0,19500.0,-3.36169621040435e-30,-8.988121298969085e-47,-8.299535183556354e-54,1.580503724973021e-89,1.446111605581791e-125,6.745455193917409e-161,0.0,-2.6934048246034696e-31,-2.176375365455025e-48,-7.686512494769753e-66,3.0041236430551885e-83,5.4615923652221636e-102,-6.014955668754599e-117,-1.0888429306413208e-49,300.0,-7.036273062544736e-31,1.634890212351723e-30,10.0,1.640449523838049e-31,100.0,3.291495516085573e-51,-2.038485365077147e-69
4200,1000.0,1000.0,19500.0,9.985304003981973e-30,2.471683299899432e-47,2.6409970586238075e-55,2.247095629535933e-89,9.274711066891789e-126,6.337182197543688e-162,0.0,2.045107840751995e-31,1.4119242506772018e-48,-1.1187511925555949e-66,-4.5473609945468586e-83,-3.1968526169074096e-100,2.6984286641593137e-117,-2.143902064186847e-49,300.0,4.657704193978972e-30,-8.726061515391785e-31,10.0,-1.487011397691069e-31,100.0,1.342018769407057e-51,-1.0781953297418072e-69
4300,1000.0,1000.0,19500.0,-9.941558509625641e-30,1.3532284260598408e-46,-8.244288792735681e-54,-1.9210705239355982e-89,6.300128678948265e-126,-5.133901902842261e-161,0.0,-6.518887988686229e-32,6.742739550067779e-49,-8.278728358487266e-66,-2.2917559687793128e-83,-3.850125849444104e-101,-1.1437388930907239e-116,-3.3765160740587025e-49,300.0,-1.6072891732510634e-30,-8.107710765195653e-31,10.0,-4.8377983580184314e-32,100.0,-3.1309879746289205e-51,2.047247359744297e-69
4400,1000.0,1000.0,19500.0,-2.503548806019581e-30,3.5517843858038437e-47,1.1841491877729095e-53,-1.9001529629115437e-89,2.985470078120532e-125,-6.3053736777955496e-161,0.0,-1.573851878088007e-32,-3.2874349137953723e-49,1.109899287423424e-65,-5.091310509292695e-84,3.1720765119063305e-100,1.8431024969186315e-116,2.0536135874544022e-49,300.0,-2.704843390889219e-30,-5.992766156477031e-31,10.0,1.7386997660583802e-33,100.0,1.1193267842666014e-51,-1.2695185003129166e-69
4500,1000.0,1000.0,19500.0,1.091255956516265e-29,-2.253875055879985e-47,-6.315748485191827e-54,-1.0660229654665204e-89,-4.5199168117861124e-125,-9.37568785745215e-162,0.0,1.19614180538777e-31,1.3526714404915837e-49,9.444981211270659e-66,-5.089690738695389e-83,-3.0425829993260033e-100,2.6268205859117925e-116,-1.7673526201530785e-49,300.0,2.7752366841881015e-30,-1.092183662719292e-30,10.0,-1.0690230904650846e-31,100.0,-2.985300136068348e-51,-1.8200751977543537e-69
4600,1000.0,1000.0,19500.0,1.0541452097676118e-29,4.265622068286681e-47,-8.865883591000501e-54,-8.839800320191053e-90,-2.3784402531240815e-125,4.799512986736586e-161,0.0,2.8022638246288537e-31,-1.3233943564319997e-48,1.1001546831315588e-65,-1.333124526450078e-83,1.7494063939914628e-100,2.236225648516264e-116,-9.45151766811864e-50,300.0,-2.9860514096914928e-30,-1.5739600448575613e-30,10.0,5.098465030503307e-32,100.0,2.6642486140681018e-51,-2.0628880731648655e-69
4700,1000.0,1000.0,19500.0,-9.868888893541068e-30,-5.333267532843773e-47,-1.761073412132994e-54,1.3380796196034533e-89,-4.058823435697959e-125,-1.3185779980570204e-161,0.0,-1.2516076333912145e-31,-1.5784989062535672e-48,-7.833763872793824e-66,-5.1068078736189396e-83,3.4690787973277674e-100,2.3062120493026583e-116,-2.43977689290703e-49,300.0,3.3775929550585806e-30,6.629966415671736e-31,10.0,1.9370100452543978e-32,100.0,-2.9493897349587374e-51,-2.439471474954486e-69
4800,1000.0,1000.0,19500.0,-3.120409649679796e-30,6.971888079740855e-47,-7.790451408525087e-54,1.0422909213307489e-90,2.9609043225219136e-125,2.5997771817746776e-161,0.0,-1.8704594715730337e-31,2.156084055929854e-48,-4.5505938254113567e-66,-2.6435568333112144e-83,-4.850003809226236e-101,-2.820682627623072e-117,-2.153416617454276e-49,300.0,-3.1213952499349063e-30,1.686898359785521e-30,10.0,-6.548722035847453e-32,100.0,2.8957477421093046e-51,-2.1842098264036442e-69
4900,1000.0,1000.0,19500.0,-6.840306687379674e-30,2.1506757588617213e-47,-1.127234207717757e-53,-2.5405659007033663e-89,-4.482707138202886e-125,-6.3600214644664875e-161,0.0,4.667562994808133e-32,1.9419549292847652e-48,-7.934549505333791e-66,1.7694903990590657e-83,2.1494767630273842e-100,2.720643103576503e-116,-4.573420063465375e-49,300.0,-4.602738309458285e-30,-5.904954712419328e-32,10.0,-8.228109227939603e-32,100.0,-2.334374482374799e-51,-7.668949479640717e-70
5000,1000.0,1000.0,19500.0,-1.2405474988427e-29,5.262294537144557e-47,-1.9029347616864934e-54,-1.5506529435899821e-89,3.009381647129248e-126,-8.503112498935245e-161,0.0,1.8627858975274676e-31,-4.748616239629666e-49,1.2004001449835046e-65,1.9237575802686034e-83,3.100502117691475e-100,-8.36683103500473e-121,-4.542821573229889e-49,300.0,-1.3385108020401068e-30,4.900177836263655e-31,10.0,-1.354235354299678e-31,100.0,-3.066128175880453e-51,-1.4919643785691084e-69
