milliseconds,PolyQ,Proteasome,NatP,MisP,MisP_Proteasome,AggP1,AggP2,AggP3,AggP4,AggP5,AggPolyQ1,AggPolyQ2,AggPolyQ3,AggPolyQ4,AggPolyQ5,SeqAggP,AggP_Proteasome,mRFPu,mRFPu_Proteasome,PolyQ_Proteasome,ROS,p38_P,p38,p38death,PIdeath
1700,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1800,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1900,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2000,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2100,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2200,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2300,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2400,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2500,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2600,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2700,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2800,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
2900,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3000,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3100,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3200,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3300,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3400,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3500,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3600,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3700,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3800,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
3900,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4000,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4100,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4200,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4300,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4400,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4500,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4600,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4700,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4800,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
4900,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
5000,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
