milliseconds,IR_beta,IR_beta_pY1146,IR_beta_refractory,IRS1,IRS1_p,IRS1_pS636,AMPK,AMPK_pT172,Akt_T308,Akt_pT308,Akt_S473,Akt_pS473,mTORC1,mTORC1_pS2448,mTORC2,mTORC2_pS2481,p70S6K,p70S6K_pT389,PRAS40_T246,PRAS40_pT246,PRAS40_S183,PRAS40_pS183,TSC1_TSC2_pT1462,TSC1_TSC2_pS1387,PI3K_variant,PI3K_variant_p
2000,1.5596555045143123,9.219614626091118,6.051000956759731,17.462338406277542,0.006245136163811976,1.4303806096799876,9.652192686841843,10.935409375501967,12.36031639341573,8.820666223223895,7.4742424049684075,4.566929342418175,23.137284419278163,2.0773368173826063,17.003764141497303,1.894148354906969,14.251691899756304,0.058614669684439784,7.809605522089238,5.437651364849947,15.53146904918303,2.139724413265262,9.344659000703729,5.907182286095651,18.760741815397857,0.17566568280426087
2100,1.4846377608888608,9.116751621200981,6.525364043216225,17.468291476865545,0.010217923696175073,1.5096444477025894,9.271351425640367,10.963671806625232,12.219933322701928,9.242471112331524,7.588489774880066,4.7668184631396295,23.058531703738595,2.2230807312072636,16.94162089858398,2.01996823253355,14.235039063742711,0.05441437193999538,7.903980259100877,5.654424150251166,15.231212865419133,2.0899986423543973,8.775521778415548,5.644968971096784,18.766703981579763,0.16868967879054791
2200,1.5565226758764772,8.802700131031106,6.581633754963315,17.344518065124255,0.004906788626967664,1.5378798763128907,9.18015104129072,11.097200898351005,12.543269826029558,9.070002417781774,7.506436183320021,4.829728399482861,22.908872319491934,2.280342852858961,16.63971895839286,2.064130528796233,14.242990488138329,0.05803113946179713,7.675333505955336,5.865146139994633,15.377070559381123,2.254898787397812,8.647978297189965,6.382665537088582,18.767452869965,0.16364586421723654
2300,0.7879672907943042,8.746298465901004,6.642007883695805,17.233000350229457,0.005328308740128377,1.5935025496781225,9.19584686409578,11.374472259209995,12.137279476055484,8.960646924187081,7.0229071472350775,5.021862758607909,22.757778235308308,2.216750509764816,16.698323992593313,2.064184954053893,14.225916396953563,0.07556229816208615,7.57827089927071,5.936876170970116,15.281310912754186,2.4258941836382975,8.451906908652195,6.615837064389434,18.77482305840688,0.16128602677238393
2400,0.6878237103916568,8.527538217789326,7.517024835948515,17.1593416343695,0.007685629150620149,1.6684617514083966,9.567204382720702,11.243519639416899,12.178956049726056,9.394321893490387,6.87109422482361,5.232403006858741,22.77098396037301,2.3053244824164114,16.648384924965093,2.292611795470572,14.223054297453416,0.07086457592585134,7.618175508823795,5.676145394869044,15.03809691060777,2.4732774152107706,8.496690142292467,6.3703715250496575,18.778391367023442,0.15962984566343785
2500,0.8873727905540807,8.264511346968238,7.343170707456463,17.15016061311805,0.004309445926906951,1.7788734587175823,9.643184607244242,10.940592032439275,12.147353349015352,9.124310122080875,7.168159692082933,5.369757440369377,22.640473596868457,2.353489289799131,16.349821149307278,2.4103383484621097,14.218293070757083,0.07883581972189266,7.636344663519694,5.701025546494419,15.090569802494707,2.6425221695643417,8.300654913170467,6.709692735977447,18.780666363605707,0.15494343990282958
2600,0.78013229803946,7.809247815998408,7.57942178418662,17.087502017859386,0.0022577184062249024,1.8280707506818457,9.53445254687802,11.232857875951487,12.068811049177834,9.52682541478169,7.081741053899847,5.525210782396984,22.561787903516713,2.4810321952532806,16.35673541113385,2.4742993375425737,14.20208502402905,0.0979338556966453,7.671702335135433,5.967643513427972,15.005246551958866,2.7454548661020035,8.02091038112509,7.177429484055765,18.78136632735138,0.14944147261515736
2700,0.887740178244673,7.817566063539167,7.885602570435636,17.134794422450252,0.003107507091262789,1.788843942213316,9.062103320371905,11.386629950608537,11.92346998109459,9.239207416817226,6.8061983060702085,5.269894997952629,22.52124025745802,2.5796385307686984,16.168976754418434,2.386320538318542,14.20315458912966,0.10003369778131121,7.619650841117381,5.858053744055137,14.720706123548112,2.635776863075642,7.780986856137732,7.25310802863655,18.78186657386609,0.14789513800670032
2800,0.6833716466258715,7.350628633149941,8.351440505851246,16.94160030296952,0.0016113815891879808,1.8969229263679628,9.50749001892811,11.097055815198818,12.320094402088706,9.49323230672622,6.796473408417751,5.689864097755091,22.367761364441552,2.667564793617953,16.19351869334012,2.4806513156915315,14.199887121852976,0.10419724773381668,7.472737605218143,6.123526601346701,14.773025705739222,2.72142017092751,7.2528720489317875,7.3761033038566435,18.78610606868052,0.14117535650465007
2900,0.4799151662875839,7.170003979360901,8.724670906399211,16.977208551344315,0.004527294057187927,1.9582052366802318,9.42660457503472,11.341478764022094,11.894706276997654,9.534502076237231,6.8219921852819425,5.804002610369597,22.46085754000761,2.831287571540572,16.137507090406103,2.5900358871841394,14.18416145146851,0.10550795816238019,7.6536796274252445,6.036703973001453,14.521830173878135,2.9622352258829583,7.475578545735427,7.619576099323469,18.795370882257185,0.13940052873405526
