miliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
1800,7.996004860592282e-05,6.266757975053664e-05,0.98988961687037,0.00936963432281507,5.367248543195728e-07,0.00010990097579325004,7.493506383998314e-06,0.00044079678584919385,3.688450710734695e-09
1900,7.956267927194796e-05,6.208419334860623e-05,0.9894833494943202,0.009776207910601223,5.588622148316737e-07,0.00010505147462750106,7.4758116755810025e-06,0.0004497046231621794,3.975961505613509e-09
2000,7.969728675106433e-05,6.214373625387809e-05,0.9891356868272088,0.010387160022575833,6.038157699781221e-07,0.00012157460655939377,7.458561902695891e-06,0.00046799175098261476,4.216239100774809e-09
2100,7.919020384948688e-05,6.266262296516534e-05,0.9888803129894069,0.010979317712887168,6.239875078112539e-07,0.00014125107169693236,7.48890655456174e-06,0.0005170812014502556,4.3028417884204e-09
2200,7.994950624310328e-05,6.239847559500925e-05,0.9880218040941388,0.011173992923598403,6.465925147763953e-07,0.0001581537731959073,7.495070728871635e-06,0.0005209313474491407,4.513058933115378e-09
2300,7.955443998203184e-05,6.21141447565656e-05,0.9873252232681633,0.01151438587972776,6.751821404194047e-07,0.00016611903058575862,7.458846135473786e-06,0.0005445579690193174,4.979210844884768e-09
2400,7.980405855726748e-05,6.229992476167637e-05,0.9868274064015287,0.012282697071356756,7.081737416286617e-07,0.00016705487561342167,7.481554773184978e-06,0.0005833433676022855,5.17811487138392e-09
2500,8.004192581756327e-05,6.237762580607038e-05,0.9861666079514758,0.012405858819063257,7.470126833546895e-07,0.00019391004421708056,7.534899751876962e-06,0.0006212015162586731,5.312749084804529e-09
2600,7.995513720027279e-05,6.230581240426783e-05,0.9860384066674117,0.012931930215001664,7.599930886364345e-07,0.0002127247948662163,7.498351268575833e-06,0.0006431647866498731,5.532635287294128e-09
2700,7.928527399087431e-05,6.210369195156912e-05,0.9856334103308271,0.013326387140686758,7.723948407765496e-07,0.0002276819949673117,7.502027427890411e-06,0.0006515562962035412,5.6280376156599125e-09
2800,7.943014235776317e-05,6.204061392485608e-05,0.9844874316685799,0.014247190706361944,7.907004923504046e-07,0.0002479882270244965,7.520294875869459e-06,0.0006922520894948129,6.016681784830154e-09
2900,7.963218270773261e-05,6.205057262316849e-05,0.984585173435955,0.014412216096681899,8.203166820696596e-07,0.0002570922176716842,7.516063045151925e-06,0.0007164669051248308,6.226329456535347e-09
3000,8.006625918994959e-05,6.194295954486789e-05,0.9841124509222122,0.015514270718088714,8.796679956375344e-07,0.0002641595883878714,7.5138257552163164e-06,0.0007196395316378541,6.210183352046159e-09
3100,7.971563504437901e-05,6.233354891826844e-05,0.9830416157219002,0.015727523074801596,8.972598663148277e-07,0.000286986687366975,7.4971634227688514e-06,0.0007467589911915631,6.51503042327341e-09
3200,7.95540143020822e-05,6.164938827762672e-05,0.9825954226652902,0.015863190756488843,9.257248037602168e-07,0.00030429463374156306,7.418912888478037e-06,0.0007787207318030088,6.88110717227408e-09
3300,8.00048346479887e-05,6.194970350998899e-05,0.982140381574113,0.01673557260787163,9.341274147319936e-07,0.00032192091809747815,7.465202558600357e-06,0.0007882670883322024,7.081202005395984e-09
3400,7.935155256166775e-05,6.185127629460543e-05,0.9813155904516784,0.017255548400007273,9.912722369279972e-07,0.00034735761314598105,7.442441915225274e-06,0.0008205306741355176,7.2884525562289355e-09
3500,7.980270474230185e-05,6.159731033360715e-05,0.9808101188026688,0.017807591413042993,1.0001170342352593e-06,0.00038365678948350474,7.478570551277011e-06,0.0008305678152708788,7.515572378591201e-09
3600,7.99098493678227e-05,6.217326116770201e-05,0.9805812016173654,0.018261739275273452,1.0437386278036393e-06,0.00040356543546629913,7.494300888170636e-06,0.00087531402540978,7.533835920269099e-09
3700,7.9420070204201e-05,6.206667214689038e-05,0.980209807717603,0.018460304612155497,1.0819496236086125e-06,0.00041275594681996336,7.445839437684942e-06,0.0009047269579271769,7.793576820429254e-09
3800,7.999255111223262e-05,6.209685451072072e-05,0.9796316466471403,0.019265120354577864,1.087024726253247e-06,0.0004482351245390113,7.393465116936392e-06,0.0009330294974226283,7.99921736565623e-09
3900,7.92145966820944e-05,6.221672369266957e-05,0.9789105469520978,0.019487033069908174,1.1362129912648242e-06,0.0004565454675635805,7.444759020934362e-06,0.0009393444485470627,8.150477000428632e-09
4000,7.95897378748932e-05,6.180102224064008e-05,0.9782039705448662,0.019979298638202986,1.1492200827368786e-06,0.00047725023451800953,7.456160320010963e-06,0.0009546766621757191,8.37822257983078e-09
4100,7.995931043316116e-05,6.207517436479775e-05,0.9778012273916777,0.020794895399901238,1.1612240593871427e-06,0.0005012455101433448,7.437116484253701e-06,0.0009996390053704151,8.623306660031317e-09
4200,7.942122633031263e-05,6.17225260803578e-05,0.9769721770027812,0.020653929734100886,1.1894168477661964e-06,0.0005409340785659096,7.42561434679039e-06,0.0010299243785939956,8.762182696444412e-09
4300,7.953196357680626e-05,6.156771094574328e-05,0.9765208920516825,0.021185423696563704,1.2380499179781066e-06,0.0005674389585589297,7.456291947673402e-06,0.0010274134271081009,8.9530219737875e-09
4400,7.955669763043058e-05,6.177696281116242e-05,0.9765615410404055,0.02229043362026258,1.2493055618333087e-06,0.0005774406455540636,7.4339867594187725e-06,0.0010501796242467793,9.27810988219698e-09
4500,7.937099301398404e-05,6.14030729324007e-05,0.9755101660885186,0.022159700158018037,1.3022637187336363e-06,0.0006100189353948131,7.4030509678406125e-06,0.0010919988969680665,9.347879291342734e-09
4600,7.944689775525803e-05,6.163822908685991e-05,0.9751749685828688,0.022801636636402303,1.3180392708897118e-06,0.0006457430305036667,7.4323209505533615e-06,0.0011141129123248467,9.677307448775866e-09
4700,8.003354583959989e-05,6.161511169166614e-05,0.974623514074958,0.023759929814941988,1.3232491245769173e-06,0.0006738534738021836,7.430410262334368e-06,0.0011179203154538934,1.0006028649561203e-08
4800,7.97630090451175e-05,6.132696778652456e-05,0.9740412559665874,0.023695446406250986,1.391372107811599e-06,0.000690785163579259,7.406109251518062e-06,0.0011664211453152565,9.967872773365039e-09
4900,7.980853494025527e-05,6.183562814936264e-05,0.9732865541761142,0.024175801224365977,1.403897869170868e-06,0.0007311701686305104,7.384983586739228e-06,0.0011920732957655218,1.0310715783916566e-08
5000,7.94012941376405e-05,6.172386569084593e-05,0.973202122802373,0.024509836941809013,1.433791423964994e-06,0.000758696421062937,7.438475739480817e-06,0.0011954786694551899,1.0388715212385405e-08
