milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
3700,4587063009218220.0,5451540139807200.0,2.3645793269871226e+17,2.374505075847594e+17,1663786598026.1929,118639479533.70311
3800,4597799761260772.0,5323613770935734.0,2.5233336689641693e+17,2.4032656018769645e+17,1721531497137.086,121151561274.26675
3900,4594706699712597.0,5338528649483030.0,2.4891396892731638e+17,2.5480548360612835e+17,1762530913102.7166,122373763466.33119
4000,4553351146735670.0,5366215645782974.0,2.7020783589256278e+17,2.5578913399636832e+17,1893774269974.0364,124651515732.87274
4100,4564950555158615.0,5344380177725484.0,2.6776349461448637e+17,2.6549006558266208e+17,1926005800702.5037,132342903812.7251
4200,4580497299134823.0,5408752592297545.0,2.79970288128807e+17,2.7112440633059728e+17,1993566398248.2993,137018665067.62683
4300,4684905432146924.0,5380656600786922.0,2.8383205045277005e+17,2.7580037045894195e+17,1983316771848.9521,133449104358.64203
4400,4591112693569495.0,5425785240135841.0,2.8719163404935542e+17,2.7433181477845152e+17,2119994804863.7063,145227873884.29544
4500,4591541555843613.0,5354044251969638.0,2.9869089609206317e+17,2.965099592816606e+17,2098117415286.0066,148312165817.3666
4600,4681243390595593.0,5361002258535410.0,2.960995016589442e+17,2.999783336132503e+17,2143501489669.3462,146227804485.5843
4700,4610585020205989.0,5440498284320444.0,3.065647501222631e+17,2.978516702450262e+17,2249398052708.35,155299364901.08304
4800,4673983445528953.0,5424204035491047.0,3.1688308401326534e+17,3.033807058711963e+17,2216818381548.0273,149868663463.51453
4900,4608078836343427.0,5440115434910294.0,3.195942547929487e+17,3.2205188833488506e+17,2224661048170.11,160438885409.07968
5000,4581432339400063.0,5459173053397709.0,3.2136998150713184e+17,3.11965849732262e+17,2321544885722.933,164026170799.22882
