milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
3400,4626707645144496.0,5341867185125222.0,2.2535413305851114e+17,2.2041907052997936e+17,1561112556278.0278,111498197728.51543
3500,4654107168224713.0,5360882827616552.0,2.2224992755024522e+17,2.141226680653593e+17,1701134745008.996,107181789101.7731
3600,4666383423113564.0,5435327574050067.0,2.3337325391814026e+17,2.223186880087087e+17,1695054050448.963,117679442326.27338
3700,4663797731580589.0,5420915025437736.0,2.4066658024075117e+17,2.2939250857592794e+17,1699332138692.684,117931916405.2775
3800,4632244945013908.0,5375038362809524.0,2.5668459643828413e+17,2.3447986640042902e+17,1753304720833.3494,121519009615.7616
3900,4600611236589140.0,5443647405808996.0,2.5849589187002355e+17,2.479881325235635e+17,1756870388314.4658,123373168204.63643
4000,4620277050978306.0,5441950435130555.0,2.5347231900078838e+17,2.544282921178923e+17,1813862355876.301,128142523972.20322
4100,4683775676755875.0,5374733330354224.0,2.662784247415595e+17,2.6549441457668054e+17,1953979714265.5076,135053370969.53078
4200,4633880626419655.0,5342825208035559.0,2.7218214078658704e+17,2.687586632653133e+17,1896653630090.9714,133564343862.82173
4300,4574203260138598.0,5338707553576712.0,2.758165348769212e+17,2.7567986561671654e+17,2055863782696.5315,133748798192.42696
4400,4545469735810226.0,5348980590865523.0,2.833083510782835e+17,2.89476053736897e+17,2006556626085.3323,136882450323.93657
4500,4659413151818285.0,5344707260165719.0,2.8632326003134797e+17,2.8659610969644688e+17,2140914102612.939,148382232064.53116
4600,4625906711713970.0,5402341187219384.0,3.029305135748597e+17,3.003891063146149e+17,2182277185072.655,144206363188.09866
4700,4555022457734408.0,5318961094945656.0,3.123983176443086e+17,3.0200431189514765e+17,2155524139190.9075,154133412501.99124
4800,4611317430908764.0,5350604731282223.0,3.070305491775625e+17,3.0281489633874406e+17,2291235737043.4785,152793203547.0886
4900,4626963988271240.0,5354337950936492.0,3.194269487803102e+17,3.2146764354704986e+17,2253208784249.696,155891451341.46878
5000,4585087788257173.0,5436431840654596.0,3.192152183954201e+17,3.2334812928790285e+17,2269924152574.374,160209733779.93845
