milliseconds,MP_0,MC_0,MB_0,PC_0,CC_0,PCP_0,CCP_0,PCC_0,PCN_0,PCNP_0,PCCP_0,BC_0,BCP_0,BN_0,BNP_0,IN_0,MP,MC,MB,PC,CC,PCP,CCP,PCC,PCN,PCCP,PCNP,BC,BCP,BN,BNP,IN
2600,0.4868755636817407,0.2316493869437609,3.358999136150868,0.326792519036885,0.0849296548706931,0.4778068392280726,0.5834433799535712,0.04165184064851908,0.017590993874532716,0.2782503939698768,0.16961609514898998,4.521027268523128,1.2288441801751333,1.2765190645304754,1.743741528494111,0.09650300018810173,0.48889231474333106,0.23306200647505596,3.3648320180253997,0.3295664354577998,0.10523531875619432,0.46046085261270336,0.577137267115381,-0.003947268345371454,0.07835273722934219,0.17720131331426417,0.27045650684433686,4.425190260555236,1.2311265007434875,1.278988762799952,1.7538077166440391,0.09978904389152149
2700,0.478902893615367,0.237427139762521,3.344867205585939,0.32957222143353754,0.09745427641951233,0.4653109246013781,0.5720319331081906,-0.004311935339159292,0.020888575696694757,0.25916932749107924,0.1429818915199269,4.545140412746577,1.2341034715222465,1.3418481048518316,1.8097117821432809,0.09950966000171145,0.48206474283546596,0.2631078782684937,3.3440052442412864,0.3450626889497164,0.06517782234468945,0.4496965023340826,0.5800957929670656,-0.002121754937680888,0.021819391987028754,0.17161501497569603,0.23256984949698,4.419888202769633,1.2425230859361325,1.3143022135179832,1.8279863330970896,0.07638302256187326
2800,0.5216146925585847,0.2730882720241885,3.337719478590624,0.34169982005098304,0.06862723344226467,0.4311114881761287,0.5128653339960214,-0.007505487611121089,0.046481704999523414,0.1959903875770058,0.10298295414797315,4.745592019020088,1.2387655943816807,1.423774602784766,1.8755296372724801,0.09971858856385737,0.5166127910410194,0.2651785265403276,3.325716931124628,0.31970963878889724,0.10454814779833307,0.457937811257986,0.5400005179074161,-0.013142723522902713,0.05875309990287925,0.12517284932619546,0.2407168408480518,4.7513059789230745,1.2343662888351183,1.5255927257387456,1.8505282244133492,0.08578910420131879
2900,0.5311282187733573,0.2995560518488539,3.331817646181057,0.324502953722591,0.1126437960593555,0.43199003639707,0.5113912977632109,0.037756912620310785,0.03893198520092618,0.167057164466636,0.09029991516156372,4.8007271558876745,1.2397087008042578,1.4630164291371912,1.8836420280357524,0.06090249160505693,0.5573887112580306,0.2959417905611837,3.319541863038909,0.3081849152880434,0.08676108359013457,0.4515233525196128,0.519240332133744,-0.002128567392881824,0.033986249658217865,0.10902273034434233,0.20231391246618982,4.7698705185596175,1.2418549022058247,1.533652874626336,1.8763318429759253,0.07826628051631127
3000,0.5547642391853136,0.3068831256653706,3.315214044050042,0.3342013836766413,0.09411882086456813,0.40944801733691644,0.4892484999832964,0.036141338554767866,0.01443784181169089,0.1683353610794048,0.06782262307896379,4.711055378588289,1.2651702898055288,1.6849164563358956,1.9064794163826533,0.051002895508376125,0.5874652768621292,0.3121718454221595,3.298989805834334,0.32991320014777975,0.11501804780039729,0.4372856861077682,0.5012586947321489,-0.0056826930461982665,-0.018486104425344697,0.09371906527253492,0.17445846065261605,4.910494633854333,1.2467072560344301,1.5654703092465754,1.8814038367057073,0.08318165828938079
3100,0.6027924016315072,0.3617501151500072,3.282813667096653,0.3400498979366194,0.12013925571411087,0.4026855251403817,0.4937990388068187,0.016319285341197684,-0.0232532297623689,0.09834761984821275,0.06122341186642185,4.731212319767279,1.264437551381176,1.6315688633392702,1.9538866595743523,0.0737024849694026,0.589250699337381,0.3659085027598829,3.273036478022757,0.3075190390156452,0.08813197048191275,0.3882706996994988,0.4869826528029447,-0.0018152429796410192,0.014433667906219926,0.09159016934708189,0.1412951029501,4.783025943652456,1.2741932391837967,1.738703796148001,1.9611660927990218,0.07113512424708987
3200,0.6266881728097238,0.37614215362168385,3.2607674395570014,0.3040689158758427,0.0974945125740807,0.4133877653497955,0.45295756679341126,0.03679769810472982,0.04303267830450545,0.07142472882107151,0.06320111511179818,4.802931437813625,1.2809697203079733,1.8108297600410004,1.9552844310317898,0.05883653873837758,0.6346821638673793,0.3617325360430078,3.2724171457135793,0.32367788024105804,0.10374575548880192,0.38426246950204496,0.44213942309305726,0.023671851277797227,0.018425470898550587,0.028395539509582263,0.08645119132106419,4.955610831924576,1.2709863304488094,1.7648859594540334,1.987269228970422,0.013148551735656207
3300,0.6275053280350334,0.40195615712471483,3.250517984783148,0.31321222157936246,0.14026514474239504,0.38910267977917096,0.4319034835392385,-0.018588891202258626,0.009556801501774315,0.11094421166327602,0.03072535599397353,4.9061517022029495,1.2855117243479464,1.8133463614514451,2.0143211609595033,0.05483491782645551,0.642426471282191,0.40760894180680846,3.239820707703022,0.3364402242733837,0.10121304014076396,0.3866607601083283,0.4455966777930044,0.015314940789819091,-0.01095040819452946,0.05768335808161884,0.0535572899518245,5.147470904618819,1.276072548833866,1.8567348114249256,1.9643384541696625,0.0004944856333464268
3400,0.6652259618216966,0.4096926069767771,3.2336197889116565,0.3242282533832692,0.12814980942158852,0.3804529873270758,0.44095440645490486,0.03362890844833072,-0.028771857440480657,0.07204961654866542,0.040857846052345555,4.933189835767202,1.2741581266098836,1.8687822705015014,2.0449760806411437,0.017318821840883958,0.655161118443539,0.40457535233899217,3.2387016746865793,0.31885035393991984,0.14728469171623654,0.3903024867923244,0.42163281469620784,0.00636069036699862,-0.026648771790731395,0.05566558204968977,0.04877431569874551,5.055547660635259,1.28506973313423,2.001997129777373,2.0679911911085793,0.04982279471937867
3500,0.7067837090918134,0.4553018323872307,3.2002472446266896,0.33740527717638086,0.1642789921690423,0.36665771656771823,0.4318593744390833,-0.022518797394449903,0.016383031645955566,0.02256911090067667,0.05356062106699188,5.060470493836585,1.282920872742453,2.0568814214439604,2.093023913389615,0.04629558568629355,0.6854586871592202,0.42979021488575253,3.202417153167282,0.3327154885968398,0.12973491060847445,0.3847760732923696,0.3914045297890134,0.01082147239356756,0.00835661332286255,-0.007677830838362827,0.015726159420907708,5.1233704511204845,1.2851719340989005,2.0771186260438124,2.095716902396731,0.02995997287001447
