milliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
1900,7.912435607595123e-05,6.232787006310566e-05,0.9892642062101048,0.009799763703302634,5.226238672394151e-07,0.00013039434823524678,7.465306047935691e-06,0.0004675610280204098,4.163762545157389e-09
2000,7.958395099987642e-05,6.273265716138776e-05,0.9895384097406491,0.010382121122003138,5.875581857828538e-07,0.0001194697378173298,7.441164707921826e-06,0.0004973726200487438,4.205210734710268e-09
2100,7.904079355287604e-05,6.157252706163538e-05,0.989370440621614,0.01114210384982495,6.53251524785938e-07,0.0001227977264663425,7.5379778249537715e-06,0.0005420829838649675,4.688667483049972e-09
2200,7.993288749213677e-05,6.215888676855207e-05,0.9885816911456488,0.01178542241661924,6.735044269230763e-07,0.00015374261058354247,7.573502532349454e-06,0.0005105816661814188,4.677356286001631e-09
2300,7.99297388714061e-05,6.174851864345378e-05,0.9873919171294396,0.011350412007070248,6.873537671185923e-07,0.00015893862695246723,7.453927133318333e-06,0.0005226732892657563,4.642892240459214e-09
2400,8.050636304013503e-05,6.163084371803294e-05,0.9872290440709541,0.011759599361921011,7.118950635149376e-07,0.00016621262494345278,7.5029154308749495e-06,0.0005705266405355181,4.9434003624505235e-09
2500,8.00788275648442e-05,6.153134683032949e-05,0.9870968008154103,0.012293968534143369,7.557884280571677e-07,0.00019438881774526122,7.44412884357558e-06,0.0006072437284814427,5.207746236382339e-09
2600,7.917255545461539e-05,6.25497524723548e-05,0.9851322203646434,0.013332455929767636,7.264139510581127e-07,0.00021746600231801206,7.573549771224559e-06,0.000633574724022545,5.531797641347701e-09
2700,8.0346272228983e-05,6.202972677828484e-05,0.9861537886610651,0.013492445274732427,8.249638727680421e-07,0.0002160760863626924,7.5497984196486625e-06,0.0006870237355502802,5.68056339222869e-09
2800,7.988638993154437e-05,6.200893931007496e-05,0.9852464684569829,0.014145228484397658,8.425080834498738e-07,0.00023757480420774204,7.4963011754921645e-06,0.0006911183889733783,5.607362225143199e-09
2900,7.871544144747378e-05,6.215288051657953e-05,0.984670691362943,0.014836869430897105,8.638658894754979e-07,0.00023502955844526027,7.403436885385778e-06,0.0006986826812733702,5.972725760514288e-09
3000,8.030430425734245e-05,6.212224108384813e-05,0.9843387373947362,0.014841473571613025,9.003292883009102e-07,0.00026300573707630187,7.556789513218064e-06,0.000690687335822799,6.0173626360896014e-09
3100,7.925726623005248e-05,6.236626883783888e-05,0.9827760886952295,0.015760972960662124,9.145073934816146e-07,0.00028366517944150837,7.533391305047729e-06,0.0007382859595440976,6.404153165022742e-09
3200,8.021007591124777e-05,6.220318269854163e-05,0.9825060499413413,0.016711127521573048,9.022725939122971e-07,0.0003306200933264525,7.3860666594554045e-06,0.0007767795383453193,6.6005164661449596e-09
3300,7.962331595467973e-05,6.181424819725516e-05,0.9821535162489462,0.016699859542912192,9.44832330391644e-07,0.00033733689218738477,7.4547832143958884e-06,0.0008140319635221906,7.1832109104097445e-09
3400,8.02274615450217e-05,6.13725598944997e-05,0.981308880826327,0.0165738765766577,9.397075614880681e-07,0.0003629108628502851,7.495710717691233e-06,0.0008135353837714954,7.321079972540127e-09
3500,7.994659746144147e-05,6.117370323911213e-05,0.9818097014967802,0.01694983683654482,9.902984391776599e-07,0.0003904981801161037,7.34860325667696e-06,0.0008188037718608958,7.149258447712356e-09
3600,8.02631806388271e-05,6.222555152891422e-05,0.9809870150764853,0.018613991809454014,1.0728405020474418e-06,0.0003861433166337315,7.509805261220051e-06,0.0008711780115391708,7.508245107696135e-09
3700,7.96274253444965e-05,6.168038072666557e-05,0.9799111498034088,0.018828541111632163,1.0238578371422256e-06,0.00040358710902293804,7.532157723224787e-06,0.0009292100517127794,7.652432847730103e-09
3800,7.878932648616953e-05,6.178697969775831e-05,0.9799455083530563,0.018998033725153272,1.1105762367215024e-06,0.00041949115544915433,7.471814080799541e-06,0.0009265826156762218,7.894962157693515e-09
3900,7.910477222674005e-05,6.185916327280719e-05,0.9788550602922885,0.019805634592618124,1.1199640611584465e-06,0.00045602565948692973,7.497788200086319e-06,0.0009690625892477432,8.4214098307251e-09
4000,7.975991673098323e-05,6.227510974034597e-05,0.9778922591021966,0.02035323860471079,1.176235622251195e-06,0.0005083582187236894,7.383773193459225e-06,0.0009773466270365648,8.56215486143541e-09
4100,7.943873809875277e-05,6.212999218804758e-05,0.97847968831625,0.020106936850501148,1.1829476040722414e-06,0.0005019319107482246,7.530109492206087e-06,0.0010215137830492564,8.37315865708326e-09
4200,7.911349916898025e-05,6.198372411934464e-05,0.9766894225602881,0.021722223334896804,1.2362639856871132e-06,0.0005137155377507118,7.469338059229029e-06,0.0010071272226649982,8.569560925950116e-09
4300,7.930559649653923e-05,6.169164830089103e-05,0.9775445590403606,0.021379264459219532,1.1979917351987273e-06,0.000545844351947277,7.402827827554534e-06,0.0010515662729996674,8.863260103488101e-09
