miliseconds,EpoR,SAv,SAv_EpoR,SAv_EpoRi,dSAvi,dSAve
2200,75.63667700522436,998.9262058561123,0.3733812188399897,0.014140757219130707,3.299567342592959e-05,0.00015483208754879272
2300,75.62199292527606,998.8870658254949,0.37866633875654554,0.014558366756598724,3.6199417572995865e-05,0.00016779609431045046
2400,75.60584206955335,998.8837034101113,0.4013633474109184,0.0159207195776619,4.1912091737839955e-05,0.00018188151703676247
2500,75.58562969807458,998.8523942590308,0.41537061113692303,0.016789963365012858,4.58624940355838e-05,0.00025583045546282
2600,75.56196514427697,998.8384180780398,0.42497971079972363,0.018268148796025997,5.3279983486286655e-05,0.00025429468724805774
2700,75.56658974632596,998.8275506168176,0.45564123880426344,0.019213618991908352,5.9436010148146366e-05,0.0002785671667739698
2800,75.55072960150932,998.8238638598622,0.4560944766655858,0.02107847868623415,6.748882452094417e-05,0.0003351622678976252
2900,75.51501566459773,998.7910470166455,0.4733216006871727,0.02277186951798348,7.065085731801336e-05,0.0003661614265738981
3000,75.50363317872701,998.7846460863237,0.48148383928694066,0.024641806416464927,8.093060112783998e-05,0.00042198126849186317
3100,75.49703773894129,998.7616782856779,0.5057828210340305,0.025934506349776048,8.980708580308541e-05,0.0004505816988560747
3200,75.46958252446541,998.7451740378447,0.5235642570411306,0.027404871366709282,9.32538530377865e-05,0.0004929202523121142
3300,75.46828770765698,998.7215439736026,0.5287431912542898,0.029828341594288734,0.00010574605061482994,0.0005325474779984916
3400,75.4424194134954,998.7052809360795,0.5528649287207926,0.029710256321455866,0.00011012020478798465,0.0005591737275881878
3500,75.42412462672661,998.6868529892855,0.5774602893685539,0.032134942460475,0.00012303001679814655,0.0006434057896071845
3600,75.4266810718416,998.6853073262032,0.5839691989203741,0.03497922963899206,0.00013232975617613396,0.0006939143489850239
3700,75.4002727493199,998.6659011226178,0.6073519866364894,0.035657374547553675,0.00014108839705013034,0.0007667894779362092
3800,75.37861564968658,998.6378669746468,0.6136371380510391,0.03811570013422493,0.00015908161380321641,0.0008038956121338367
3900,75.38501717465617,998.6244783766975,0.6216393907253609,0.04069360652711776,0.00016346725812006117,0.0008537210385377629
4000,75.35294004603004,998.6013170180298,0.6434466549041975,0.04104784800621734,0.00017687915230131282,0.0009460012257656301
4100,75.35193248750097,998.5867373123847,0.6607160781115966,0.044280908827473826,0.00019955282820252243,0.001004371010015576
4200,75.33947008248695,998.5842988947476,0.6606456477668604,0.046547367990461636,0.00020375842578615607,0.0010695124052257866
4300,75.30596680690421,998.5665370305782,0.6864799263654183,0.048028464590410755,0.00022718070931826453,0.001141138397776042
4400,75.2957614607543,998.5508551670117,0.7080626394461261,0.049046875020938054,0.00023566540087160634,0.001224329976962892
4500,75.28934486510411,998.5288564748464,0.7210530434159584,0.052104641552753406,0.00025957301734357577,0.001298607164523158
4600,75.27134955897115,998.5113712307228,0.735351496681011,0.054975989687641225,0.00027580739806256,0.0014088581008412269
4700,75.25046778494888,998.4902116440192,0.7330521851958656,0.05643347549386613,0.0002910962341132132,0.0015176125987403746
4800,75.23459564043645,998.480704081766,0.7635947527631327,0.05811059555294207,0.00031241730830760655,0.0016092568686048591
4900,75.21967665703096,998.4569308735975,0.7717645452493855,0.061903865980639024,0.00032939213042515995,0.0017081800567817409
5000,75.22338668911229,998.4350176960976,0.7799041127422132,0.06317325356176044,0.0003486312138510409,0.0017770169206035163
