milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
4000,0.9999881539437709,5.658163977940632e-06,2.418447066757598e-06,1.147906938594307e-06,1.5507836572921107e-06,1.0195386291938909e-07,8.601971516312704e-07,1.375076962458236e-09
4100,0.9999876624535062,5.820159959618745e-06,2.502863060665389e-06,1.1550161927480606e-06,1.686092592822498e-06,1.0957453722798918e-07,9.00042312303751e-07,1.484423454113871e-09
4200,0.9999879523404408,5.838816614444015e-06,2.612593102274945e-06,1.1961390325100248e-06,1.6991814087629165e-06,1.1459161042718933e-07,9.210749149600533e-07,1.5355885729549306e-09
4300,0.9999873581282993,6.033160754559464e-06,2.683032084318242e-06,1.2559534334524423e-06,1.7843293797856933e-06,1.2729258937170433e-07,9.854991966889025e-07,1.6236423306856056e-09
4400,0.9999871366085296,5.968278458611261e-06,2.674584168488239e-06,1.2819474858653614e-06,1.8445431683670378e-06,1.30738673553151e-07,9.760080852646866e-07,1.7636911565701247e-09
4500,0.999986763988486,6.086035755541136e-06,2.7663092273269067e-06,1.2982530109582805e-06,1.8677862408834126e-06,1.3199343801365648e-07,1.0055389292496283e-06,1.920354573359722e-09
4600,0.9999865189158968,6.2492078426689406e-06,2.7517518783331412e-06,1.273828402345984e-06,1.984669665448455e-06,1.4467009858826067e-07,1.1001446746084842e-06,2.028310233354299e-09
4700,0.9999860508514081,6.296041359301845e-06,2.785239508656126e-06,1.3622330542933e-06,2.0938167214010127e-06,1.4944667231203985e-07,1.0815136105161774e-06,2.1308312814734437e-09
4800,0.999985973822592,6.372884714509343e-06,2.958329537572108e-06,1.3565876086626932e-06,2.1899403751102435e-06,1.6180889865869294e-07,1.1654526292986015e-06,2.2866603601550074e-09
4900,0.999985669760031,6.64353674506096e-06,2.9149730591433326e-06,1.37698494903251e-06,2.249555180231407e-06,1.6032760601382326e-07,1.1697521178365395e-06,2.4780264418116573e-09
5000,0.9999852287357563,6.6939065450909424e-06,3.0095019227418134e-06,1.4162686426928216e-06,2.3287202197610252e-06,1.7161716291578563e-07,1.2469514734988312e-06,2.73607101034477e-09
