miliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
1000,8.861036606142561e-08,1.0435486912485362e-09,2.8884064552757878e-09,2.9052194884477656e-10,1.6774917811996635e-07,1.0663888646965272e-09,1.2005005963751628e-09,-1.662993746455071e-14,-1.491077627008101e-14,1.9608629577189265e-08,2.681626465428494e-10,6.94899320630312e-10,9.920227380547363e-12,-3.296030889400063e-12,1.4008050045156948e-06,3.3924713681949925e-11,1.4213721967406874e-11,9.32135806080872e-11,8.901757579505218e-16
1100,8.862477324778481e-08,1.0475502101615123e-09,2.8788651549596e-09,3.2128303723084364e-10,1.67555752068476e-07,1.0667407480641825e-09,1.3596141863298123e-09,-8.083168916535767e-15,5.590640306121792e-14,1.9575608823997665e-08,3.599369541959416e-10,6.984364708867703e-10,5.995860413353182e-12,-5.434091148513427e-12,1.399166853074501e-06,6.902331226705035e-12,-1.577195766853223e-11,7.569548475838813e-10,-2.2301883098158365e-16
1200,8.85512883902874e-08,1.0534360315724382e-09,2.895745719381094e-09,3.525354093228988e-10,1.6747918682160653e-07,1.0651388021218568e-09,1.4066007882546269e-09,-2.751894469752436e-14,1.1631924640416596e-14,1.9557625625927793e-08,2.34050622817363e-10,6.87949160813557e-10,1.2011309414592402e-11,5.9200973834677044e-12,1.3992009394942526e-06,-5.776323651320785e-12,1.5327052875135722e-11,-4.27409231690973e-10,-4.1347056290992406e-16
1300,8.852328607097837e-08,1.0536975228204488e-09,2.8747887772989452e-09,4.117104101504278e-10,1.6725808857815272e-07,1.0702972170129862e-09,1.5951455672231335e-09,-7.098044376243727e-15,-5.567377889482786e-14,1.9508488872236163e-08,3.700525989147266e-10,6.87297120933925e-10,9.111243173005866e-12,-3.5974327535784862e-12,1.3996164106210443e-06,3.5780444659551856e-11,2.6657878981675006e-12,8.55841283565879e-10,-2.6515488173930487e-16
1400,8.849909623836804e-08,1.0490636414343764e-09,2.8719025517444854e-09,4.5575272331326985e-10,1.672254229891734e-07,1.0644784561606546e-09,1.6845080627275404e-09,-2.665391697308345e-14,2.857731251542369e-14,1.9388168043186344e-08,4.2197486009908965e-10,6.867322913233693e-10,6.579548887466323e-12,-5.063223109595541e-12,1.399710570500009e-06,6.122781057476474e-12,-2.885814727983349e-12,1.0105253396120332e-09,-2.3115879317563157e-16
1500,8.845033271373852e-08,1.0493532679730708e-09,2.8918449545546584e-09,4.624630231118516e-10,1.670986858381101e-07,1.0611407454754227e-09,1.8336853672185828e-09,-1.9215720476487265e-14,3.1564448143298616e-14,1.92487903530166e-08,4.842280694242644e-10,6.93020967687218e-10,1.4382298249812981e-11,5.77468660351549e-12,1.399364792738574e-06,2.67164439739514e-11,1.4873216719025204e-11,-4.541759799218346e-10,8.221869089555671e-16
1600,8.844568484673667e-08,1.0476318771462986e-09,2.8951723427440424e-09,4.848855569059366e-10,1.669025786649617e-07,1.064451811301419e-09,1.8681301406828157e-09,1.163667529102576e-14,-3.064234787207165e-14,1.914046319936057e-08,6.226924385757392e-10,6.92065090132957e-10,1.2666074456299309e-11,-3.1745894192136925e-12,1.3995973315655212e-06,3.91447139854089e-11,1.8861478754161002e-11,1.19294069715563e-09,4.810202871448209e-16
1700,8.840659324550289e-08,1.0481109826147062e-09,2.8935739600778892e-09,5.239446456135764e-10,1.669302215418346e-07,1.0588299339428822e-09,2.0629730850014707e-09,-7.763081275213041e-16,-3.4675010964820394e-14,1.9213430019329037e-08,6.122663893277952e-10,6.801644647098404e-10,7.592929012597273e-12,4.548820767069442e-12,1.3990664515098033e-06,3.381162738929326e-11,5.3246907224716805e-12,1.2306646761210893e-09,3.809472835512224e-16
1800,8.836492407846721e-08,1.0446403863797885e-09,2.877511790487763e-09,5.637988582546755e-10,1.668017219483138e-07,1.0665730198997961e-09,2.093248387400287e-09,2.794611265993843e-14,6.478807642099049e-14,1.9190495759192736e-08,7.535402096904784e-10,6.777350361444529e-10,8.662163455865054e-12,-2.5962154101425637e-12,1.3997675722912451e-06,1.1967727059000213e-11,8.439662762737133e-12,8.945390517958573e-10,4.596949287740491e-16
1900,8.831554805067365e-08,1.0548530214491484e-09,2.8830730421651324e-09,6.295754631685309e-10,1.6658614275171323e-07,1.0690426445999432e-09,2.2537127524911426e-09,1.5836571528289105e-14,8.893458977323145e-15,1.8933739141844404e-08,6.850940926699878e-10,6.846245848488623e-10,2.19052596567882e-11,5.696700348940274e-12,1.4001625005336503e-06,3.753896101591787e-11,2.377766864098846e-11,8.395525089545307e-10,-6.536811614376519e-16
2000,8.831648038539303e-08,1.0476152355317015e-09,2.88334042770605e-09,6.276389333141997e-10,1.6650463576659017e-07,1.0631323108373392e-09,2.3230596406226868e-09,4.168032577636122e-15,8.296541771789736e-14,1.8834736898509973e-08,8.167106116051409e-10,6.818367551895628e-10,1.376395382482153e-11,-6.30178324628924e-12,1.4001483641541668e-06,3.4757570212003145e-11,5.5107524547510185e-11,1.2310594740645674e-09,-2.3452451704808593e-16
2100,8.828256990301579e-08,1.043493523914991e-09,2.8901394103620944e-09,6.915423766475833e-10,1.6628781528884906e-07,1.0572289877307335e-09,2.4065577038014223e-09,1.6411195379698825e-14,8.55028526692798e-14,1.8912469453045602e-08,1.169619838521662e-09,6.811680903771105e-10,1.8294161187965886e-11,-1.225384985296623e-12,1.3980754376651302e-06,9.533414529468112e-11,6.442397984925107e-11,5.353094426136365e-10,5.74812942223309e-16
2200,8.82302914706077e-08,1.050455399555302e-09,2.879144007803205e-09,7.183346709342865e-10,1.6626756742162117e-07,1.0590797295231724e-09,2.5131724269435716e-09,1.3189714401415396e-14,4.638595679053193e-14,1.8731893730004517e-08,1.3141950494583044e-09,6.669236595177135e-10,2.8809213440479505e-11,-5.379623448602896e-12,1.3981974826198392e-06,8.490438129719253e-11,8.049723484214586e-11,7.258797067097457e-10,1.5729568299867172e-16
2300,8.820904814271643e-08,1.0453967809990177e-09,2.8911013387843822e-09,7.568813354503772e-10,1.6617301226864794e-07,1.0625752520303014e-09,2.6113421303616934e-09,4.692420870363453e-14,7.469902047368829e-14,1.867948281170712e-08,1.37635772318226e-09,6.770797626382922e-10,3.0592544635559696e-11,6.857257762069753e-12,1.397940216373173e-06,8.735966889115052e-11,9.638530732533089e-11,1.8299858887800576e-09,-8.305605092823176e-16
2400,8.815602572868197e-08,1.0515017464659205e-09,2.894566623636145e-09,8.023215872094358e-10,1.6600311524625077e-07,1.060221996761292e-09,2.7076503769619967e-09,6.145180543805974e-14,4.460812820214919e-14,1.8346545516014688e-08,1.277757556123691e-09,6.717620134598067e-10,3.7966342745487435e-11,-7.018006982562434e-13,1.3970356685476802e-06,1.0676140806000571e-10,9.055747456180095e-11,1.3098298835932772e-09,-1.4220655269253003e-15
2500,8.811380897923607e-08,1.0452661363157554e-09,2.89200978182701e-09,8.033896820199968e-10,1.659625620393089e-07,1.0641142414413378e-09,2.8224829681022096e-09,7.715036813386929e-14,1.0452947419773973e-13,1.8156049576854305e-08,1.455398073667949e-09,6.581813146799642e-10,3.2118252391638193e-11,-5.926720179490393e-12,1.3978025974568927e-06,1.6537213831439566e-10,1.1308185714083093e-10,2.1415426177976657e-09,-8.211850236618072e-16
2600,8.810792185601822e-08,1.0421482415387211e-09,2.886655611676282e-09,8.472991881433238e-10,1.658420499188068e-07,1.064525149272992e-09,2.895387155188572e-09,7.016716177009651e-14,1.7229788304748313e-13,1.7829903106343604e-08,1.6253380831814893e-09,6.564500256220434e-10,4.09424680372011e-11,-1.1360301514068535e-12,1.3964807279883216e-06,1.6683655224758445e-10,1.1204789931413132e-10,2.853215522200676e-09,-1.6695758397009266e-15
2700,8.805555794216118e-08,1.0493744655610479e-09,2.8913850444143826e-09,8.863527645795624e-10,1.6572049887520583e-07,1.06384568494454e-09,2.921187772631236e-09,8.601076788692121e-14,1.1077532816208441e-13,1.7868150309083937e-08,1.848698715873701e-09,6.461671417714196e-10,5.466495687439652e-11,-1.9154687916722015e-13,1.3955443606270276e-06,2.0847358249648194e-10,1.3517526841699447e-10,3.427211775261455e-09,-1.2716985390314892e-15
2800,8.80531184833602e-08,1.0449860589291594e-09,2.8860062782027673e-09,9.376328349737185e-10,1.6557775383632916e-07,1.0616770669469746e-09,3.0017637453196236e-09,7.276352914727364e-14,1.610899385747989e-13,1.7394235574612506e-08,2.0336128208200475e-09,6.402209479543142e-10,5.228706250166302e-11,6.903545100471733e-12,1.3959070300604548e-06,1.9725297381985086e-10,1.582095882012018e-10,5.012700105157601e-09,-2.294740219927696e-15
2900,8.798567376328243e-08,1.0515733148510174e-09,2.9069336607665207e-09,9.671807196142274e-10,1.6544995527258792e-07,1.0598170216445578e-09,3.136799930737203e-09,9.845612674515404e-14,2.1474510698176398e-13,1.731071583285459e-08,2.1180501426849277e-09,6.41955821492811e-10,6.045721649505569e-11,4.256848010273769e-12,1.3951594909674567e-06,2.336289456738412e-10,1.896338784727189e-10,5.262861165693834e-09,-2.4827227876435247e-15
3000,8.798698480111558e-08,1.0515909723186884e-09,2.899140406926759e-09,9.938512148091905e-10,1.6518585047572125e-07,1.0581978936711614e-09,3.123312882404905e-09,1.6122041601925007e-13,2.8361951631575804e-13,1.6983222217063047e-08,2.5311313196049445e-09,6.327626811849587e-10,7.506444516053577e-11,-1.683085362161274e-12,1.3934512377692157e-06,2.976112580383652e-10,2.038481314944711e-10,6.1203591112653205e-09,-3.066436512550945e-15
3100,8.795046542438603e-08,1.0544324344189255e-09,2.899507179729934e-09,1.0047698840966216e-09,1.6510976674869655e-07,1.0582342538271783e-09,3.209853902053098e-09,2.0704542139110277e-13,2.585416621594311e-13,1.6512942225580006e-08,2.5756038932020507e-09,6.10432690347904e-10,8.437878886996753e-11,1.1119989652000963e-11,1.3921951835230011e-06,3.4418972748242086e-10,2.2934775454754034e-10,7.098606342044903e-09,-3.0045404783369554e-15
3200,8.789944789291813e-08,1.0455926409786743e-09,2.8974419996021502e-09,1.0730617045126678e-09,1.649598524259534e-07,1.0511541190062715e-09,3.251560363964246e-09,2.2745535818070207e-13,3.4750659441193367e-13,1.6155288333924036e-08,3.0691538000933083e-09,6.095469299764356e-10,9.255994297370264e-11,7.071822766953397e-12,1.3910100972657534e-06,3.7194718602191807e-10,2.728111714291962e-10,7.346346274827805e-09,-4.600715758283986e-15
3300,8.787135474533488e-08,1.0482679265818798e-09,2.8890614911900546e-09,1.0655645212198801e-09,1.6490868001965973e-07,1.061431772585187e-09,3.2407250472729562e-09,2.336676983364558e-13,4.3956955019025513e-13,1.5976496114761046e-08,3.329106018577509e-09,5.91774531013804e-10,1.1046515457241515e-10,1.435949693263967e-11,1.3897700055073998e-06,4.476888020364701e-10,3.2073904069704803e-10,9.113247229473861e-09,-5.4677533758054435e-15
3400,8.783175251874148e-08,1.043810806776938e-09,2.9085320378942323e-09,1.1214435796956129e-09,1.6475556720073698e-07,1.0561224526767722e-09,3.3196192002105525e-09,3.108444348464616e-13,5.199512956178283e-13,1.5458304462552486e-08,3.732056057596304e-09,5.759928600738725e-10,1.1193898916118449e-10,1.5450950463703342e-11,1.3882496504827556e-06,5.008724897543994e-10,3.6706835835503853e-10,1.0598454034380575e-08,-7.668162914086231e-15
3500,8.781223446815366e-08,1.0486001334417021e-09,2.9088014211330375e-09,1.1363642302833334e-09,1.6462891215537836e-07,1.0555391772243075e-09,3.2748700479919007e-09,3.508970274760695e-13,6.174179182533173e-13,1.4962955794387095e-08,3.842367782936916e-09,5.705915508858071e-10,1.3535379837901518e-10,1.373716452875115e-11,1.3863110931747487e-06,5.718506907429947e-10,4.0186995289389025e-10,1.163069186487044e-08,-7.543155150766349e-15
3600,8.775340699202086e-08,1.0416696075294445e-09,2.898534817668342e-09,1.2089626732953615e-09,1.6454191995862566e-07,1.0599540678021536e-09,3.3585285077855723e-09,4.161562524556399e-13,7.236558245622585e-13,1.462885222559884e-08,4.1609962686776634e-09,5.481378314031837e-10,1.4772828319167795e-10,1.764967238728674e-11,1.3853751226488836e-06,5.952354444789728e-10,4.797393700024001e-10,1.3520806426381738e-08,-1.0158973335990821e-14
3700,8.770449749216756e-08,1.040130626959294e-09,2.902614092099841e-09,1.231244546562472e-09,1.6450587960534288e-07,1.0620295002857212e-09,3.326469692288078e-09,4.584348942252475e-13,8.727186053235802e-13,1.4010227757328375e-08,4.897246226530775e-09,5.314057943749199e-10,1.704931900851138e-10,3.8454403819576815e-11,1.3832598243829117e-06,6.829458892245823e-10,5.399933698655615e-10,1.547432970581921e-08,-1.2627348984317861e-14
3800,8.767644866963342e-08,1.0509704592885408e-09,2.9022781613828612e-09,1.250544818167058e-09,1.642153695528436e-07,1.056329769120303e-09,3.271913837140037e-09,5.616461116936481e-13,9.062916577015027e-13,1.3387234978436448e-08,4.988556083248154e-09,5.152664792447382e-10,1.862359803824756e-10,4.5234426043125065e-11,1.3799496843148054e-06,8.055983599029395e-10,5.767062174018742e-10,1.7958862912357254e-08,-1.4480958674610066e-14
3900,8.767088071564712e-08,1.0446883305155557e-09,2.902659354970171e-09,1.3104220561598494e-09,1.640991644865609e-07,1.059566389107547e-09,3.240632634791329e-09,6.637789290923006e-13,1.097074578232969e-12,1.2873218330725274e-08,5.767272726408598e-09,4.916320500089284e-10,2.0705917426976922e-10,5.2774503630106154e-11,1.3777696905312319e-06,8.494994956694748e-10,6.695235723194564e-10,2.0554447971067645e-08,-1.7380683479827726e-14
4000,8.76130810584307e-08,1.0475105835425552e-09,2.8922727123072287e-09,1.3472085833741973e-09,1.6413563855705717e-07,1.0519694043400815e-09,3.2044956773774855e-09,7.376108032279182e-13,1.3614894124577077e-12,1.217398641027982e-08,6.081185382324608e-09,4.663433643763804e-10,2.3337341298400917e-10,6.624366286050686e-11,1.3748653565471673e-06,9.651270869952724e-10,7.010053667428138e-10,2.4275772107962368e-08,-2.027970799942005e-14
4100,8.756478712525162e-08,1.0442694908756922e-09,2.897322521976642e-09,1.3406462586440527e-09,1.6401462560366248e-07,1.0577832853773955e-09,3.17377490010368e-09,8.759326390085972e-13,1.5327227864341707e-12,1.1399297727364287e-08,6.606751059225931e-09,4.4808859993274227e-10,2.558986771991233e-10,9.615360949416021e-11,1.3714813582805223e-06,1.0645390416859132e-09,7.787313272660364e-10,2.7909268332722166e-08,-2.2932530909502595e-14
4200,8.758027827343539e-08,1.0436492976266015e-09,2.9164379651936317e-09,1.411919778885651e-09,1.6371985180226768e-07,1.0525742664516036e-09,3.068654033923791e-09,9.939798097279413e-13,1.7651729598821195e-12,1.0880264513762031e-08,7.232122920372839e-09,4.17185416360996e-10,2.79473417134894e-10,1.0933899252900748e-10,1.3677322348942153e-06,1.1647198494174657e-09,8.618513840488805e-10,3.061168507614111e-08,-2.7212359337065765e-14
4300,8.753227656701828e-08,1.0393991958490854e-09,2.9088232666633298e-09,1.4186795693499314e-09,1.6372954098706125e-07,1.0543815956339628e-09,3.0427936148265382e-09,1.2035608345035625e-12,2.01491600676551e-12,1.023240253530076e-08,7.674069388093819e-09,3.8152847253550693e-10,3.1535111424917644e-10,1.4285492200891764e-10,1.363602253376593e-06,1.2570702261447852e-09,9.588726262184515e-10,3.489191036167246e-08,-3.0278458114628985e-14
4400,8.749772339021304e-08,1.0480826135745128e-09,2.9110694056067925e-09,1.4658822150964595e-09,1.6359716224710014e-07,1.0535699801511698e-09,2.9715997910703267e-09,1.3877477846885712e-12,2.317448505584074e-12,9.40576614694245e-09,8.173978759757972e-09,3.596274980981557e-10,3.415521370034502e-10,1.792339966706571e-10,1.3597607638091233e-06,1.3557258450785994e-09,1.0435144170256993e-09,3.930622486305302e-08,-3.752441208327096e-14
4500,8.747144207058632e-08,1.047673543172443e-09,2.916017534229599e-09,1.4780950260870464e-09,1.6343018754291164e-07,1.047946948143637e-09,2.8569195240512986e-09,1.5419738085411672e-12,2.6539986584719235e-12,8.531420208775885e-09,8.912522239137166e-09,3.2187179393166794e-10,3.622628326091394e-10,2.2285855184467643e-10,1.3550676209482758e-06,1.4837870202475485e-09,1.1207930336308465e-09,4.331982183030191e-08,-4.29013162780603e-14
4600,8.740353744360391e-08,1.0438966241029615e-09,2.903455219693232e-09,1.5146964462563181e-09,1.6330486381471e-07,1.0554911635758404e-09,2.757201861282637e-09,1.7783428205712232e-12,2.9883670857687054e-12,7.521279231575203e-09,9.321541174565857e-09,3.0235129614265207e-10,3.936474134779145e-10,2.7431972466087793e-10,1.3493901284135388e-06,1.5824415526427102e-09,1.231143026348392e-09,4.766966946079567e-08,-4.95419250718008e-14
4700,8.738829968362949e-08,1.0397195512163526e-09,2.9071046752001432e-09,1.5437379203678163e-09,1.6327424176353714e-07,1.0443595389076045e-09,2.687351655445631e-09,2.0046522411501045e-12,3.456996218444312e-12,7.066679953138494e-09,9.982713446564897e-09,2.6493778125959616e-10,4.3185528767929925e-10,3.412624352765955e-10,1.3446670825885276e-06,1.732117840354061e-09,1.3211383495704643e-09,5.382903392749543e-08,-5.727613114689002e-14
4800,8.734975372750098e-08,1.0473388861503755e-09,2.8932978133026943e-09,1.618454478571139e-09,1.6303346183531904e-07,1.0564581224735618e-09,2.6141971144973683e-09,2.2423785590141987e-12,3.846832407262291e-12,6.323217266789001e-09,1.0705814213057688e-08,2.4142745786427887e-10,4.5358272305273793e-10,4.2654652523076676e-10,1.3374130480938549e-06,1.8691205098820484e-09,1.4400267020804476e-09,5.926037561682419e-08,-6.587032356631845e-14
4900,8.730501658388573e-08,1.0499771976720793e-09,2.907826208561418e-09,1.6503006596616153e-09,1.6294284307962546e-07,1.052149030004046e-09,2.5264244336588355e-09,2.5075613904197455e-12,4.4013904378697206e-12,5.171490680524787e-09,1.1285877025307237e-08,2.0365787440670692e-10,4.856099608291611e-10,5.120015153736223e-10,1.3331050463125508e-06,1.981622701668271e-09,1.4986419900907164e-09,6.531646169427026e-08,-7.450427282158754e-14
5000,8.725679560245133e-08,1.0392672935317134e-09,2.913224265425243e-09,1.6852676197598027e-09,1.6283825710851932e-07,1.0537546057168216e-09,2.4373956704414756e-09,2.7792798397329027e-12,4.916937521690494e-12,4.881107973062058e-09,1.1587217658542826e-08,1.8371603665212528e-10,5.101699313507225e-10,6.209393039286589e-10,1.3250986837556504e-06,2.079235940779977e-09,1.6386752047072167e-09,7.253596323031508e-08,-8.518832246541596e-14
